,HIST2H4B (554313)
ACH-000004,-0.21538062396948185
ACH-000005,-0.3567300485682083
ACH-000007,-0.09795623119511901
ACH-000009,-0.2940403030731085
ACH-000011,-0.3112681398215357
ACH-000012,-0.28839983981137024
ACH-000013,-0.07705287734737784
ACH-000014,-0.2547233273219009
ACH-000015,-0.14895822004472467
ACH-000017,0.017921238192988603
ACH-000018,-0.3607511034725448
ACH-000019,-0.39780141726647467
ACH-000021,0.02398763478176921
ACH-000022,-0.2601740850719979
ACH-000025,-0.2884506475782596
ACH-000028,-0.36911476208128413
ACH-000030,-0.1672594097341727
ACH-000035,-0.3739619925717823
ACH-000036,0.011122801519151827
ACH-000037,-0.17681445349224964
ACH-000039,-0.3115218633530044
ACH-000040,-0.16874497381705816
ACH-000041,0.09842058228642138
ACH-000042,-0.5366834807233631
ACH-000045,-0.12190476552992292
ACH-000047,-0.12172511747132372
ACH-000052,-0.0882393482924821
ACH-000053,-0.3620608019141489
ACH-000054,-0.2520043030452909
ACH-000055,-0.502891160281242
ACH-000060,-0.4508279477146096
ACH-000067,0.002529469008253539
ACH-000070,-0.1623710449718197
ACH-000075,-0.1220989360008873
ACH-000078,-0.4043033202605241
ACH-000082,-0.0955771700959062
ACH-000085,-0.07238811417120093
ACH-000086,-0.36474395006851057
ACH-000087,-0.28482129668458883
ACH-000092,-0.13212990660392654
ACH-000095,-0.17593790978173438
ACH-000097,-0.3616303336050667
ACH-000098,-0.2886201183176912
ACH-000099,-0.06073702764528587
ACH-000108,-0.2326644559064304
ACH-000113,-0.08898612541542572
ACH-000116,-0.05391333702380738
ACH-000118,-0.1383986761713591
ACH-000120,-0.0099521704312867
ACH-000123,-0.24232265398952546
ACH-000127,-0.20206832486347368
ACH-000128,-0.10694483287829663
ACH-000132,0.06814750519550188
ACH-000133,-0.24174528031707795
ACH-000137,-0.1397099668111466
ACH-000138,-0.2501895191531049
ACH-000142,-0.3362473750317225
ACH-000143,-0.10313656030578866
ACH-000146,-0.2728204583603989
ACH-000148,-0.22545409375440406
ACH-000150,-0.04031099069971325
ACH-000152,-0.20487091679995992
ACH-000153,-0.14546581249952367
ACH-000159,-0.2706400000507807
ACH-000160,-0.0019060112114882672
ACH-000163,-0.3327391488848987
ACH-000167,-0.3644630565821341
ACH-000168,-0.03670745383185229
ACH-000169,-0.23283419577587394
ACH-000178,-0.1549764582230476
ACH-000183,-0.2575350185679553
ACH-000188,-0.3071726677531715
ACH-000189,-0.4794777856252705
ACH-000190,-0.10094407301877534
ACH-000198,-0.07804691512177911
ACH-000203,-0.1559581017908691
ACH-000204,-0.4044987578235523
ACH-000206,-0.02250535257607269
ACH-000207,-0.07172277184501577
ACH-000208,-0.13062299346194908
ACH-000210,-0.14403374554972986
ACH-000211,-0.18522843833715671
ACH-000215,-0.25172418795851564
ACH-000221,-0.15697831935220097
ACH-000222,-0.037483461422320084
ACH-000223,-0.10539322724456086
ACH-000226,-0.08278616976030047
ACH-000227,0.039009098004425036
ACH-000228,-0.10605515774582948
ACH-000231,-0.061151078648181666
ACH-000232,-0.38375096399643693
ACH-000233,0.0487041547641822
ACH-000234,-0.16444833813579238
ACH-000235,-0.2720652871083185
ACH-000237,-0.294114306196272
ACH-000238,-0.10608520499059793
ACH-000242,-0.35080463562187075
ACH-000243,-0.12104831903266415
ACH-000244,-0.15246812102149845
ACH-000246,-0.09440381190889097
ACH-000248,-0.3101982578082748
ACH-000250,-0.05228970390274527
ACH-000251,-0.4389747021476088
ACH-000252,-0.03945607138460554
ACH-000253,-0.09265694696286622
ACH-000255,-0.3028596138501308
ACH-000256,-0.39627729060908057
ACH-000257,-0.08723626507116293
ACH-000258,-0.4157958424276198
ACH-000259,-0.1891880558125934
ACH-000260,-0.2710296678306253
ACH-000261,-0.06598142015471246
ACH-000262,-0.2807076744368484
ACH-000263,-0.12885393020128733
ACH-000264,-0.19850651364310687
ACH-000265,-0.05664833057223879
ACH-000266,-0.09188036022229644
ACH-000272,-0.07689573019162897
ACH-000274,-0.13998412938551094
ACH-000277,-0.0926328385865694
ACH-000278,-0.4225992908185912
ACH-000279,0.19351068575266664
ACH-000280,-0.2235840879593416
ACH-000281,-0.14985748889372166
ACH-000288,-0.025579855564209462
ACH-000291,-0.1512370783281477
ACH-000293,-0.11411100508606832
ACH-000294,-0.17280149753752566
ACH-000295,-0.0035018628549751203
ACH-000296,-0.08978306498464021
ACH-000302,0.03164617326916267
ACH-000304,-0.2161614968287541
ACH-000307,-0.1897465541980955
ACH-000308,-0.10792887985038033
ACH-000310,0.08236592896655325
ACH-000311,-0.3725912283134227
ACH-000312,0.02062459397116382
ACH-000315,-0.11148500650483747
ACH-000316,-0.1891293312010012
ACH-000317,0.19439626670947308
ACH-000318,-0.4680388912949704
ACH-000319,-0.17141770886856578
ACH-000320,-0.14618214219279702
ACH-000322,-0.09558547556381768
ACH-000323,-0.13729010326874636
ACH-000324,-0.2023361329760758
ACH-000329,-0.3184967435915436
ACH-000330,-0.08718087832932746
ACH-000331,-0.06305997480290805
ACH-000332,-0.12464183159850101
ACH-000334,0.04157265619476308
ACH-000335,-0.03268517845826638
ACH-000336,-0.09329625907482374
ACH-000337,-0.25836832717761266
ACH-000338,-0.5508971719201224
ACH-000339,-0.07902605656233322
ACH-000341,-0.28356253591922753
ACH-000348,-0.26414625534139985
ACH-000350,-0.06732966196499868
ACH-000352,-0.30044400338934785
ACH-000356,-0.1104399088010042
ACH-000361,-0.2390119963890541
ACH-000362,-0.1740495928118239
ACH-000363,-0.09917075441508584
ACH-000364,-0.3890928723990146
ACH-000365,0.1884321474115985
ACH-000366,-0.06771894819993303
ACH-000368,-0.18243836518063272
ACH-000374,-0.6303518630032502
ACH-000375,-0.023582975010403268
ACH-000376,-0.19976839425042045
ACH-000381,-0.2362486034405412
ACH-000383,-0.2860922628334307
ACH-000387,-0.02288163543049464
ACH-000389,-0.11404404411762235
ACH-000390,-0.29570644897131665
ACH-000393,-0.1069158886268922
ACH-000395,-0.14088830436568073
ACH-000396,-0.12026527322683707
ACH-000397,-0.022564085135854485
ACH-000401,-0.4341887896365449
ACH-000402,0.0721414063312326
ACH-000403,-0.25574223837210563
ACH-000404,-0.19130053996016072
ACH-000406,-0.148107453515057
ACH-000407,-0.14507860666527822
ACH-000408,-0.13196451051422484
ACH-000410,-0.017922783067697658
ACH-000411,-0.2621515165839451
ACH-000414,-0.04142154971068295
ACH-000415,-0.00885488519744025
