,TOM1 (10043)
ACH-000004,0.10968636948070308
ACH-000005,0.07734213141808091
ACH-000007,0.02065882057978408
ACH-000009,-0.16503846093530228
ACH-000011,0.07414010874996589
ACH-000012,-0.199701455751978
ACH-000013,-0.1970056311302495
ACH-000014,-0.10840295002662716
ACH-000015,-0.1108012390197816
ACH-000017,0.03103812400692792
ACH-000018,0.044804430546091636
ACH-000019,-0.32315121524925466
ACH-000021,-0.13928973543666318
ACH-000022,0.05340016967039304
ACH-000025,-0.13551974122458765
ACH-000028,-0.2075773044809052
ACH-000030,-0.20636340418733884
ACH-000035,-0.11611611859897834
ACH-000036,-0.1637562507104018
ACH-000037,-0.14474175390389496
ACH-000039,-0.364380882934488
ACH-000040,-0.051184497642189526
ACH-000041,-0.3296725942756565
ACH-000042,-0.25833123663498925
ACH-000045,-0.06734192307528691
ACH-000047,-0.09510636600792248
ACH-000052,-0.3287702520628466
ACH-000053,-0.2846033465615933
ACH-000054,-0.1484814784779676
ACH-000055,-0.09619353616509436
ACH-000060,-0.06644980109370872
ACH-000067,-0.26196544096031776
ACH-000070,-0.05393829080863683
ACH-000075,-0.2751252607278283
ACH-000078,-0.06958144989272894
ACH-000082,-0.16284144202545506
ACH-000085,-0.04634988451023639
ACH-000086,0.039252690811783585
ACH-000087,-0.16943695357672414
ACH-000092,-0.24577331366219454
ACH-000095,-0.10668538073006448
ACH-000097,-0.03214306251129593
ACH-000098,-0.15334022361498634
ACH-000099,-0.1941322522759678
ACH-000108,-0.13386915188664628
ACH-000113,-0.18116600171738376
ACH-000116,-0.0640498574583252
ACH-000118,-0.09507658599665116
ACH-000120,-0.019399749844011185
ACH-000123,-0.18171285451739472
ACH-000127,-0.09483063054080082
ACH-000128,-0.3426878718748935
ACH-000132,-0.06535774717936374
ACH-000133,-0.11093790039490854
ACH-000137,-0.3599225389497609
ACH-000138,-0.01176972902369512
ACH-000142,-0.2174416269352725
ACH-000143,-0.1956976512774193
ACH-000146,-0.20248368322433768
ACH-000148,-0.06361345161776906
ACH-000150,-0.2450013857893952
ACH-000152,-0.04882027126704865
ACH-000153,0.07658519080654526
ACH-000159,-0.027522835558790475
ACH-000160,-0.1350004555997234
ACH-000163,-0.09735722418276628
ACH-000167,-0.4145266778416812
ACH-000168,0.011113980960690743
ACH-000169,-0.11014714878585234
ACH-000178,-0.05865968855739626
ACH-000183,-0.012864311577497765
ACH-000188,-0.05478407410902885
ACH-000189,0.22340097533676126
ACH-000190,-0.15300326258329588
ACH-000198,0.09318254734964997
ACH-000203,-0.2741098874832017
ACH-000204,0.17430608302252845
ACH-000206,-0.1296757483488022
ACH-000207,-0.31305087365096673
ACH-000208,0.1809232455631179
ACH-000210,0.06721757388518178
ACH-000211,-0.12512304693859072
ACH-000215,-0.07994024555452242
ACH-000221,-0.192258494249784
ACH-000222,-0.18357334744196105
ACH-000223,-0.17722185192337714
ACH-000226,0.05619956683057548
ACH-000227,-0.25673900930619004
ACH-000228,-0.240245010024864
ACH-000231,-0.1595369788229593
ACH-000232,-0.11725345017112244
ACH-000233,-0.2214810583636494
ACH-000234,-0.010883623534626654
ACH-000235,-0.016037374508317177
ACH-000237,-0.18498089458261516
ACH-000238,-0.15521897260214687
ACH-000242,0.3130911914497177
ACH-000243,-0.21685347876465413
ACH-000244,-0.055592377818457404
ACH-000246,-0.11212099666126024
ACH-000248,-0.08027206136967513
ACH-000250,-0.14159332611544415
ACH-000251,0.01649610888329824
