,ROMO1 (140823)
ACH-000004,-0.974743877150926
ACH-000005,-1.2102601488313005
ACH-000007,-0.9524754969853194
ACH-000009,-0.9537024891863484
ACH-000011,-0.8035371181628076
ACH-000012,-0.4975437469475919
ACH-000013,-0.8597943930356182
ACH-000014,-0.8704864354093478
ACH-000015,-1.0072784537659258
ACH-000017,-0.8691132282457565
ACH-000018,-0.8748290780347234
ACH-000019,-1.258878650571735
ACH-000021,-0.8209643913703464
ACH-000022,-1.1936941065861053
ACH-000025,-0.9689906486801084
ACH-000028,-1.080287934437204
ACH-000030,-0.9415193067272276
ACH-000035,-1.1269276640257555
ACH-000036,-0.8480990107731243
ACH-000037,-0.6248753715146266
ACH-000039,-0.7758047826270139
ACH-000040,-0.9595501649326118
ACH-000041,-0.8307481742702388
ACH-000042,-1.058146394650323
ACH-000045,-0.9146237960056536
ACH-000047,-0.8112703160557038
ACH-000052,-1.21188825483263
ACH-000053,-1.0041091243743887
ACH-000054,-0.5872760384802648
ACH-000055,-1.2053394877022432
ACH-000060,-0.8767428166703372
ACH-000067,-0.8303318291564065
ACH-000070,-0.9974195628497914
ACH-000075,-0.9087240707688972
ACH-000078,-0.6788310010343853
ACH-000082,-0.806573680121935
ACH-000085,-0.948656236712652
ACH-000086,-0.90640852849478
ACH-000087,-1.0848979419950204
ACH-000092,-0.7101902985050208
ACH-000095,-0.8337043302231876
ACH-000097,-0.6660830479932932
ACH-000098,-0.7275645100488396
ACH-000099,-1.0660227376235227
ACH-000108,-1.0863492332806288
ACH-000113,-0.9428459680611296
ACH-000116,-1.059989098761828
ACH-000118,-0.7241027768097792
ACH-000120,-0.8611288180860175
ACH-000123,-0.6675939160564454
ACH-000127,-0.8657294080517097
ACH-000128,-1.2059724409861077
ACH-000132,-0.647643584426335
ACH-000133,-1.0805826060511372
ACH-000137,-0.7425317017471701
ACH-000138,-1.002358294437094
ACH-000142,-0.8279005621945242
ACH-000143,-0.9278349243240762
ACH-000146,-1.2524590453253568
ACH-000148,-0.9949518371639796
ACH-000150,-0.8747776752722779
ACH-000152,-0.8346842126290557
ACH-000153,-0.7908396988385037
ACH-000159,-0.5925633399170336
ACH-000160,-1.2706511668786695
ACH-000163,-0.9542935476204318
ACH-000167,-1.4166339916797124
ACH-000168,-1.078130007524803
ACH-000169,-1.2131898673178012
ACH-000178,-1.004666211499469
ACH-000183,-1.0006607894705668
ACH-000188,-1.090748265089836
ACH-000189,-0.8143223061356302
ACH-000190,-1.0584388100463409
ACH-000198,-0.74401777517651
ACH-000203,-1.158192577411393
ACH-000204,-1.004050115842682
ACH-000206,-1.1730785353499689
ACH-000207,-1.0482811435978592
ACH-000208,-1.2172078796021122
ACH-000210,-0.5869266825263005
ACH-000211,-1.0159684033931242
ACH-000215,-0.952698054611512
ACH-000221,-1.0705199802644747
ACH-000222,-0.8167231694721142
ACH-000223,-1.0612591485924892
ACH-000226,-0.9702589125040036
ACH-000227,-0.9349458290370006
ACH-000228,-0.9579853261520984
ACH-000231,-1.1754040032705635
ACH-000232,-1.2277479886025204
ACH-000233,-0.9688341635944908
ACH-000234,-0.942316233669803
ACH-000235,-0.9098889900617572
ACH-000237,-0.3872649430520623
