,CTBS (1486)
ACH-000004,-0.14714268444633893
ACH-000005,-0.12946984974910286
ACH-000007,-0.017236283596981226
ACH-000009,0.026166678464505974
ACH-000011,-0.02422082298113991
ACH-000012,-0.07979542048962003
ACH-000013,-0.05615763910629919
ACH-000014,-0.06852744980988433
ACH-000015,-0.057297819330495124
ACH-000017,-0.07823398000116595
ACH-000018,-0.08274043458387292
ACH-000019,-0.09666649781756184
ACH-000021,-0.03281541383214616
ACH-000022,-0.057226336103915636
ACH-000025,-0.2753832356776477
ACH-000028,-0.031682157351411624
ACH-000030,-0.0256195740362444
ACH-000035,-0.18341265756188851
ACH-000036,-0.057322550585718064
ACH-000037,0.013963920775597995
ACH-000039,-0.18887722552091094
ACH-000040,-0.031907043632939815
ACH-000041,0.04445483300682496
ACH-000042,0.013685384446064857
ACH-000045,-0.02645704579389373
ACH-000047,-0.13534451342381829
ACH-000052,0.023869116947848653
ACH-000053,-0.032421736335099566
ACH-000054,-0.05287688533748189
ACH-000055,-0.08472973266489939
ACH-000060,-0.0654083923096049
ACH-000067,-0.2728179414062717
ACH-000070,0.042178000820794405
ACH-000075,0.05409010031349715
ACH-000078,-0.14567017395945106
ACH-000082,-0.061710121582863174
ACH-000085,-0.05350255059294467
ACH-000086,-0.1367586169280486
ACH-000087,-0.06655909365955567
ACH-000092,-0.01706997416272639
ACH-000095,-0.03557302686143488
ACH-000097,-0.056134211610290925
ACH-000098,-0.04519123811160743
ACH-000099,-0.1150983311806722
ACH-000108,-0.03167539561258603
ACH-000113,-0.03933325878788418
ACH-000116,-0.020611385348007192
ACH-000118,-0.003785449903581601
ACH-000120,-0.14202740776017736
ACH-000123,-0.10020780728105344
ACH-000127,-0.1291941516347791
ACH-000128,0.04019414567338235
ACH-000132,-0.0650637620987223
ACH-000133,-0.06330600133260261
ACH-000137,-0.2625357918148871
ACH-000138,-0.043084399822264835
ACH-000142,-0.1372358278788222
ACH-000143,-0.17806116669107105
ACH-000146,0.08345936116800443
ACH-000148,-0.07939377053594131
ACH-000150,-0.037334911950149006
ACH-000152,-0.07799394605679881
ACH-000153,-0.17271754602955028
ACH-000159,-0.08497286518936414
ACH-000160,-0.034906164329262
ACH-000163,-0.010588009855552222
ACH-000167,-0.2622558374731702
ACH-000168,-0.0179284887642049
ACH-000169,-0.0777204603959937
ACH-000178,-0.014376033897875378
ACH-000183,-0.10161090526739244
ACH-000188,-0.0714269053485511
ACH-000189,-0.0677038333473418
ACH-000190,-0.11214954741048776
ACH-000198,-0.11490999605698335
ACH-000203,-0.12549166832859635
ACH-000204,-0.15263047749488728
ACH-000206,-0.06735902987895594
ACH-000207,-0.1193163765067774
ACH-000208,-0.2128508671448258
ACH-000210,-0.09830143045719636
ACH-000211,-0.011148616643745687
ACH-000215,-0.11326592121475655
ACH-000221,-0.07641990083272167
ACH-000222,0.16555520432209758
ACH-000223,-0.1462490949300494
ACH-000226,-0.03088897915872811
ACH-000227,0.0852142313307617
ACH-000228,-0.13435143538768102
ACH-000231,-0.06057494405357819
ACH-000232,-0.011244496205518976
ACH-000233,-0.03707035558136559
ACH-000234,-0.046982683100994745
ACH-000235,-0.08412149443309765
ACH-000237,-0.1626799589003809
ACH-000238,0.05345720120211215
ACH-000242,-0.1227695873961579
ACH-000243,-0.002496751229233449
ACH-000244,-0.06342748233709855
ACH-000246,-0.15306888245363148
ACH-000248,0.007486662892015641
ACH-000250,-0.0573622092463017
ACH-000251,-0.2292757781016221
ACH-000252,-0.019694877290712447
ACH-000253,-0.004780294404763254
ACH-000255,-0.11232517222707514
ACH-000256,-0.014700847770946818
ACH-000257,0.08192890976660801
ACH-000258,-0.0567255391803464
ACH-000259,0.03192303636240208
ACH-000260,-0.1029810368551866
ACH-000261,-0.06964002695863414
ACH-000262,0.0893477639840692
ACH-000263,0.0057404781671583785
ACH-000264,0.005435463647916814
ACH-000265,-0.08055956403181389
ACH-000266,-0.008812647578042695
ACH-000272,-0.15885597902926796
ACH-000274,-0.015448506012018274
ACH-000277,-0.0778242508095594
ACH-000278,-0.14280313125545024
ACH-000279,-0.026806699341024372
ACH-000280,0.056223709695502735
ACH-000281,0.17616375142589658
ACH-000288,-0.03378199738700609
ACH-000291,-0.09571296101661772
ACH-000293,-0.003917517012307827
ACH-000294,0.17139318387042082
ACH-000295,0.10029379019020868
ACH-000296,-0.13782096343231978
ACH-000302,-0.08970734618212006
ACH-000304,-0.2145739767540588
ACH-000307,-0.09686992918169338
ACH-000308,0.0013036857351246085
ACH-000310,-0.10470023300847324
ACH-000311,-0.030704118404584986
ACH-000312,-0.07995170404663512
ACH-000315,0.028172856028467343
ACH-000316,0.006916512280722925
ACH-000317,-0.01115796418681683
ACH-000318,-0.01770421773494404
ACH-000319,-0.07080443975518125
ACH-000320,-0.030513369483904405
ACH-000322,-0.05468183592548325
ACH-000323,-0.10879086182485448
ACH-000324,-0.06141150037857655
ACH-000329,0.01745510996376042
ACH-000330,-0.008413431857115536
ACH-000331,-0.1644485765310649
