,ZBTB8A (653121)
ACH-000004,-0.1841145883362675
ACH-000005,0.03532855081389482
ACH-000007,-0.17288864204530455
ACH-000009,-0.17693681002653694
ACH-000011,-0.011609949358193093
ACH-000012,-0.15995340072601527
ACH-000013,-0.13942832304604813
ACH-000014,-0.17488802453523325
ACH-000015,-0.10507363840114116
ACH-000017,-0.12773590815879746
ACH-000018,0.1062807958956926
ACH-000019,-0.09974665005842316
ACH-000021,-0.10378570763472532
ACH-000022,-0.12143268687651243
ACH-000025,-0.0875658798662041
ACH-000028,-0.154750245533313
ACH-000030,-0.09007246987463133
ACH-000035,-0.3049519821656666
ACH-000036,-0.052672762863527074
ACH-000037,-0.09215532962938568
ACH-000039,-0.17354060198115367
ACH-000040,-0.08890427770312694
ACH-000041,-0.1639681542477343
ACH-000042,-0.12553418247485226
ACH-000045,-0.07238970096304079
ACH-000047,-0.06019031754145687
ACH-000052,-0.14810052662645892
ACH-000053,-0.18117544059522328
ACH-000054,-0.17761872368920156
ACH-000055,-0.01274055800671326
ACH-000060,-0.13975629399733172
ACH-000067,-0.12295792297548995
ACH-000070,-0.18766907357346307
ACH-000075,-0.11558620765888047
ACH-000078,-0.09783576766722124
ACH-000082,-0.17939680548647846
ACH-000085,-0.27984227336867823
ACH-000086,-0.21972408051238204
ACH-000087,-0.16976599389409558
ACH-000092,-0.26212074982359984
ACH-000095,-0.08430391766809794
ACH-000097,-0.21865917968141715
ACH-000098,-0.1467884304054699
ACH-000099,-0.08255335046463615
ACH-000108,-0.04018625348260069
ACH-000113,-0.01783319961208049
ACH-000116,-0.09569270912750212
ACH-000118,-0.12880651444646926
ACH-000120,-0.16611397244472825
ACH-000123,-0.17995839500568173
ACH-000127,-0.1119194149112742
ACH-000128,-0.14651472117587622
ACH-000132,-0.12112202006294788
ACH-000133,-0.2382054254147435
ACH-000137,-0.2270808041629183
ACH-000138,-0.18168345426086968
ACH-000142,-0.1996466319669738
ACH-000143,-0.01336317923470432
ACH-000146,-0.109393766604151
ACH-000148,-0.07489123205895852
ACH-000150,-0.31255251174042553
