,SNAPC2 (6618)
ACH-000004,-1.3088378545993755
ACH-000005,-1.7078601381503389
ACH-000007,-0.9340300522438244
ACH-000009,-1.0845483169443118
ACH-000011,-1.0060233844175348
ACH-000012,-1.085260614978769
ACH-000013,-1.1574243449190698
ACH-000014,-1.0455060373938267
ACH-000015,-1.1887489068373869
ACH-000017,-1.2112339747780825
ACH-000018,-1.0905238643270487
ACH-000019,-1.1288211995308337
ACH-000021,-1.1896276324591797
ACH-000022,-1.1577007614147614
ACH-000025,-0.9240461577557382
ACH-000028,-1.15546539510801
ACH-000030,-1.108136150763847
ACH-000035,-1.204994163425958
ACH-000036,-1.0287173344779037
ACH-000037,-0.8366079131053901
ACH-000039,-1.1440382118261083
ACH-000040,-0.8527237761316243
ACH-000041,-1.3318947252441622
ACH-000042,-1.0268150853761222
ACH-000045,-0.8483701469724143
ACH-000047,-1.171372431711947
ACH-000052,-1.0144750479321192
ACH-000053,-1.0047115895756376
ACH-000054,-0.928713476466184
ACH-000055,-0.9804481740698542
ACH-000060,-1.1097173468163268
ACH-000067,-1.1598703197353744
ACH-000070,-0.7668620212016103
ACH-000075,-1.0744082104889936
ACH-000078,-0.9867536323467814
ACH-000082,-0.9033259485310188
ACH-000085,-1.4446667612617452
ACH-000086,-0.9054327787085756
ACH-000087,-1.2688477735550456
ACH-000092,-0.8746421845234055
ACH-000095,-0.7469673906962072
ACH-000097,-1.2110296212101137
ACH-000098,-1.0155054475251266
ACH-000099,-0.8252334008091098
ACH-000108,-1.1963960199865171
ACH-000113,-1.0353082708417234
ACH-000116,-1.286176862135659
ACH-000118,-0.7721505969487946
ACH-000120,-1.0812381331175265
ACH-000123,-0.9183232068338988
ACH-000127,-0.9396711983431859
ACH-000128,-1.1204918261213674
ACH-000132,-0.8023060934387248
ACH-000133,-1.0916528334499624
ACH-000137,-0.9202685691046498
ACH-000138,-1.06179434144066
ACH-000142,-1.1407423910882175
ACH-000143,-1.0284617992605871
ACH-000146,-1.3235093443213817
ACH-000148,-1.0508269872000409
ACH-000150,-1.0793263347946531
ACH-000152,-1.0804773940846224
ACH-000153,-1.1651218348001775
ACH-000159,-1.1214792323953595
ACH-000160,-0.8295628263107809
ACH-000163,-1.191616572974428
ACH-000167,-1.8833820560985897
ACH-000168,-0.8474135309489363
ACH-000169,-0.9583921911412864
ACH-000178,-0.928108177004178
ACH-000183,-1.0145136650783029
ACH-000188,-1.099210669245305
ACH-000189,-1.0991876060592654
ACH-000190,-1.0898685565698762
ACH-000198,-0.8299383307642108
ACH-000203,-1.0341633110661117
ACH-000204,-0.8739708863446208
ACH-000206,-1.1080180165622542
ACH-000207,-0.9478785149952133
ACH-000208,-0.8762652770407728
ACH-000210,-0.8646834427111201
ACH-000211,-0.9572757445374788
ACH-000215,-0.968577254108672
ACH-000221,-1.3193425350025452
ACH-000222,-0.9458632990177548
ACH-000223,-0.8664512878186342
ACH-000226,-1.0075567598699335
ACH-000227,-0.7671233481508772
ACH-000228,-1.1351074365121854
ACH-000231,-1.0408203160458378
ACH-000232,-1.0731674151218633
ACH-000233,-1.0389515553758175
ACH-000234,-1.1202613554274232
ACH-000235,-1.1024708637959333
ACH-000237,-1.1852793675340505
ACH-000238,-0.7200592111876025
ACH-000242,-0.9098233568413759
ACH-000243,-1.2980179919687558
ACH-000244,-0.8501980033617799
ACH-000246,-1.1629220809040397
ACH-000248,-1.2762293884439104
ACH-000250,-1.127355665630018
ACH-000251,-1.4495301478024345
ACH-000252,-1.1555404258556838
ACH-000253,-1.0894108074517326
ACH-000255,-0.9447917963689044
ACH-000256,-1.109601307074866
ACH-000257,-0.6644503821574607
ACH-000258,-1.1125982810962052
ACH-000259,-0.9652418723744042
ACH-000260,-0.9721784729489598
ACH-000261,-0.950840391945964
ACH-000262,-1.024903711329435
ACH-000263,-0.8511264955531099
ACH-000264,-0.8936576407245161
ACH-000265,-0.9891209182503952
ACH-000266,-1.1517478531355962
ACH-000272,-0.8500991848693473
ACH-000274,-0.9728684402399074
ACH-000277,-0.7679171339987593
ACH-000278,-1.2421935272294775
ACH-000279,-1.1157737029703458
ACH-000280,-1.0086894921333966
ACH-000281,-1.0589988717052083
ACH-000288,-0.8440834868537167
ACH-000291,-1.1984474091119963
ACH-000293,-1.4897483682395738
ACH-000294,-1.1911549675366808
ACH-000295,-0.7855915469471123
ACH-000296,-0.9387498486355008
ACH-000302,-1.2785909068283878
ACH-000304,-1.1891697937184889
ACH-000307,-1.1794284435603417
ACH-000308,-1.0999948820712155
ACH-000310,-0.6671262306008648
ACH-000311,-1.060318470639146
ACH-000312,-1.0255222375061441
ACH-000315,-0.7282776341731789
ACH-000316,-1.0084114317894184
ACH-000317,-0.8827153917449274
ACH-000318,-1.1197743022492288
ACH-000319,-1.195463506430867
ACH-000320,-0.9572683713753336
ACH-000322,-0.8538427009214634
ACH-000323,-1.0289231528815026
ACH-000324,-1.0970626254266531
ACH-000329,-0.9590663853282256
ACH-000330,-1.2561479531620734
ACH-000331,-1.0223329651015225
ACH-000332,-1.1466960121489644
ACH-000334,-1.3025637251641018
ACH-000335,-1.0560925833411103
ACH-000336,-0.986261310558091
ACH-000337,-1.0993377855619242
ACH-000338,-0.8118012739988917
ACH-000339,-0.8951929678486751
ACH-000341,-1.1599522965599935
ACH-000348,-1.2887440131388306
ACH-000350,-1.0975860935549508
ACH-000352,-1.3420854273541147
ACH-000356,-1.3502192220088391
ACH-000361,-1.0263613391358402
ACH-000362,-0.8405706539120777
ACH-000363,-1.0496447389545407
ACH-000364,-1.306646428591851
