,LETMD1 (25875)
ACH-000004,-0.19304241563443436
ACH-000005,-0.2034723123404036
ACH-000007,-0.09251658904254394
ACH-000009,-0.33757154452110244
ACH-000011,-0.15153904483157982
ACH-000012,0.009707655211602164
ACH-000013,-0.1419878969413307
ACH-000014,-0.2343693388607268
ACH-000015,-0.2820977765607505
ACH-000017,-0.05782085333578337
ACH-000018,-0.11563731256568115
ACH-000019,-0.07957980532579474
ACH-000021,-0.16335352855963578
ACH-000022,-0.1622899534491889
ACH-000025,-0.27154860055243496
ACH-000028,-0.4088120936635275
ACH-000030,-0.14585991591582292
ACH-000035,0.01705157821995312
ACH-000036,-0.134815257989719
ACH-000037,-0.2608223690539868
ACH-000039,-0.23459258498241256
ACH-000040,-0.2703097308016062
ACH-000041,-0.15879715237833095
ACH-000042,-0.07720292904101207
ACH-000045,-0.12648670650104976
ACH-000047,-0.08865919086115212
ACH-000052,-0.3180760107234775
ACH-000053,-0.08106630074534482
ACH-000054,-0.12564253259265615
ACH-000055,-0.18518937395264787
ACH-000060,0.013701922352811036
ACH-000067,-0.03884690449505257
ACH-000070,-0.04508083650067196
ACH-000075,0.003324228994689528
ACH-000078,-0.12005552228745638
ACH-000082,-0.11244848355455783
ACH-000085,0.08022543751102305
ACH-000086,-0.2346231728469235
ACH-000087,-0.03338593599667772
ACH-000092,-0.1995738119504745
ACH-000095,0.06245839661503959
ACH-000097,-0.1326891058109952
ACH-000098,-0.1870804379193174
ACH-000099,-0.0074596147141869264
ACH-000108,-0.017629428650967338
ACH-000113,-0.06844430113134169
ACH-000116,-0.13720485281646685
ACH-000118,-0.1343619578763341
ACH-000120,-0.17412355512751052
ACH-000123,-0.035145048291606806
ACH-000127,-0.13271487420111647
ACH-000128,-0.3729711777828837
ACH-000132,0.13626391707085958
ACH-000133,-0.16140798722317304
ACH-000137,-0.14058333755952687
ACH-000138,-0.11182538187864466
ACH-000142,-0.1765033093027585
ACH-000143,-0.10706580723186017
ACH-000146,-0.08602448479843101
ACH-000148,-0.19244654971493896
ACH-000150,0.02529805934508439
ACH-000152,-0.3176349382881577
ACH-000153,-0.2887293170014383
ACH-000159,-0.1946000331679613
ACH-000160,-0.1428673669422016
ACH-000163,-0.2771782136734083
ACH-000167,-0.5715146872486397
ACH-000168,-0.1087427973204271
ACH-000169,0.060192641771039425
ACH-000178,-0.06673756977070064
ACH-000183,0.019042275319856337
ACH-000188,-0.06977993966012415
ACH-000189,-0.3728437383340879
ACH-000190,-0.1914808007211895
ACH-000198,-0.1331026683986566
ACH-000203,-0.0643720180180724
ACH-000204,-0.27173235830143394
ACH-000206,-0.2669285355032048
ACH-000207,-0.22113550484649674
ACH-000208,-0.15775440339911262
ACH-000210,-0.053669717185296666
ACH-000211,-0.1308545661128138
ACH-000215,-0.13145410352754294
ACH-000221,-0.01162128564039385
ACH-000222,-0.06131801916716236
ACH-000223,-0.2526225061576629
ACH-000226,-0.19991253734927256
ACH-000227,-0.20086440548516907
ACH-000228,-0.14113524153912416
ACH-000231,-0.10344057082591096
ACH-000232,-0.10218961068735752
ACH-000233,0.0479136056364848
ACH-000234,-0.2495058209203257
ACH-000235,-0.12989361806818914
ACH-000237,-0.04676369368636407
ACH-000238,-0.09418393578468184
ACH-000242,-0.36092256753646856
ACH-000243,-0.1433009886796486
ACH-000244,-0.14254879361874132
ACH-000246,-0.0988145559684488
ACH-000248,-0.24029585538502124
ACH-000250,-0.08463835910349045
ACH-000251,-0.13510385653178858
ACH-000252,-0.2070548465018154
ACH-000253,0.004368585319818378
ACH-000255,-0.08651299801889713
ACH-000256,0.01187828277441415
ACH-000257,-0.040564335571930565
ACH-000258,-0.14975811078157705
ACH-000259,-0.15686420091620884
ACH-000260,-0.09110062695020832
ACH-000261,-0.24286214098806574
ACH-000262,0.034036516270534174
ACH-000263,-0.4595197482353776
ACH-000264,-0.12557347506694871
ACH-000265,-0.06695271093055552
ACH-000266,-0.10837432624326396
ACH-000272,0.00047114733901137365
ACH-000274,-0.15506531717298527
ACH-000277,-0.14078272654719665
ACH-000278,-0.10574528968812796
ACH-000279,-0.1983500482771232
ACH-000280,-0.09966400526438568
ACH-000281,0.011584467022824271
ACH-000288,-0.12396068477708833
ACH-000291,-0.05309726194414481
ACH-000293,-0.16171063205422487
ACH-000294,-0.11963561544185013
ACH-000295,-0.1303658077475517
ACH-000296,-0.2797441746664532
ACH-000302,-0.14531658525363292
ACH-000304,-0.21602070598160028
ACH-000307,-0.10636840127663304
ACH-000308,-0.13050582023173313
ACH-000310,-0.09431961232733113
ACH-000311,0.057413247137404824
ACH-000312,-0.15557616329153787
ACH-000315,0.05311397462152652
ACH-000316,0.11712323258667745
ACH-000317,0.018650741847261697
ACH-000318,-0.16169752556676065
ACH-000319,-0.12802969509534012
ACH-000320,0.033905488757730265
ACH-000322,-0.09738176382341844
ACH-000323,0.02753941772478304
ACH-000324,-0.09372370759528008
ACH-000329,-0.1478750446723676
ACH-000330,-0.08476305915959202
ACH-000331,-0.11531173081432695
ACH-000332,-0.15858662004620025
ACH-000334,-0.22555416325507424
ACH-000335,-0.13262805823688747
ACH-000336,-0.2619257660157547
ACH-000337,-0.3758532483959966
ACH-000338,-0.16816096491836796
ACH-000339,-0.11758933353593568
ACH-000341,-0.3125959305246596
ACH-000348,-0.1521766293901075
ACH-000350,0.011390709049111474
ACH-000352,-0.11185468565734401
ACH-000356,-0.2295048203972856
ACH-000361,-0.2152667911878408
ACH-000362,-0.10092538782819098
ACH-000363,-0.21188924420312355
ACH-000364,-0.2669540997671135
ACH-000365,-0.09971603578023217
ACH-000366,-0.15293052158367912
ACH-000368,-0.07041153092973851
ACH-000374,-0.14800540102109933
ACH-000375,0.05199440371429664
ACH-000376,-0.20576064736713964
ACH-000381,-0.09638444461760576
ACH-000383,-0.10940538673738066
ACH-000387,-0.2416413948593065
ACH-000389,-0.14320344224444054
ACH-000390,-0.04352145593188085
ACH-000393,0.019452897629913368
ACH-000395,-0.10552290196791902
ACH-000396,-0.2294219953966794
ACH-000397,-0.05981980009313737
ACH-000401,0.028669330978027163
ACH-000402,-0.3010455209685702
ACH-000403,-0.12009786494958764
ACH-000404,-0.06164229520605411
ACH-000406,-0.09529576065253573
ACH-000407,-0.04697815036067315
ACH-000408,0.03811427887732605
ACH-000410,-0.13874481438760566
ACH-000411,0.034009308618717066
ACH-000414,-0.08775531099372717
ACH-000415,-0.01483966439015526
ACH-000416,-0.16973541113925472
ACH-000420,-0.10575338390219274
ACH-000421,-0.1573427717601513
ACH-000424,-0.039211869397480004
ACH-000425,-0.10700913895479944
ACH-000426,-0.2821491350391057
ACH-000427,-0.03101190158335215
ACH-000433,-0.15573897120458546
ACH-000435,0.5094761876778687
ACH-000436,-0.385415991989784
ACH-000444,-0.10743827675402512
