,PCNXL3 (399909)
ACH-000004,-0.3018624080425644
ACH-000005,-0.08035198747316871
ACH-000007,-0.541739547685704
ACH-000009,-0.2302722352260085
ACH-000011,-0.20863688838704608
ACH-000012,-0.2055300792972756
ACH-000013,-0.4152439728237181
ACH-000014,-0.33002184544181146
ACH-000015,-0.2815360669281
ACH-000017,-0.5717990730589599
ACH-000018,-0.3690200890548847
ACH-000019,-0.2753373516640778
ACH-000021,-0.4534613931731629
ACH-000022,-0.3564674757468199
ACH-000025,-0.4099154384913212
ACH-000028,-0.3232791401890381
ACH-000030,-0.3767794290552932
ACH-000035,-0.3367923399464448
ACH-000036,-0.3718726568546025
ACH-000037,-0.2689397384275291
ACH-000039,-0.39200040909127015
ACH-000040,-0.35894540787224377
ACH-000041,-0.3553128244892803
ACH-000042,-0.4774210098149421
ACH-000045,-0.3304776567036017
ACH-000047,-0.4159000577778695
ACH-000052,-0.10244050541031996
ACH-000053,-0.2787481405885621
ACH-000054,-0.2663376256757535
ACH-000055,-0.4985229421338142
ACH-000060,-0.4657284856404333
ACH-000067,-0.3447662052556793
ACH-000070,-0.2792030477968396
ACH-000075,-0.3338469938728391
ACH-000078,-0.2526282837339657
ACH-000082,-0.4639132542272774
ACH-000085,-0.5156223543336721
ACH-000086,-0.4934291982711645
ACH-000087,-0.278612930355398
ACH-000092,-0.2757841367659739
ACH-000095,-0.2766768980837408
ACH-000097,-0.2381185305910317
ACH-000098,-0.4618727008762784
ACH-000099,-0.39292033410481225
ACH-000108,-0.4972716562491505
ACH-000113,-0.23320908008967434
ACH-000116,-0.6880968587763469
ACH-000118,-0.4806860316887974
ACH-000120,-0.484365841725191
ACH-000123,-0.3997578171764387
ACH-000127,-0.2785558458913867
ACH-000128,-0.2970811411624044
ACH-000132,-0.6389667248222377
ACH-000133,-0.3673997360132362
ACH-000137,-0.12245262945493104
ACH-000138,-0.4764018398184658
ACH-000142,-0.41747032676270585
ACH-000143,-0.3348360525191055
ACH-000146,-0.34873446174131945
ACH-000148,-0.37472711591007785
ACH-000150,-0.4748823218946466
ACH-000152,-0.2402012003020214
ACH-000153,-0.3989318742151663
ACH-000159,-0.08261369624969685
ACH-000160,-0.40980006156336335
ACH-000163,-0.3682763485490362
ACH-000167,-0.2350004062001653
ACH-000168,-0.2238476287884039
ACH-000169,-0.27796644298912715
ACH-000178,-0.437653193078919
ACH-000183,-0.3836997540702575
ACH-000188,-0.4877221297919208
ACH-000189,-0.39687453493006336
ACH-000190,-0.4446798846938029
ACH-000198,-0.2746871723887072
ACH-000203,-1.0257282873186289
ACH-000204,-0.31017352376188684
ACH-000206,-0.19403785553974928
ACH-000207,-0.7377430796207364
ACH-000208,-0.2507881197866713
ACH-000210,-0.3675915558384074
ACH-000211,-0.4095472710288485
ACH-000215,-0.3495948748392131
ACH-000221,-0.31301656491558005
ACH-000222,-0.3501669047507797
ACH-000223,-0.5362896214396696
ACH-000226,-0.2856714551050556
ACH-000227,-0.3870530153375668
ACH-000228,-0.557413406600869
ACH-000231,-0.2910813510862198
ACH-000232,-0.3720889993065764
ACH-000233,-0.3594866795723611
ACH-000234,-0.4547342984911525
ACH-000235,-0.42001214080921295
ACH-000237,-0.5173254237393214
ACH-000238,-0.4986779286054344
ACH-000242,-0.5946619853767718
ACH-000243,-0.3035768850614266
ACH-000244,-0.6691964406804642
ACH-000246,-0.3793014643270151
ACH-000248,-0.3066806207623202
ACH-000250,-0.2830593876481353
ACH-000251,-0.3127506889258821
ACH-000252,-0.4365605295487138
ACH-000253,-0.5255811867358934
ACH-000255,-0.3427922421995756
ACH-000256,-0.4191248418620343
ACH-000257,-0.3933513385653358
ACH-000258,-0.3578603402029946
ACH-000259,-0.34598100258362524
ACH-000260,-0.3958716828167863
ACH-000261,-0.4615535582269675
ACH-000262,-0.4395535623485489
ACH-000263,-0.040709258835013966
ACH-000264,-0.44304780014866463
ACH-000265,-0.4047689669901883
ACH-000266,-0.5392478020030418
ACH-000272,-0.26252438410259993
ACH-000274,-0.21608668731324124
ACH-000277,-0.5546541191715948
ACH-000278,-0.3998021490878716
ACH-000279,-0.2824177381736699
ACH-000280,-0.3766257543452064
ACH-000281,-0.4787855447101029
ACH-000288,-0.4318271719371285
ACH-000291,-0.2663701999348657
ACH-000293,-0.2328287927743378
ACH-000294,-0.24529936155480844
ACH-000295,-0.3793055008705423
ACH-000296,-0.2066976035473328
ACH-000302,-0.37109726957245215
ACH-000304,-0.0892035098417491
ACH-000307,-0.4363698452323546
ACH-000308,-0.4819847908693005
ACH-000310,-0.21071485360027248
ACH-000311,-0.33951855315864643
ACH-000312,-0.3224190504586078
ACH-000315,-0.6590042630440596
ACH-000316,-0.4163510405018008
ACH-000317,-0.3042238930601236
ACH-000318,-0.6446578574942557
ACH-000319,-0.5241269198234687
ACH-000320,-0.4626272530939899
ACH-000322,-0.4144070979771679
ACH-000323,-0.3593309089701312
ACH-000324,-0.4217190991278533
ACH-000329,-0.3336977569264521
ACH-000330,-0.4271168530440455
ACH-000331,-0.21175165151429567
ACH-000332,-0.4100017679060284
ACH-000334,-0.5241988157361616
ACH-000335,-0.4229573123038968
ACH-000336,-0.4764887860837238
ACH-000337,-0.7086488868385485
ACH-000338,-0.5781145662652327
ACH-000339,-0.3595406326638038
ACH-000341,-0.29524228719164103
ACH-000348,-0.1566815740044191
ACH-000350,-0.06742694720913331
ACH-000352,-0.4714835880634447
ACH-000356,-0.4830998031462594
ACH-000361,-0.3756674411602138
ACH-000362,-0.2309597667083681
ACH-000363,-0.0020540240585979613
ACH-000364,-0.3925656409679084
ACH-000365,-0.365832218413636
ACH-000366,-0.3890132193658766
ACH-000368,-0.3799875199048803
ACH-000374,-0.7359874204648394
ACH-000375,-0.4372739350030844
ACH-000376,-0.4760175508174182
ACH-000381,-0.25311300519509633
ACH-000383,-0.4152793846660797
ACH-000387,-0.3015704894799892
ACH-000389,-0.1786953457008827
ACH-000390,-0.30285391575141074
ACH-000393,-0.09307502282333296
ACH-000395,-0.5063148222172348
ACH-000396,-0.5358627486072679
ACH-000397,-0.36750334464510603
ACH-000401,-0.32592774064730595
ACH-000402,-0.6882726248553304
ACH-000403,-0.4606517159634242
ACH-000404,0.028491531943108533
ACH-000406,-0.2985204127811153
ACH-000407,-0.4810297899227132
ACH-000408,-0.4348649071150765
ACH-000410,-0.13647253031873074
ACH-000411,-0.4775718069054437
ACH-000414,-0.3254536960022066
ACH-000415,-0.6244610800641237
ACH-000416,-0.3559990127829164
ACH-000420,-0.3445155640480995
ACH-000421,-0.3862069817273591
ACH-000424,-0.1940943484732552
