,NIPSNAP3B (55335)
ACH-000004,-0.3738166190995931
ACH-000005,-0.4698904441875932
ACH-000007,-0.3709795429808429
ACH-000009,-0.2087638950497586
ACH-000011,0.04872029167550127
ACH-000012,-0.2338152016314515
ACH-000013,-0.16614237134037274
ACH-000014,-0.20545570429846174
ACH-000015,-0.22926593338842524
ACH-000017,-0.21971698925490885
ACH-000018,-0.23256074265339124
ACH-000019,0.017568344375202057
ACH-000021,-0.2291712621838265
ACH-000022,-0.17196964849783844
ACH-000025,-0.006198567470801253
ACH-000028,-0.07579843981835313
ACH-000030,-0.24028862466788314
ACH-000035,-0.11871990050543604
ACH-000036,-0.16320433261130474
ACH-000037,-0.33844849123911497
ACH-000039,-0.20242470799592688
ACH-000040,-0.3309504754557373
ACH-000041,0.03224047971236399
ACH-000042,-0.13058857881240482
ACH-000045,-0.12980614219727307
ACH-000047,-0.13877836859508472
ACH-000052,0.059358835304262426
ACH-000053,-0.3008333713259041
ACH-000054,-0.2745217806468818
ACH-000055,-0.1431168906005481
ACH-000060,-0.1772580273601065
ACH-000067,-0.13588880966560846
ACH-000070,-0.07592383417481627
ACH-000075,-0.15443730481232906
ACH-000078,-0.2089902840177528
ACH-000082,-0.06497940470255427
ACH-000085,-0.3337533062988289
ACH-000086,-0.23089066679618964
ACH-000087,-0.28536400702519465
ACH-000092,-0.14722303867209832
ACH-000095,-0.16046037066772792
ACH-000097,-0.14632248412444876
ACH-000098,-0.15646783782818094
ACH-000099,-0.273271506023121
ACH-000108,-0.16269432961648295
ACH-000113,-0.3400896631766065
ACH-000116,-0.1901333946430747
ACH-000118,-0.08287675386173471
ACH-000120,-0.18596404505759664
ACH-000123,-0.19890414873765624
ACH-000127,-0.19720132023296386
ACH-000128,-0.05911286843518219
ACH-000132,-0.14588571607848627
ACH-000133,-0.14188702602485515
ACH-000137,-0.2658428374346785
ACH-000138,-0.2849495454008565
ACH-000142,0.05925817760636876
ACH-000143,-0.2332303473773373
ACH-000146,-0.08912396643474514
ACH-000148,-0.18264306090144272
ACH-000150,-0.14100692359884878
ACH-000152,-0.1415579106052853
ACH-000153,-0.3648314187059229
ACH-000159,-0.2234544045112721
ACH-000160,-0.2252261719906984
ACH-000163,-0.2372006781704891
ACH-000167,0.001956390980860786
ACH-000168,-0.3545338312408958
ACH-000169,-0.08085295601562204
ACH-000178,-0.19818375119067602
ACH-000183,-0.04652766486917689
