,HNRNPCL1 (343069)
ACH-000004,-0.4442179644260942
ACH-000005,-0.4744350340714041
ACH-000007,-0.4731075682572136
ACH-000009,-0.5072185818645545
ACH-000011,-0.2733510366531484
ACH-000012,-0.5768901797798347
ACH-000013,-0.307329982497658
ACH-000014,-0.5692455266902817
ACH-000015,-0.23907098184174586
ACH-000017,-0.36308723514259217
ACH-000018,-0.5006902348322785
ACH-000019,-0.21534112477348366
ACH-000021,-0.2561976014958357
ACH-000022,-0.2064251519930055
ACH-000025,-0.5589654923304977
ACH-000028,-0.3043086091402844
ACH-000030,-0.35197644096695857
ACH-000035,-0.3998614754659846
ACH-000036,-0.15615457456645712
ACH-000037,-0.3714577985074813
ACH-000039,-0.4563616967988688
ACH-000040,-0.5399073457035649
ACH-000041,-0.16979849695941404
ACH-000042,-0.4251165338938444
ACH-000045,-0.5344879539166635
ACH-000047,-0.3308895344509763
ACH-000052,-0.34608168637024456
ACH-000053,-0.4714331862278395
ACH-000054,-0.42957427672133536
ACH-000055,-0.15031712261840008
ACH-000060,-0.4162218636008673
ACH-000067,-0.3586047798661928
ACH-000070,-0.3830756410918616
ACH-000075,-0.4141395888964726
ACH-000078,-0.30930956545789395
ACH-000082,-0.3287750974292349
ACH-000085,-0.5529434276773568
ACH-000086,-0.4625571961556308
ACH-000087,-0.41597639023570493
ACH-000092,-0.4103390312065924
ACH-000095,-0.44757188796919933
ACH-000097,-0.4161115629413927
ACH-000098,-0.383065803127626
ACH-000099,-0.34065358527103307
ACH-000108,-0.3754887000312572
ACH-000113,-0.5675183157160865
ACH-000116,-0.337413182684707
ACH-000118,-0.2591258560519401
ACH-000120,-0.2570140366688448
ACH-000123,-0.3487450358189039
ACH-000127,-0.3564483988580317
ACH-000128,-0.6082600006373727
ACH-000132,-0.3005917662991068
ACH-000133,-0.21171396987841748
ACH-000137,-0.12365830519996215
ACH-000138,-0.23088428607448255
ACH-000142,-0.4027372452588629
ACH-000143,-0.1970224080067848
ACH-000146,-0.4656132686513742
ACH-000148,-0.4010150373639725
ACH-000150,-0.6751627521818537
ACH-000152,-0.4268615146337078
ACH-000153,-0.4090783135229589
ACH-000159,-0.31821495696103297
ACH-000160,-0.4668464641103499
ACH-000163,-0.28700638761130354
ACH-000167,-0.9902953361545924
ACH-000168,-0.5282647190717746
ACH-000169,-0.3341164304046412
ACH-000178,-0.3481451903607193
ACH-000183,-0.3276068069720218
ACH-000188,-0.32775591046347785
ACH-000189,-0.7223735190136412
ACH-000190,-0.5576287353556466
ACH-000198,-0.3689358811114021
ACH-000203,-0.33369869459279106
ACH-000204,-0.3520997226717512
ACH-000206,-0.3992414028772083
ACH-000207,-0.3708065146726705
ACH-000208,-0.4861459580768454
ACH-000210,-0.31223980529243034
ACH-000211,-0.2760636816230945
ACH-000215,-0.4517962185293392
ACH-000221,-0.33382339644864834
ACH-000222,-0.479435542988407
ACH-000223,-0.3529000510323513
ACH-000226,-0.3349170326228604
ACH-000227,-0.16103221728866798
ACH-000228,-0.5786556878636019
ACH-000231,-0.2839188699206193
ACH-000232,-0.2715300726978873
ACH-000233,-0.40155926219720495
ACH-000234,-0.4112274674298019
ACH-000235,-0.3528939623937897
ACH-000237,-0.5096892814315445
ACH-000238,-0.3645065165485663
ACH-000242,-0.12426663714848962
ACH-000243,-0.3313570527047605
ACH-000244,-0.3207765064070665
ACH-000246,-0.35363311630141026
ACH-000248,-0.3126507200998025
ACH-000250,-0.42247520342462347
ACH-000251,-0.4247200130990307
ACH-000252,-0.6016221170220298
ACH-000253,-0.3877407854591491
ACH-000255,-0.3944036012929957
ACH-000256,-0.5530176767611558
ACH-000257,-0.2760511384329032
ACH-000258,-0.4914082154356576
ACH-000259,-0.4600148949719426
ACH-000260,-0.29989507442294905
ACH-000261,-0.3034451818110779
ACH-000262,-0.15822507337989644
ACH-000263,-0.22719951597749466
ACH-000264,-0.2609442240637438
ACH-000265,-0.4020145445535099
ACH-000266,-0.3423358631044376
ACH-000272,-0.5413505046315045
ACH-000274,-0.4034492124009059
ACH-000277,-0.3679578935849426
ACH-000278,-0.3935904915358105
ACH-000279,-0.4311182077459679
ACH-000280,-0.5317843401265359
ACH-000281,-0.5119576160946907
ACH-000288,-0.3474052119027136
ACH-000291,-0.503133035451573
ACH-000293,-0.380855191390168
ACH-000294,-0.5532108820722907
ACH-000295,-0.2528588375428171
