,KCNJ4 (3761)
ACH-000004,-0.6984243204922691
ACH-000005,-0.3952422409455171
ACH-000007,-0.2563810505698824
ACH-000009,-0.3092846073908417
ACH-000011,-0.08914111251524266
ACH-000012,-0.42430740273159495
ACH-000013,-0.3154224378052694
ACH-000014,-0.4941555699850279
ACH-000015,-0.4937489545367416
ACH-000017,-0.2205397139776199
ACH-000018,-0.20452778933073326
ACH-000019,-0.02210188654933602
ACH-000021,-0.3641294678831249
ACH-000022,-0.25065795714150485
ACH-000025,-0.2766725298816416
ACH-000028,-0.2571930308402689
ACH-000030,-0.5179661423433051
ACH-000035,-0.26856416765655794
ACH-000036,-0.3717322564013334
ACH-000037,-0.07457371352400154
ACH-000039,-0.4974481878166164
ACH-000040,-0.19701000821606868
ACH-000041,-0.3795504458445278
ACH-000042,-0.4973853378228452
ACH-000045,-0.15557212173362098
ACH-000047,-0.11380602741272455
ACH-000052,-0.5306975899381473
ACH-000053,-0.2960151457020363
ACH-000054,-0.3730212007053503
ACH-000055,-0.22922621181005745
ACH-000060,-0.6134842713488412
ACH-000067,-0.2333879278347513
ACH-000070,-0.2329024906119969
ACH-000075,-0.2314366488811132
ACH-000078,-0.377605829750869
ACH-000082,-0.2806410501608502
ACH-000085,-0.4819584419435623
ACH-000086,-0.2259283041253416
ACH-000087,-0.2740758428099105
ACH-000092,-0.31950944825440736
ACH-000095,-0.33254196190592017
ACH-000097,-0.4916429760394811
ACH-000098,-0.3383545847411001
ACH-000099,-0.3231781909247303
ACH-000108,-0.14669548511286976
ACH-000113,-0.15929789488004314
ACH-000116,-0.22153755158173727
ACH-000118,-0.3103486388637004
ACH-000120,-0.5262505078293516
ACH-000123,-0.24590449228731195
ACH-000127,-0.2546046146954597
ACH-000128,-0.3541830959240742
ACH-000132,-0.32808796363731896
ACH-000133,-0.21252366336951026
ACH-000137,-0.2630985480055236
ACH-000138,-0.07972507335932627
ACH-000142,-0.2638566649079965
ACH-000143,-0.2542830854601548
ACH-000146,-0.32416672882830344
ACH-000148,-0.2473923872924297
ACH-000150,-0.06232710900468254
ACH-000152,-0.1926407078489896
ACH-000153,-0.5308341671375252
ACH-000159,-0.17239973059086222
ACH-000160,-0.4575966678003667
ACH-000163,-0.3960479135496631
ACH-000167,-0.4961247405745731
ACH-000168,-0.4159326869745453
ACH-000169,-0.2355399921139488
ACH-000178,-0.27561636104883985
ACH-000183,-0.2621990522711036
ACH-000188,-0.31150121122107943
ACH-000189,-0.22467412203296933
ACH-000190,0.07064840806411234
ACH-000198,-0.2574387420549722
ACH-000203,-0.6503808972207032
ACH-000204,-0.31678408908615546
ACH-000206,-0.1908429465798848
ACH-000207,-0.3123017737012876
ACH-000208,-0.2445643598221449
ACH-000210,-0.4283372789424496
ACH-000211,-0.3796099208607019
ACH-000215,-0.3313952132046876
ACH-000221,-0.3049235689761149
ACH-000222,-0.309912502382294
ACH-000223,-0.2730391463960201
ACH-000226,-0.36723571556467816
ACH-000227,-0.35838321986377664
ACH-000228,-0.2070254196254436
ACH-000231,-0.3552497730771351
ACH-000232,-0.264432255192589
ACH-000233,-0.2801938000068922
ACH-000234,-0.21571863017663706
ACH-000235,-0.32119546314944303
ACH-000237,-0.4748493210133588
ACH-000238,-0.3143237795483915
ACH-000242,-0.5595473914083103
ACH-000243,-0.3887376149908592
ACH-000244,-0.4782828473130055
ACH-000246,-0.2790233335379256
ACH-000248,-0.3760068384248957
ACH-000250,-0.2579147616215052
