,GOLPH3L (55204)
ACH-000004,-0.3152192014642366
ACH-000005,0.08957825546887645
ACH-000007,-0.09577039452175533
ACH-000009,-0.32914108595592634
ACH-000011,-0.10676737581271377
ACH-000012,-0.12996998563526915
ACH-000013,-0.13632848725886695
ACH-000014,-0.2904031763909489
ACH-000015,-0.21079281516390835
ACH-000017,-0.16095995092100526
ACH-000018,-0.18497563819139348
ACH-000019,-0.26488749886052443
ACH-000021,-0.18286677991483088
ACH-000022,-0.1661519498836296
ACH-000025,-0.3328971427424782
ACH-000028,-0.3389891062835022
ACH-000030,-0.15978183440147994
ACH-000035,-0.24691779639627354
ACH-000036,-0.11478034683613725
ACH-000037,-0.1159001802476139
ACH-000039,-0.3129506700922092
ACH-000040,-0.17087494372403414
ACH-000041,-0.12220003652903814
ACH-000042,-0.1935540470884309
ACH-000045,-0.1692296035250386
ACH-000047,-0.25012918146394625
ACH-000052,-0.4321330983816194
ACH-000053,-0.2729103635581498
ACH-000054,-0.20295114643856094
ACH-000055,-0.29662879430180816
ACH-000060,-0.2343244790850728
ACH-000067,-0.09343170211379477
ACH-000070,0.07238306586952806
ACH-000075,-0.2737359524955202
ACH-000078,-0.3761034325197257
ACH-000082,-0.15068246242034264
ACH-000085,-0.26154197107150234
ACH-000086,-0.4078549729715552
ACH-000087,-0.15111652775468892
ACH-000092,-0.19362248174888488
ACH-000095,-0.051048411531356336
ACH-000097,-0.2476816880490895
ACH-000098,-0.2084260379833592
ACH-000099,-0.22877508443822656
ACH-000108,0.0520719799134842
ACH-000113,-0.22818864954390966
ACH-000116,-0.2957048555047116
ACH-000118,-0.14450734755099376
ACH-000120,-0.1955463006356047
ACH-000123,-0.2643517305834919
ACH-000127,-0.14672698693294764
ACH-000128,-0.19998219685229351
ACH-000132,-0.1360179861402635
ACH-000133,-0.2559138641772021
ACH-000137,-0.2159504762349829
ACH-000138,-0.10092184494296252
ACH-000142,-0.10364320828196134
ACH-000143,-0.17380072080310366
ACH-000146,-0.2254901903393494
ACH-000148,-0.1676512081078818
ACH-000150,-0.07573917544776715
ACH-000152,-0.25892415281154224
ACH-000153,-0.3660289069506337
ACH-000159,-0.2488352014348459
ACH-000160,-0.05931880982568445
ACH-000163,-0.10704747377457664
ACH-000167,-0.10612228532595852
ACH-000168,-0.2672503701271891
ACH-000169,-0.1429660960904874
ACH-000178,-0.14187544724067888
ACH-000183,-0.3324339953143952
ACH-000188,-0.10949521793431972
ACH-000189,-0.4059044630059661
ACH-000190,-0.3316842394724826
ACH-000198,-0.1624215498841431
ACH-000203,0.1785953869331733
ACH-000204,-0.29027188768656936
ACH-000206,-0.18980228921228176
ACH-000207,-0.10553409424174223
ACH-000208,-0.07033078768881942
ACH-000210,-0.16600597831302294
ACH-000211,-0.12130514585234607
ACH-000215,-0.271908803993307
ACH-000221,-0.10194419736356047
ACH-000222,-0.07239768438799557
ACH-000223,-0.20307253844212167
ACH-000226,-0.21002206050176445
ACH-000227,-0.1778840559636161
ACH-000228,-0.2431431797781581
ACH-000231,-0.11946855013524604
ACH-000232,-0.2841487523833056
ACH-000233,-0.15747913274004058
ACH-000234,-0.10796242306708492
ACH-000235,-0.16442882603874998
ACH-000237,-0.09866783176353146
ACH-000238,-0.10661953177680354
ACH-000242,-0.26076816087424043
ACH-000243,-0.12603007563844598
ACH-000244,-0.125134417537001
ACH-000246,-0.15565167846430158
ACH-000248,-0.1526409582075435
ACH-000250,-0.09629295824845924
