,FSHB (2488)
ACH-000004,0.4250152302331504
ACH-000005,-0.04121085900460239
ACH-000007,0.20193123925011655
ACH-000009,0.15751912237208004
ACH-000011,0.15621077860850552
ACH-000012,0.13113077427865671
ACH-000013,0.13337252184163625
ACH-000014,0.1121096418975
ACH-000015,0.19744420220028072
ACH-000017,0.20175435289440305
ACH-000018,0.16517731342083658
ACH-000019,0.15167535875426444
ACH-000021,0.11744708112516047
ACH-000022,0.2498929971831381
ACH-000025,0.10489033340991197
ACH-000028,0.028534824608978236
ACH-000030,0.07511829347663529
ACH-000035,0.10420953201875202
ACH-000036,0.24528159871683025
ACH-000037,0.11743342481196445
ACH-000039,0.19248239182458876
ACH-000040,0.18881742320729272
ACH-000041,0.2592228062451121
ACH-000042,0.1455315330563712
ACH-000045,0.20334857823545885
ACH-000047,0.20830709446388088
ACH-000052,0.03910024011214497
ACH-000053,0.15435218912121101
ACH-000054,0.1762279355834562
ACH-000055,0.20696950918667004
ACH-000060,0.2690431586526405
ACH-000067,0.3233708576812787
ACH-000070,0.4238156604745499
ACH-000075,0.15042885325915684
ACH-000078,0.3417966015957981
ACH-000082,0.20871452147441533
ACH-000085,-0.0199168417308564
ACH-000086,0.21531363129447934
ACH-000087,0.038701879591936335
ACH-000092,0.22931228338833115
ACH-000095,0.2268927991120119
ACH-000097,0.20589816228313595
ACH-000098,0.155239593537964
ACH-000099,0.17981589267519354
ACH-000108,0.28334734346978285
ACH-000113,0.1674515179196416
ACH-000116,0.15543504427799082
ACH-000118,0.15639775970169867
ACH-000120,0.19856835718462765
ACH-000123,0.26820253300946795
ACH-000127,0.08540163599433839
ACH-000128,0.13586766345104567
ACH-000132,0.14087379546585418
ACH-000133,0.11611150099760227
ACH-000137,0.15244867925291464
ACH-000138,0.1627088682609803
ACH-000142,0.16328633267172274
ACH-000143,0.10619859565903038
ACH-000146,0.21111473390741586
ACH-000148,0.08738162446172977
ACH-000150,0.2962507698288959
ACH-000152,0.13024994140064755
ACH-000153,0.04691817466777424
ACH-000159,0.18499520266580427
ACH-000160,0.1321171155872045
ACH-000163,0.20267859680174466
ACH-000167,0.2498240247095401
ACH-000168,0.010907369032343874
ACH-000169,0.1272672339420156
ACH-000178,0.3139090674838802
ACH-000183,0.16520215816706207
ACH-000188,0.19251490250905431
ACH-000189,0.5474762015927963
ACH-000190,-0.13565115898900104
ACH-000198,0.18559678924606987
ACH-000203,0.09524273098278234
ACH-000204,0.28606894403791805
ACH-000206,0.16560224782069444
ACH-000207,0.19261608188674972
ACH-000208,0.4298459462130958
ACH-000210,0.21058686938337276
ACH-000211,0.2392817737234219
ACH-000215,0.2402118979165418
ACH-000221,0.09585227050402506
ACH-000222,0.10535298000970607
ACH-000223,0.18328875118937146
ACH-000226,0.08558007025056563
ACH-000227,0.1412407175383026
ACH-000228,0.2490235657912467
ACH-000231,0.2035528084874348
ACH-000232,0.14328882050197084
