,F2R (2149)
ACH-000004,-0.2551090909436502
ACH-000005,-0.4329973188400318
ACH-000007,-0.1312181348967803
ACH-000009,-0.0460477116686085
ACH-000011,-0.20204617175650266
ACH-000012,-0.1816494694279384
ACH-000013,-0.047910178858929287
ACH-000014,-0.15433229281737054
ACH-000015,-0.26938593782840536
ACH-000017,-0.06534565404022956
ACH-000018,-0.4550001589327544
ACH-000019,0.047488605339334335
ACH-000021,-0.12914003917122555
ACH-000022,-0.10957219819309587
ACH-000025,-0.1972622364178611
ACH-000028,-0.06951276575841521
ACH-000030,-0.13069666948220462
ACH-000035,-0.017559897110584137
ACH-000036,0.1847303722657388
ACH-000037,-0.29441725343258945
ACH-000039,-0.00867964278308579
ACH-000040,-0.17642190345873146
ACH-000041,-0.054858431311435314
ACH-000042,-0.1334315311230748
ACH-000045,-0.011453846712358502
ACH-000047,-0.09638995711524316
ACH-000052,-0.2898288635279725
ACH-000053,-0.17696894278330966
ACH-000054,-0.3884488982979408
ACH-000055,-0.05990099625484128
ACH-000060,-0.18450254457602444
ACH-000067,-0.11255337619495732
ACH-000070,-0.06447267307254455
ACH-000075,0.014752671387299156
ACH-000078,-0.0968524236909502
ACH-000082,-0.16986449320683747
ACH-000085,-0.42339287120759656
ACH-000086,-0.11053872828426646
ACH-000087,-0.08316372255415902
ACH-000092,-0.1943229772615648
ACH-000095,-0.27865406070166643
ACH-000097,-0.10194990453524026
ACH-000098,-0.483796993128689
ACH-000099,0.028114885608490167
ACH-000108,-0.014412591016164263
ACH-000113,-0.09430867826106007
ACH-000116,-0.10596226071073696
ACH-000118,-0.06567703212051615
ACH-000120,-0.026666616300117
ACH-000123,-0.21279794823387885
ACH-000127,-0.2450646393426526
ACH-000128,-0.18073363799528894
ACH-000132,-0.43241701219457584
ACH-000133,-0.1383503384491379
ACH-000137,-0.5011342676582341
ACH-000138,-0.048920974566347135
ACH-000142,0.08097688250219001
ACH-000143,-0.12103282221760556
ACH-000146,-0.08279705149391935
ACH-000148,-0.2095398020167659
ACH-000150,0.13752714904814153
ACH-000152,0.036120901011960235
ACH-000153,-0.33814216794063634
ACH-000159,-0.04796894170476258
ACH-000160,-0.004072813660779343
ACH-000163,0.03877808029469512
ACH-000167,-0.5737700499256638
ACH-000168,0.016743556431378953
ACH-000169,-0.051311982412474116
ACH-000178,-0.016269940598020817
ACH-000183,-0.24113833667011456
ACH-000188,-0.18717916590393305
ACH-000189,0.08852835580040465
ACH-000190,-0.1017981910876312
ACH-000198,-0.01786232647749468
ACH-000203,-0.4863886639322362
ACH-000204,-0.16214487545855935
ACH-000206,-0.2622163364126272
ACH-000207,-0.0948438173057332
ACH-000208,-0.06539632794610663
ACH-000210,0.060604090178135665
ACH-000211,0.02780458665968286
ACH-000215,-0.0922403967275378
ACH-000221,0.06564199115539364
ACH-000222,-0.0782700079553075
ACH-000223,-0.011230090856981168
ACH-000226,-0.3605707787075596
ACH-000227,-0.2306753233889173
ACH-000228,-0.19338620463521808
ACH-000231,-0.181918761223341
ACH-000232,-0.4549864389009553
ACH-000233,-0.02737416365782307
ACH-000234,-0.18632282743275003
ACH-000235,-0.1418446862499414
ACH-000237,-0.05559175453098728
ACH-000238,-0.015795237534969052
ACH-000242,-0.17469604371225655
ACH-000243,-0.035340395701540774
ACH-000244,0.052924525310629085
ACH-000246,0.023757311125549616
ACH-000248,-0.04155462369558493
ACH-000250,-0.09195217509687516
ACH-000251,-0.12128902625751654
ACH-000252,-0.2998637614382197
ACH-000253,-0.06309907562549873
ACH-000255,-0.2158395298610089
ACH-000256,-0.18411618962868204
ACH-000257,-0.1130869243050198
ACH-000258,-0.04152240623895633
ACH-000259,-0.09623398578260577
ACH-000260,-0.1368978023658382
ACH-000261,-0.21871009200668345
ACH-000262,0.10741966384911099
ACH-000263,0.09122070053916016
ACH-000264,-0.1689193220702878
ACH-000265,-0.15975475545704687
ACH-000266,-0.15337474477212798
ACH-000272,-0.1456119045016148
ACH-000274,-0.5566029109752013
ACH-000277,-0.02001098447615124
ACH-000278,-0.16478424886817974
ACH-000279,-0.1408029900438701
ACH-000280,-0.06069768140806357
ACH-000281,-0.16996770539205294
ACH-000288,-0.04183285297122152
ACH-000291,-0.014425239405613646
ACH-000293,-0.11692609173065895
ACH-000294,0.025653391472880302
ACH-000295,-0.1894292008687692
ACH-000296,-0.16178563344233926
ACH-000302,-0.3490174359052952
ACH-000304,0.07397738486839481
ACH-000307,-0.12976624533516776
ACH-000308,-0.04351227244023266
ACH-000310,0.07204950461159051
ACH-000311,-0.13420967020796384
ACH-000312,-0.1134277126690678
ACH-000315,-0.10651308820505477
ACH-000316,-0.3668061947771677
ACH-000317,-0.18857527470430044
ACH-000318,0.1244371551648678
ACH-000319,-0.2501996451600563
ACH-000320,0.05422579545702206
ACH-000322,-0.08363954722716681
ACH-000323,-0.1186663686966536
ACH-000324,-0.05178939318698365
