,FARS2 (10667)
ACH-000004,-0.8896462376182445
ACH-000005,-0.5753997017058946
ACH-000007,-0.6472580908094273
ACH-000009,-0.5201217435760922
ACH-000011,-0.25775416824537795
ACH-000012,-0.8836424446646161
ACH-000013,-0.5801718358884151
ACH-000014,-0.4754370589634146
ACH-000015,-0.7078307764627401
ACH-000017,-0.5374971552562486
ACH-000018,-0.9756613817465096
ACH-000019,-0.8030394870308895
ACH-000021,-0.4486981347360216
ACH-000022,-0.6710432940142157
ACH-000025,-0.7437379699971128
ACH-000028,-0.8085353925197194
ACH-000030,-0.5884615923612204
ACH-000035,-0.8186827371931121
ACH-000036,-0.18616154669151594
ACH-000037,-0.5482160782926093
ACH-000039,-0.6085431759227392
ACH-000040,-0.3726431346092831
ACH-000041,-0.6859004529158089
ACH-000042,-0.4491998224098229
ACH-000045,-0.5144916041840857
ACH-000047,-0.6668367188248101
ACH-000052,-0.5978786574353161
ACH-000053,-0.3869108766277493
ACH-000054,-0.617986602368735
ACH-000055,-0.4937886335450058
ACH-000060,-0.4766135987332105
ACH-000067,-0.7745578979146067
ACH-000070,-0.4904027172389892
ACH-000075,-0.2851190155139293
ACH-000078,-0.5651000074270074
ACH-000082,-0.5437272371186729
ACH-000085,-0.7929723008850719
ACH-000086,-0.8943703654132888
ACH-000087,-0.5439173914446066
ACH-000092,-0.3364216072710696
ACH-000095,-0.2616023642197633
ACH-000097,-0.5330459467366355
ACH-000098,-0.4813536818622666
ACH-000099,-0.6182622045073254
ACH-000108,-0.3404410275003146
ACH-000113,-0.5197783466643706
ACH-000116,-0.5810430916439246
ACH-000118,-0.8407708603134932
ACH-000120,-0.5063746482136515
ACH-000123,-0.6038145386776993
ACH-000127,-0.7361050650877402
ACH-000128,-0.6217351095723448
ACH-000132,-0.4383477464905967
ACH-000133,-0.5644125315127128
ACH-000137,-0.41515206864397053
ACH-000138,-0.4452602243023526
ACH-000142,-0.2986959059157652
ACH-000143,-0.647447056191197
ACH-000146,-0.8355815827098051
ACH-000148,-0.4412649119104903
ACH-000150,-0.699101831082771
ACH-000152,-0.4345059812226473
ACH-000153,-0.8006573732076455
ACH-000159,-0.6166031746752162
