,SEPW1 (6415)
ACH-000004,-0.3968402512323443
ACH-000005,-0.2552248272723621
ACH-000007,0.06992100964971666
ACH-000009,-0.143544717438645
ACH-000011,-0.4108191704827888
ACH-000012,-0.2894174618040044
ACH-000013,-0.30466103154305896
ACH-000014,-0.04140288819720831
ACH-000015,-0.2513068154007401
ACH-000017,-0.1048151232118906
ACH-000018,-0.6046086040995157
ACH-000019,-0.12782800258721294
ACH-000021,-0.2694755425401558
ACH-000022,-0.20911541240532933
ACH-000025,-0.1042725627411844
ACH-000028,-0.30175446429497377
ACH-000030,-0.24021902438808385
ACH-000035,-0.17479747507862414
ACH-000036,-0.26102525602598703
ACH-000037,-0.190927516526184
ACH-000039,-0.1748691670434835
ACH-000040,-0.28340175256129085
ACH-000041,-0.25494261673782503
ACH-000042,-0.2399160023324792
ACH-000045,-0.267455877910633
ACH-000047,-0.15746628970406154
ACH-000052,-0.18912603105144096
ACH-000053,-0.39903328587386205
ACH-000054,-0.2945717161784495
ACH-000055,-0.22399923583813852
ACH-000060,-0.15741365295866888
ACH-000067,-0.3423686156219647
ACH-000070,-0.2591766952243626
ACH-000075,-0.12747745220086845
ACH-000078,-0.3856641004061042
ACH-000082,-0.11943908368775602
ACH-000085,-0.3396833210353402
ACH-000086,-0.27011773175720405
ACH-000087,-0.31199428393668105
ACH-000092,-0.2325451920245699
ACH-000095,-0.18160863806257266
ACH-000097,-0.2928392371174279
ACH-000098,-0.2771950647566355
ACH-000099,-0.13860001209297287
ACH-000108,-0.28192899525163345
ACH-000113,-0.08423416233453537
ACH-000116,-0.13033112494686366
ACH-000118,-0.20639803723301853
ACH-000120,-0.10168532893052128
ACH-000123,-0.2922418502019929
ACH-000127,-0.3578897142796808
ACH-000128,-0.16476149560258035
ACH-000132,-0.2273574290574792
ACH-000133,-0.2543227904213685
ACH-000137,-0.3659554139036218
ACH-000138,-0.12872663099546572
ACH-000142,-0.2954175582207374
ACH-000143,-0.02546084122851536
ACH-000146,-0.15460891801707136
ACH-000148,-0.1904533444466691
ACH-000150,-0.35238792325956725
ACH-000152,-0.17569134162326505
ACH-000153,-0.4409766618367045
ACH-000159,-0.3097445984807089
ACH-000160,-0.20174335215451814
