,PCNA (5111)
ACH-000004,-1.8872446913768668
ACH-000005,-1.996427741800456
ACH-000007,-1.2473065307634714
ACH-000009,-1.5557475449483342
ACH-000011,-1.5684071143076788
ACH-000012,-1.5470075860536787
ACH-000013,-1.7186670087785534
ACH-000014,-1.402557469581683
ACH-000015,-1.3917471291970682
ACH-000017,-1.3458209941509054
ACH-000018,-1.1906936014822935
ACH-000019,-1.529557657824179
ACH-000021,-1.4292521536431968
ACH-000022,-1.4310211274481055
ACH-000025,-1.5616405071448514
ACH-000028,-1.4056892726943389
ACH-000030,-1.520821257140463
ACH-000035,-1.4908199030397011
ACH-000036,-1.26454754141854
ACH-000037,-0.5190735766049474
ACH-000039,-1.3945043646703073
ACH-000040,-1.2381164468411592
ACH-000041,-1.4940176433429253
ACH-000042,-1.328611490146108
ACH-000045,-1.2404176511651113
ACH-000047,-1.6186013699138406
ACH-000052,-1.2492686344731032
ACH-000053,-1.353363229191539
ACH-000054,-1.300912649276948
ACH-000055,-1.35166627329359
ACH-000060,-1.5001909571562466
ACH-000067,-1.4782536186798
ACH-000070,-1.4905992367400542
ACH-000075,-1.1388890953115596
ACH-000078,-1.2855086268289544
ACH-000082,-1.6301041208858282
ACH-000085,-1.4219874601665865
ACH-000086,-1.256287867236823
ACH-000087,-1.6810119357376967
ACH-000092,-1.475901726958766
ACH-000095,-1.4823774977015376
ACH-000097,-1.5856759219402148
ACH-000098,-1.316795659546578
ACH-000099,-1.4411193627666363
ACH-000108,-1.4634744625806049
ACH-000113,-1.477445307596522
ACH-000116,-1.559735953754391
ACH-000118,-1.526357775776325
ACH-000120,-1.213997882574972
ACH-000123,-1.5109193972071118
ACH-000127,-1.3059516088730159
ACH-000128,-1.3406405633700127
ACH-000132,-1.3873457846586394
ACH-000133,-1.4956193977374823
ACH-000137,-1.2657425034554275
ACH-000138,-1.4760829771752195
ACH-000142,-1.385201867841073
ACH-000143,-1.7155766491705438
ACH-000146,-1.746748768843989
ACH-000148,-1.5838381616132142
ACH-000150,-1.5154914597376024
ACH-000152,-1.1441555571620965
ACH-000153,-1.410931916491814
ACH-000159,-1.248505136477795
ACH-000160,-1.3493181335310511
ACH-000163,-1.5390215903608035
ACH-000167,-1.8044121033303315
ACH-000168,-1.567825922998715
ACH-000169,-1.56961279012191
ACH-000178,-1.291954506912713
ACH-000183,-1.614900217008838
ACH-000188,-1.4520231640415655
ACH-000189,-1.575983959644195
ACH-000190,-1.241881208703744
ACH-000198,-1.5013373022713588
ACH-000203,-1.5908833032768552
ACH-000204,-1.3203213558581732
ACH-000206,-1.5436461969624975
ACH-000207,-1.8508832842030152
ACH-000208,-1.4024112394847985
ACH-000210,-1.3873881961141907
ACH-000211,-1.5408380981196619
ACH-000215,-1.359898727206992
ACH-000221,-1.2678704259385527
ACH-000222,-1.5928130868040105
ACH-000223,-1.2887435846342736
ACH-000226,-1.2642104216107657
ACH-000227,-1.4679214239519616
ACH-000228,-1.7745443265430725
ACH-000231,-1.3397493274147687
ACH-000232,-1.4505527550927184
ACH-000233,-1.255681606201526
ACH-000234,-1.1904567871074403
ACH-000235,-1.3724302593086737
ACH-000237,-1.4583750335464325
ACH-000238,-1.567300655322147
ACH-000242,-1.5960099340092686
ACH-000243,-1.4586793913613296
ACH-000244,-1.0178009828703802
ACH-000246,-1.1167907948436608
ACH-000248,-1.2930467044942848
ACH-000250,-1.3320627024705791
ACH-000251,-1.9060711695502015
ACH-000252,-1.1750421741044
ACH-000253,-1.3728698327311006
ACH-000255,-1.2993467401763832
ACH-000256,-1.4438868308980175
ACH-000257,-1.4495964067400846
ACH-000258,-1.4521316307908267
ACH-000259,-1.67551496941485
ACH-000260,-1.3370419489890335
ACH-000261,-1.4292073420501152
ACH-000262,-0.9313782163031136
ACH-000263,-1.0600030421101645
ACH-000264,-1.431513397552833
ACH-000265,-1.5213486251497357
ACH-000266,-1.2881290720833458
ACH-000272,-1.2357326049468875
ACH-000274,-1.3858825026090609
ACH-000277,-1.5286537060794665
ACH-000278,-1.5621321958926322
ACH-000279,-1.4670443635359187
ACH-000280,-1.405036638930207
ACH-000281,-1.3610654949209346
ACH-000288,-1.2761702615037245
ACH-000291,-1.4473800912053725
ACH-000293,-1.7795116818503829
ACH-000294,-1.61949192258732
ACH-000295,-1.6174385982365975
ACH-000296,-1.5150310339025106
ACH-000302,-1.6788393949107725
ACH-000304,-1.3849528172136822
ACH-000307,-1.3793112384874988
ACH-000308,-1.5144353466141718
ACH-000310,-1.3005560026135228
ACH-000311,-1.246704493954197
ACH-000312,-1.4035105184559693
ACH-000315,-1.4224150172413317
ACH-000316,-1.4192208915694524
ACH-000317,-1.4052604582733748
ACH-000318,-1.8353982237951312
ACH-000319,-1.510196595320656
ACH-000320,-1.3062788649137247
ACH-000322,-1.2231848067630946
ACH-000323,-1.382180579215702
ACH-000324,-1.518253461385133
ACH-000329,-1.4482546714495708
ACH-000330,-1.4167163101825015
ACH-000331,-1.4586751800792526
ACH-000332,-1.5347994104728488
ACH-000334,-1.9022227847898807
ACH-000335,-1.4040262360061508
ACH-000336,-1.3412618859345848
ACH-000337,-1.3603128002545606
ACH-000338,-1.3523840646000096
ACH-000339,-1.3856344691442768
ACH-000341,-1.6778395082171251
ACH-000348,-1.360548520261074
ACH-000350,-1.5605136662121168
ACH-000352,-1.5900779365279785
ACH-000356,-1.5105131531890383
ACH-000361,-1.6094315463872433
ACH-000362,-1.3921169637445303
ACH-000363,-1.5536773971700848
ACH-000364,-1.6501710860135883
ACH-000365,-1.58991037983089
ACH-000366,-1.4315411294831155
ACH-000368,-1.1089369599187358
ACH-000374,-1.3175891344187003
ACH-000375,-1.300529836909662
ACH-000376,-1.2175983090438385
ACH-000381,-1.2689136364366642
ACH-000383,-1.2719479888104148
ACH-000387,-1.6843263986687822
ACH-000389,-1.3983911852855802
ACH-000390,-1.3863868219561308
ACH-000393,-1.4531175133806744
ACH-000395,-1.2857248812208666
ACH-000396,-1.7705597611874162
ACH-000397,-1.2874223698718046
ACH-000401,-1.2940868450736136
ACH-000402,-1.649981868682436
ACH-000403,-1.580714364075268
ACH-000404,-1.3919874247535242
ACH-000406,-1.3747125101883564
ACH-000407,-1.300612925587721
ACH-000408,-1.4847487897483176
ACH-000410,-1.37531151112807
ACH-000411,-1.4620820760956323
ACH-000414,-1.5456715720135066
ACH-000415,-1.463650136279275
ACH-000416,-1.47064145340264
ACH-000420,-1.3826943313340003
ACH-000421,-1.610613070563004
ACH-000424,-1.5396408121741685
ACH-000425,-1.3977894795870331
ACH-000426,-2.1737829574160923
ACH-000427,-1.6127654983843531
ACH-000433,-1.4811152793397933
ACH-000435,-1.2384951149900878
ACH-000436,-1.4694622115221951
ACH-000444,-1.2849616454686676
ACH-000445,-1.2678257222424665
ACH-000448,-1.4585426323841109
ACH-000450,-1.2565286860765759
ACH-000452,-1.5425411466400285
ACH-000454,-1.5626833055894975
