,GNPNAT1 (64841)
ACH-000004,-0.3700644490636318
ACH-000005,-0.3050826151241917
ACH-000007,-0.2922712044294974
ACH-000009,-0.3507035436203389
ACH-000011,-0.3644868233320305
ACH-000012,-0.07167444943141962
ACH-000013,-0.21029780831708555
ACH-000014,-0.5032814107620984
ACH-000015,-0.2582877561834095
ACH-000017,-0.7934203868771692
ACH-000018,-0.3894453172371841
ACH-000019,-0.2497561717379658
ACH-000021,-0.2645723890693677
ACH-000022,-0.2587913980091824
ACH-000025,-0.2650080906082841
ACH-000028,-0.3630405688342647
ACH-000030,-0.5596985579705811
ACH-000035,-0.4113388621563914
ACH-000036,-0.4216728926498769
ACH-000037,-0.31566545619454844
ACH-000039,-0.25691154854324755
ACH-000040,-0.4244619681619453
ACH-000041,-0.3179721286371192
ACH-000042,-0.5196034755459347
ACH-000045,-0.18007299491959086
ACH-000047,-0.16807451486912792
ACH-000052,-0.3030526150681985
ACH-000053,-0.4441556065542569
ACH-000054,-0.34000556668965065
ACH-000055,-0.12627905745997695
ACH-000060,-0.5672207627704627
ACH-000067,-0.30654591653998464
ACH-000070,-0.6731268264522793
ACH-000075,-0.2804813118794622
ACH-000078,-0.3180848761235643
ACH-000082,-0.4344452671963824
ACH-000085,-0.2419079880852255
ACH-000086,-0.2824085637440874
ACH-000087,-0.16721510700148884
ACH-000092,-0.3608575532731049
ACH-000095,-0.2906297137090955
ACH-000097,-0.2799874835050273
ACH-000098,-0.267209092515576
ACH-000099,-0.21856733312149693
ACH-000108,-0.5819522655710219
ACH-000113,-0.3248685338731185
ACH-000116,-0.2821875269888497
ACH-000118,-0.513573016827186
ACH-000120,-0.17180706099002022
ACH-000123,-0.10538964251117254
ACH-000127,-0.2424033079423609
ACH-000128,-0.2643465127379454
ACH-000132,-0.2348308747031472
ACH-000133,-0.4110183415710408
ACH-000137,-0.2703503583522011
ACH-000138,-0.5079140773039543
ACH-000142,-0.454508308390757
ACH-000143,-0.3217860140537647
ACH-000146,-0.20814285274054506
ACH-000148,-0.3642031064730307
ACH-000150,-0.27202783516395096
ACH-000152,-0.4670735973439804
ACH-000153,-0.4683363459451137
ACH-000159,-0.3887627467812211
ACH-000160,-0.2498734892121222
ACH-000163,-0.3680273063723788
ACH-000167,-0.5155316200336527
ACH-000168,-0.24595820280388214
ACH-000169,-0.3967860209174881
ACH-000178,-0.4266188122807307
ACH-000183,-0.5441224705238757
ACH-000188,-0.3436792290633818
ACH-000189,-0.5518510552671662
ACH-000190,-0.51845780748514
ACH-000198,-0.4566550099356788
ACH-000203,-0.7225900255411003
ACH-000204,-0.24385191417512805
ACH-000206,-0.2579898021571813
ACH-000207,-0.4428441285180541
ACH-000208,-0.2158260282091995
ACH-000210,-0.3446763319038197
ACH-000211,-0.33365350813995154
ACH-000215,-0.28902142064028113
ACH-000221,-0.1697116034054645
ACH-000222,-0.7314340679461511
ACH-000223,-0.5810323371828487
ACH-000226,-0.4215500428963657
ACH-000227,-0.3753411479498951
ACH-000228,-0.3880499400942821
ACH-000231,-0.3442663245335686
ACH-000232,-0.28944767948475736
ACH-000233,-0.4536971861431355
ACH-000234,-0.5467362355340118
ACH-000235,-0.6777835183335532
ACH-000237,-0.14404553392579206
ACH-000238,-0.4188001031075702
ACH-000242,-0.1523351391544345
ACH-000243,-0.3953966052132541
ACH-000244,-0.4128116924267693
ACH-000246,-0.2745754031754276
ACH-000248,-0.42194028388771626
ACH-000250,-0.5327490118396621
ACH-000251,-0.4380692113200304
ACH-000252,-0.4135458222945768
ACH-000253,-0.3647321791972337
ACH-000255,-0.1525824379492873
ACH-000256,-0.27919876700065244
ACH-000257,-0.4325803330999327
ACH-000258,-0.3647735437987186
ACH-000259,-0.20397782856781987
ACH-000260,-0.29202589495743475
ACH-000261,-0.291493206024714
ACH-000262,-0.5077068261293944
ACH-000263,-0.3697266984034637
ACH-000264,-0.3034961247904463
ACH-000265,-0.3298875234329224
ACH-000266,-0.3841564532360324
ACH-000272,-0.4965774182277699
ACH-000274,-0.4280889541371183
ACH-000277,-0.4433981588969753
ACH-000278,-0.3388719707807432
ACH-000279,-0.5160753624746198
