,CNTD2 (79935)
ACH-000004,-0.18890827722318174
ACH-000005,0.12350059174452233
ACH-000007,-0.15728142185047256
ACH-000009,-0.09713156409895037
ACH-000011,-0.18051496675689707
ACH-000012,-0.06937612777374393
ACH-000013,-0.5155287346246151
ACH-000014,-0.17590106405421202
ACH-000015,-0.2793784068512701
ACH-000017,-0.09863229267002108
ACH-000018,-0.08695405049247305
ACH-000019,-0.23171233801389995
ACH-000021,-0.16666909063624644
ACH-000022,-0.03408881655157862
ACH-000025,-0.08975633878384046
ACH-000028,-0.10737335545600067
ACH-000030,-0.2406573850618798
ACH-000035,-0.1747206546563637
ACH-000036,-0.06412107945229288
ACH-000037,0.005494468687856145
ACH-000039,-0.3262048555933691
ACH-000040,-0.06856839888682867
ACH-000041,-0.02750007443284674
ACH-000042,-0.043365861932872084
ACH-000045,-0.166159246361171
ACH-000047,-0.059326648039053485
ACH-000052,-0.07036391936363724
ACH-000053,-0.28399260092815226
ACH-000054,-0.15984772208950754
ACH-000055,0.08968162649352049
ACH-000060,0.02677800733713635
ACH-000067,0.04822407017569246
ACH-000070,-0.2264397453392967
ACH-000075,-0.19067668478806235
ACH-000078,-0.043705864284538064
ACH-000082,-0.14345854295024665
ACH-000085,-0.05564709030706781
ACH-000086,-0.1713167954717442
ACH-000087,-0.37084304439702703
ACH-000092,-0.2541644478096072
ACH-000095,0.00223465025484237
ACH-000097,-0.17261199607231315
ACH-000098,-0.0909279038756643
ACH-000099,-0.1226623489364633
ACH-000108,-0.20041814387732948
ACH-000113,0.015345446874703869
ACH-000116,-0.09603510081217033
ACH-000118,-0.11657310391798915
ACH-000120,-0.17009831265749606
ACH-000123,-0.21218804149412715
ACH-000127,-0.08015218763532489
ACH-000128,0.04820285871624275
ACH-000132,-0.23726410515785284
ACH-000133,-0.2496737476253932
ACH-000137,-0.2472779349620312
ACH-000138,-0.17169537729417125
ACH-000142,-0.09134565367231184
ACH-000143,-0.13605350069850727
ACH-000146,-0.25353630587601605
ACH-000148,-0.17275895379994274
ACH-000150,-0.08664509622052458
ACH-000152,-0.1223200993220714
ACH-000153,-0.2629039262148353
ACH-000159,-0.1588787447878275
ACH-000160,-0.06357481387590534
ACH-000163,-0.18853673085495845
ACH-000167,-0.1875651392217393
ACH-000168,-0.0837281548267272
ACH-000169,0.17333857557111695
ACH-000178,-0.17727537917770647
ACH-000183,-0.1686356180526376
ACH-000188,-0.0370889799516815
ACH-000189,-0.09488562408607397
ACH-000190,-0.187555198351219
ACH-000198,-0.16106333793966776
ACH-000203,-0.3710833547246712
ACH-000204,-0.15642644122749888
ACH-000206,-0.05335418044527167
ACH-000207,-0.07783404560502417
ACH-000208,-0.3532818368989392
ACH-000210,0.1196579751496444
ACH-000211,-0.1344448968280283
ACH-000215,-0.11650169265987413
ACH-000221,-0.1324628825803633
ACH-000222,0.03394184341503512
ACH-000223,-0.21358826831378788
ACH-000226,-0.21659848294425585
ACH-000227,-0.12819683179827404
ACH-000228,-0.11502753555804028
ACH-000231,-0.01856537548450039
ACH-000232,-0.26703090194456497
ACH-000233,-0.18408754976198705
ACH-000234,-0.09458378261412442
ACH-000235,-0.13966025901765775
ACH-000237,-0.12367506327261232
ACH-000238,-0.09812973932043173
ACH-000242,-0.2702453695097151
ACH-000243,-0.12124468011821453
ACH-000244,-0.1172096352698594
ACH-000246,-0.07755814787790398
ACH-000248,-0.08109299495848403
ACH-000250,-0.2509528835805264
ACH-000251,-0.20921291373622647
ACH-000252,-0.04302013503955807
ACH-000253,-0.04292278161361852
ACH-000255,-0.042682097625905635
ACH-000256,-0.21333016395084534
ACH-000257,-0.2416575781027541
ACH-000258,-0.12826700141233086
ACH-000259,-0.06400617151774889
ACH-000260,-0.16349440619022468
ACH-000261,-0.09559851690200817
ACH-000262,-0.07664582799971996
ACH-000263,-0.06818376081002832
ACH-000264,-0.12249855801409465
ACH-000265,-0.18275672754139052
ACH-000266,-0.08087188778502302
ACH-000272,-0.10988961385346582
ACH-000274,-0.13289406547834487
ACH-000277,-0.1353401450102118
ACH-000278,-0.1869451635599812
ACH-000279,0.0071489774820830436
ACH-000280,-0.3183075163536129
ACH-000281,0.142959310409641
ACH-000288,0.027710892181695538
ACH-000291,-0.18639656046282552
ACH-000293,-0.4136979394532526
ACH-000294,-0.18072453121272514
ACH-000295,-0.2645734420480543
ACH-000296,-0.1830110334940568
ACH-000302,-0.3713954597063969
ACH-000304,0.17367973445492904
ACH-000307,-0.0387557761274968
ACH-000308,-0.22923819834109455
ACH-000310,-0.17819067527865534
ACH-000311,-0.13998751436360216
ACH-000312,0.005418039463408325
ACH-000315,-0.3210522201908765
ACH-000316,0.098644576152869
ACH-000317,0.06968442134685805
ACH-000318,-0.07418585920152865
ACH-000319,-0.09316335290760897
ACH-000320,-0.06224898865763035
ACH-000322,0.22332597506032886
ACH-000323,-0.16823792778771038
ACH-000324,-0.2398776673382417
ACH-000329,-0.06936780722102774
ACH-000330,-0.19070287496104985
ACH-000331,-0.03947356193951975
ACH-000332,-0.13840834670414404
ACH-000334,-0.11636461479574554
ACH-000335,-0.16865448552670184
ACH-000336,0.0019741053090989967
ACH-000337,-0.1334582297898136
ACH-000338,0.3341608103884079
