,HNF1B (6928)
ACH-000004,-0.02344240962195829
ACH-000005,0.09733344643841027
ACH-000007,-0.7099425256889079
ACH-000009,-0.3422651778060093
ACH-000011,-1.1168551707037713
ACH-000012,-0.7123476031444653
ACH-000013,-0.19111486539540548
ACH-000014,-0.3195586348441899
ACH-000015,-0.06722933896626783
ACH-000017,-0.16875002212348295
ACH-000018,-0.7511096248847745
ACH-000019,-0.22120219364401986
ACH-000021,-0.10657898443040256
ACH-000022,-0.3035029343863496
ACH-000025,-0.09313476667831393
ACH-000028,-0.14460044664492955
ACH-000030,-0.19886443689409736
ACH-000035,-0.3025628673541171
ACH-000036,-0.3346935033110533
ACH-000037,-0.0020889872911435035
ACH-000039,-0.16859832799119748
ACH-000040,-0.14751736449105787
ACH-000041,-0.16719212552138374
ACH-000042,-0.10243782013887023
ACH-000045,-0.20499218103915848
ACH-000047,-1.2377468892154546
ACH-000052,-0.09834074889170732
ACH-000053,-0.05952849542748032
ACH-000054,-0.1119257350380536
ACH-000055,-0.2972595638158664
ACH-000060,-0.2173104045019925
ACH-000067,-0.3021634915470145
ACH-000070,-0.11090573593772424
ACH-000075,-0.15612425660057416
ACH-000078,-0.1546926516469375
ACH-000082,-0.18018277834173574
ACH-000085,-0.15219130398335334
ACH-000086,-0.16064059893975702
ACH-000087,0.01379689412314252
ACH-000092,-0.05180764515448296
ACH-000095,-0.15536764631631392
ACH-000097,-0.12276904340438664
ACH-000098,-0.2187855010821354
ACH-000099,-0.1146295238292139
ACH-000108,-0.019848121260106547
ACH-000113,-0.2548646730481438
ACH-000116,-0.1812476749823141
ACH-000118,-0.2965271264463227
ACH-000120,-0.3173883471283373
ACH-000123,-0.09762550869088957
ACH-000127,-0.44855500820000654
ACH-000128,-0.1846657838206746
ACH-000132,-0.11108826974949887
ACH-000133,-0.11228729256083342
ACH-000137,-0.2496033986979433
ACH-000138,-0.9501348960169138
ACH-000142,-0.3276434351593147
ACH-000143,-0.1924071846033904
ACH-000146,-0.16258761027829094
ACH-000148,-0.08804331761437234
ACH-000150,-0.024845274900149136
ACH-000152,-0.1096544030722896
ACH-000153,0.05661714694857081
ACH-000159,-1.2044216468301527
ACH-000160,-0.20629075511531267
ACH-000163,-0.028069722553962232
ACH-000167,-0.4599890516009672
ACH-000168,-0.1925307484304476
ACH-000169,-0.12985261518594385
ACH-000178,-0.07482524950985915
ACH-000183,-0.26781003190381386
ACH-000188,-0.2671879724235559
ACH-000189,-0.7800245059930173
