,CLTB (1212)
ACH-000004,-0.17639203480389098
ACH-000005,-0.3142895052332266
ACH-000007,-0.2037088486634445
ACH-000009,-0.2911247043812134
ACH-000011,-0.1446474379054382
ACH-000012,-0.2270286123661004
ACH-000013,-0.1734611277090968
ACH-000014,-0.16619371435924118
ACH-000015,-0.21630025621217586
ACH-000017,-0.09474219329150654
ACH-000018,-0.20216447019025754
ACH-000019,-0.26054963486392857
ACH-000021,-0.2723922084217534
ACH-000022,-0.1728555620667233
ACH-000025,-0.11503913071293888
ACH-000028,-0.15554552647571734
ACH-000030,-0.2695252557104492
ACH-000035,-0.5364980553271342
ACH-000036,-0.3029386642143649
ACH-000037,-0.2926770588946237
ACH-000039,-0.4718805238765047
ACH-000040,-0.20421780371429932
ACH-000041,-0.12820753718546535
ACH-000042,-0.14377757664243265
ACH-000045,-0.07849582101371917
ACH-000047,-0.3139678225143503
ACH-000052,-0.6079892578699716
ACH-000053,-0.2554812584969412
ACH-000054,-0.3705299916543268
ACH-000055,-0.2443207718288995
ACH-000060,-0.1920986349387669
ACH-000067,-0.20714534046373487
ACH-000070,-0.21992897255697866
ACH-000075,-0.08868845329327832
ACH-000078,-0.2273709242830961
ACH-000082,-0.26779295898550576
ACH-000085,-0.2555167218701505
ACH-000086,-0.35601011592673065
ACH-000087,-0.1637329645311666
ACH-000092,-0.20567812014004472
ACH-000095,-0.1765290262295943
ACH-000097,-0.2542973054089411
ACH-000098,-0.2222519437580028
ACH-000099,-0.2904082971819748
ACH-000108,-0.2277752137012375
ACH-000113,-0.10162876309180116
ACH-000116,-0.2516248185675117
ACH-000118,-0.1023866889511821
ACH-000120,-0.2706977486241878
ACH-000123,-0.27797241211039875
ACH-000127,-0.34877167440297235
ACH-000128,-0.21037276176738665
ACH-000132,-0.2773885657349843
ACH-000133,-0.2235164179454876
ACH-000137,-0.298116710199176
ACH-000138,-0.1601171876430349
ACH-000142,-0.21734802317504828
ACH-000143,-0.25472995856318204
ACH-000146,-0.20254993661819468
ACH-000148,-0.24241873133708444
ACH-000150,-0.453230392525515
ACH-000152,-0.22617336493904125
ACH-000153,-0.2543497015707167
ACH-000159,-0.1525295524184147
ACH-000160,-0.322431966044701
ACH-000163,-0.1908834361053448
ACH-000167,-0.3875057518070347
ACH-000168,-0.19269915139458504
ACH-000169,-0.2907339346207091
ACH-000178,-0.3564855358975177
ACH-000183,-0.1179109274727378
ACH-000188,-0.29688202055144736
ACH-000189,-0.13568486165714552
ACH-000190,-0.3485591627526681
ACH-000198,-0.3678721866388189
ACH-000203,-1.0455826266570651
ACH-000204,-0.3295540410729436
ACH-000206,-0.47051987943173
ACH-000207,-0.0435595512195095
ACH-000208,-0.4009204376773733
ACH-000210,-0.10670146824440566
ACH-000211,-0.2955241812869481
ACH-000215,-0.2932849950796612
ACH-000221,-0.16228411126060627
ACH-000222,-0.16271155638076434
ACH-000223,-0.3929199099291037
ACH-000226,-0.4345042004012359
ACH-000227,-0.36549561930621216
ACH-000228,-0.06758978194109687
ACH-000231,-0.18904619484909446
ACH-000232,-0.4457935054554316
