,CSH2 (1443)
ACH-000004,-0.16703974451229986
ACH-000005,-0.15350113774820104
ACH-000007,-0.3521730821082916
ACH-000009,-0.31519518630771176
ACH-000011,-0.3455025996513764
ACH-000012,-0.4693345540918661
ACH-000013,-0.3047807321778059
ACH-000014,-0.5036397928927168
ACH-000015,-0.2526236075928825
ACH-000017,-0.5120243238176637
ACH-000018,-0.4008113555203393
ACH-000019,-0.7779991241147817
ACH-000021,-0.3229973198099295
ACH-000022,-0.2740972370084325
ACH-000025,-0.34660257295059105
ACH-000028,-0.5738438344149785
ACH-000030,-0.3025598905242844
ACH-000035,-0.07623607205565858
ACH-000036,-0.4255302925766202
ACH-000037,-0.4433991966687056
ACH-000039,-0.4581523041291546
ACH-000040,-0.3733866913495738
ACH-000041,-0.07210011645637106
ACH-000042,-0.2296854923272867
ACH-000045,-0.5825010811823487
ACH-000047,-0.3256429089575426
ACH-000052,-0.3279136833914188
ACH-000053,-0.21693989934768307
ACH-000054,-0.4744118153130034
ACH-000055,-0.5427393696612898
ACH-000060,-0.2783122404728309
ACH-000067,-0.4844259861824421
ACH-000070,-0.2838263879287827
ACH-000075,-0.4854837742569684
ACH-000078,-0.41250286339093256
ACH-000082,-0.4000652726052966
ACH-000085,-0.6843877557250297
ACH-000086,-0.3604457631355529
ACH-000087,-0.29191177843616883
ACH-000092,-0.38192448108432336
ACH-000095,-0.4113086970144768
ACH-000097,-0.28779615831389543
ACH-000098,-0.4005852614051291
ACH-000099,-0.43322230044429794
ACH-000108,-0.3291974370853375
ACH-000113,-0.3038860938837528
ACH-000116,-0.4131459457600553
ACH-000118,-0.5610332141183604
ACH-000120,-0.6319651194347237
ACH-000123,-0.2537959554717865
ACH-000127,-0.4637709695958093
ACH-000128,-0.2721913801578082
ACH-000132,-0.3512728641086955
ACH-000133,-0.5008263777836786
ACH-000137,-0.4590576050352857
ACH-000138,-0.3699192180265661
ACH-000142,-0.5202306001405284
ACH-000143,-0.4398913677829461
ACH-000146,-0.3261012374661263
ACH-000148,-0.3900788636994988
ACH-000150,-0.8310053240454718
ACH-000152,-0.3340619807455948
ACH-000153,-0.4404849569394601
ACH-000159,-0.3557811838576585
ACH-000160,-0.23315913485102854
ACH-000163,-0.5285801548983081
ACH-000167,-0.441953518577573
ACH-000168,-0.23625120292031165
ACH-000169,-0.3796205801451764
ACH-000178,-0.4889341541049313
ACH-000183,-0.2545489648975429
ACH-000188,-0.4013856815260468
ACH-000189,-0.5773265560756576
ACH-000190,-0.3044183763461148
ACH-000198,-0.2851698762575902
ACH-000203,-0.8028255563044229
ACH-000204,-0.29094600781898056
ACH-000206,-0.07667621560536951
ACH-000207,-0.2691069059837134
ACH-000208,-0.28414590747003665
ACH-000210,-0.20581934773811889
ACH-000211,-0.38757068585239596
ACH-000215,-0.37176016955234337
ACH-000221,-0.3338901083845662
ACH-000222,-0.3949874060009266
ACH-000223,-0.3455197575343738
ACH-000226,-0.3908187828067895
ACH-000227,-0.4091160113805789
ACH-000228,-0.22632777435665655
ACH-000231,-0.3679808521103766
ACH-000232,-0.3109605468391801
ACH-000233,-0.3644233520583192
ACH-000234,-0.22807983063756904
ACH-000235,-0.2930112930921935
ACH-000237,-0.3782754101049671
ACH-000238,-0.509157464764417
ACH-000242,-0.020087152403299304
ACH-000243,-0.5899154125434455
ACH-000244,-0.2925573932149642
ACH-000246,-0.38936370780894575
ACH-000248,-0.69799654321181
ACH-000250,-0.4019592466438427
ACH-000251,-0.3333190181748672
ACH-000252,-0.25648656496279804
ACH-000253,-0.2992720483684067
ACH-000255,-0.33374206479719193
ACH-000256,-0.43244963292793576
ACH-000257,-0.2709997736102778
ACH-000258,-0.342862279647736
ACH-000259,-0.5573076850752303
ACH-000260,-0.1922873141177478
ACH-000261,-0.3105505476429757
ACH-000262,-0.3694235728109173
ACH-000263,-0.4695337643268034
ACH-000264,-0.5614709899320403
ACH-000265,-0.3636028685126318
ACH-000266,-0.3863036542230019
ACH-000272,-0.3253595578835199
ACH-000274,-0.36891928518299
ACH-000277,-0.29946572487166634
ACH-000278,-0.5059809719539221
ACH-000279,-0.2747904203417399
ACH-000280,-0.3173894612333081
ACH-000281,-0.23186628381576535
ACH-000288,-0.4203012543289671
ACH-000291,-0.3008613167760547
ACH-000293,-0.26427507472370043
ACH-000294,-0.19165120050246734
ACH-000295,-0.3646317193885957
ACH-000296,-0.4575737183429637
ACH-000302,-0.2527591553224205
ACH-000304,-0.4720710097402626
ACH-000307,-0.20032952110303914
ACH-000308,-0.3385170836291257
ACH-000310,-0.4115605722450973
ACH-000311,-0.4461965534769457
ACH-000312,-0.3779130428354556
ACH-000315,-0.2037712422356946
ACH-000316,-0.33114158428690604
ACH-000317,-0.3127887671774914
ACH-000318,-0.3258824954952131
ACH-000319,-0.4206280466296167
ACH-000320,-0.2738690489776573
ACH-000322,-0.6261719992896095
ACH-000323,-0.2822279619907115
ACH-000324,-0.5252062179484677
ACH-000329,-0.4234494172002128
ACH-000330,-0.28089044481335124
ACH-000331,-0.2582846410119022
ACH-000332,-0.5061451024039575
ACH-000334,-0.24083273966787055
ACH-000335,-0.534315608879784
ACH-000336,-0.35026328613664937
ACH-000337,-0.5642919909664191
ACH-000338,-0.93728652370077
ACH-000339,-0.32643902652183665
ACH-000341,-0.16458189607186882
ACH-000348,-0.37950002472283867
ACH-000350,-0.3089594957465621
ACH-000352,-0.3392390943131027
ACH-000356,-0.2430041834017034
ACH-000361,-0.4204962845372645
ACH-000362,-0.30247240459337343
ACH-000363,-0.2137409274795193
ACH-000364,-0.4240493068092287
ACH-000365,-0.2137773359905737
ACH-000366,-0.3408843559586827
ACH-000368,-0.3145264893311213
ACH-000374,-0.3998450716675274
ACH-000375,-0.2302669972466375
ACH-000376,-0.22421905480518867
ACH-000381,-0.3575772254059953
ACH-000383,-0.2474521064215406
ACH-000387,-0.366923878553932
ACH-000389,-0.5676216519949185
ACH-000390,-0.3719570242494444
ACH-000393,-0.2674709211956483
ACH-000395,-0.35714214179747433
ACH-000396,-0.11083381126632852
ACH-000397,-0.28488293250152885
ACH-000401,-0.23322952475770714
ACH-000402,-0.12565631569147434
ACH-000403,-0.4699229593208442
ACH-000404,-0.4046131013296127
ACH-000406,-0.30172197217993163
ACH-000407,-0.2774507453246218
ACH-000408,-0.35663402094550595
ACH-000410,-0.3903150245514379
ACH-000411,-0.47248784113050296
ACH-000414,-0.4779370874316697
ACH-000415,-0.412117423908706
ACH-000416,-0.36614446570222
ACH-000420,-0.3148901649529067
ACH-000421,-0.19267370974883385
ACH-000424,-0.2792508612103601
ACH-000425,-0.4781749264753492
ACH-000426,-0.2304779789041877
ACH-000427,-0.19692541990062815
ACH-000433,-0.457032883548721
ACH-000435,-0.8187350844705179
ACH-000436,-0.6378881923467877
ACH-000444,-0.40649302855376795
ACH-000445,-0.5004709631811664
ACH-000448,-0.296141345157075
ACH-000450,-0.6293008775361718
ACH-000452,-0.23780613995300326
ACH-000454,-0.12656395228804732
ACH-000458,-0.3578734786839642
ACH-000459,-0.3241623863962356
ACH-000460,-0.4517526118938471
ACH-000461,-0.2729337572183624
ACH-000463,-0.2319703279869715
ACH-000464,-0.5536413486971641
ACH-000466,-0.2360628326180368
ACH-000467,-0.5454420018667102
ACH-000468,-0.4072159518591604
ACH-000469,-0.5055434772803139
ACH-000470,-0.3534586333048715
ACH-000471,-0.2841041124541141
ACH-000472,-0.41821214348864294
ACH-000473,-0.3168639871371252
ACH-000475,-0.2780755920487629
ACH-000476,-0.42023743145126735
ACH-000477,-0.21723580929877054
ACH-000479,-0.5073268358141476
ACH-000480,-0.5393598905748405
ACH-000481,-0.2620004474227672
ACH-000483,-0.21942189582466146
ACH-000484,-0.3541643586491801
ACH-000485,-0.30686974946888784
ACH-000486,-0.2381540482077747
ACH-000487,-0.2985119106344703
ACH-000488,-0.3154125112124381
ACH-000490,-0.290722276406542
ACH-000491,-0.2369125263134393
ACH-000495,-0.2564808750847856
ACH-000496,-0.34677709807170004
ACH-000499,-0.628632943971831
ACH-000500,-0.0909078157206988
ACH-000502,-0.4592579953226908
ACH-000503,-0.2535233951905144
ACH-000505,-0.3502886823028459
ACH-000507,-0.4360669700247817
ACH-000510,-0.3325661554308153
ACH-000511,-0.5372176984125321
ACH-000512,-0.4337725248996012
