,BTF3L4 (91408)
ACH-000004,-0.2811840683436411
ACH-000005,-0.5282172827001637
ACH-000007,-0.4362076572337572
ACH-000009,-0.5002929908677877
ACH-000011,-0.2351996512755272
ACH-000012,-0.3499005123351406
ACH-000013,-0.5701583797821623
ACH-000014,-0.30478870681945075
ACH-000015,-0.3734462318214518
ACH-000017,-0.40293109591434
ACH-000018,-0.3666905478817967
ACH-000019,-0.2836170373640588
ACH-000021,-0.4547106125185357
ACH-000022,-0.3151587204502029
ACH-000025,-0.3399546849442854
ACH-000028,-0.4215433481207826
ACH-000030,-0.5736871385682697
ACH-000035,-0.4694510322681169
ACH-000036,-0.2858655287168276
ACH-000037,-0.4471025036942005
ACH-000039,-0.2331108694300252
ACH-000040,-0.3637175385305285
ACH-000041,-0.4045329048876258
ACH-000042,-0.43013698553928026
ACH-000045,-0.3381660505268721
ACH-000047,-0.3966897549646885
ACH-000052,-0.6633311351769665
ACH-000053,-0.41248426867422827
ACH-000054,-0.3004010848324585
ACH-000055,-0.21378617386102905
ACH-000060,-0.5579086632031619
ACH-000067,-0.4302215219846449
ACH-000070,-0.5174090276493735
ACH-000075,-0.4520246935505824
ACH-000078,-0.3832476075337969
ACH-000082,-0.32897608429679154
ACH-000085,-0.3384545734050041
ACH-000086,-0.2742830192986599
ACH-000087,-0.7470854275912896
ACH-000092,-0.4920447306744423
ACH-000095,-0.5435472038144942
ACH-000097,-0.4143089882727863
ACH-000098,-0.3226974499834613
ACH-000099,-0.4029288659584192
ACH-000108,-0.5571130276758525
ACH-000113,-0.25020818726658617
ACH-000116,-0.54232291357695
ACH-000118,-0.3981302536813275
ACH-000120,-0.30487776067514405
ACH-000123,-0.4205609319003703
ACH-000127,-0.4835906426398231
ACH-000128,-0.5863640423864706
ACH-000132,-0.4928421572540782
ACH-000133,-0.25540254900151993
ACH-000137,-0.21163071856574409
ACH-000138,-0.4847768631852106
ACH-000142,-0.6171627732955085
ACH-000143,-0.2337087373281994
ACH-000146,-0.4514948967247925
ACH-000148,-0.4298448232150964
ACH-000150,-0.5306862728539851
ACH-000152,-0.06051632053658205
ACH-000153,-0.4086686218336099
ACH-000159,-0.6100604046441194
ACH-000160,-0.3686593322933685
ACH-000163,-0.491425026505164
ACH-000167,-0.4356898165924025
ACH-000168,-0.4998527846174931
ACH-000169,-0.563856649498867
ACH-000178,-0.3436531213867087
ACH-000183,-0.5400255828541244
ACH-000188,-0.3400800128543099
ACH-000189,-0.3698875383255417
ACH-000190,-0.3514035192952991
ACH-000198,-0.4382770299029576
ACH-000203,-0.8582225111538024
ACH-000204,-0.4203284327687131
ACH-000206,-0.4902445795949928
ACH-000207,-0.1031402662745188
ACH-000208,-0.2846873907615526
ACH-000210,-0.2560085704396613
ACH-000211,-0.10833030937190627
ACH-000215,-0.4454158486967016
ACH-000221,-0.4277705400924869
ACH-000222,-0.2733473477036056
ACH-000223,-0.5652980458111766
ACH-000226,-0.2667804520052661
ACH-000227,-0.497540411389657
ACH-000228,-0.4616952207892042
ACH-000231,-0.4737562702295704
ACH-000232,-0.3583267425592613
ACH-000233,-0.4177162172328836
ACH-000234,-0.4199430848809232
ACH-000235,-0.4351638504623192
ACH-000237,-0.5263392644421316
ACH-000238,-0.3628434279561021
ACH-000242,-0.2665939595174043
ACH-000243,-0.4001886586032724
ACH-000244,-0.3662723641336524
ACH-000246,-0.4158391164936538
ACH-000248,-0.12986084718795507
ACH-000250,-0.4502536491651508
ACH-000251,-0.4243388432403175
ACH-000252,-0.3388480879384779
ACH-000253,-0.512157304292214
ACH-000255,-0.4620722807903668
ACH-000256,-0.46894827205568396
ACH-000257,-0.4106653187118862
ACH-000258,-0.16828292507277104
ACH-000259,-0.4508750698183528
ACH-000260,-0.5118545028575118
ACH-000261,-0.3170087191883585
ACH-000262,-0.3630031229153195
ACH-000263,-0.3159235354098733
ACH-000264,-0.5340519021163597
ACH-000265,-0.5010487241842341
ACH-000266,-0.5098454637801292
ACH-000272,-0.3278940191482995
ACH-000274,-0.49442443801414604
ACH-000277,-0.42472401593248815
ACH-000278,-0.6008632090782438
ACH-000279,-0.5631208997819687
ACH-000280,-0.4444939328497596
ACH-000281,-0.1925104831490565
ACH-000288,-0.3786660915182215
ACH-000291,-0.2717182497648331
ACH-000293,-0.17322630974955844
ACH-000294,-0.388313660179366
ACH-000295,-0.16904455197587998
ACH-000296,-0.4573861907058832
ACH-000302,-0.6197765347161955
ACH-000304,-0.4648604375435485
ACH-000307,-0.4870057287893401
ACH-000308,-0.3643908022274208
ACH-000310,-0.5201405375001579
ACH-000311,-0.4831407118588242
ACH-000312,-0.5209264296928473
ACH-000315,-0.17190273951346766
ACH-000316,-0.14784441423065275
ACH-000317,-0.5662203646621258
ACH-000318,-0.39158858516604295
ACH-000319,-0.4275731024681774
ACH-000320,-0.5178448220142144
ACH-000322,-0.6708982459786078
ACH-000323,-0.4480667672258707
ACH-000324,-0.4567779764939994
ACH-000329,-0.4086358791047784
ACH-000330,-0.3526759202053633
ACH-000331,-0.4572936322116855
ACH-000332,-0.4575980034711463
ACH-000334,-0.4639801334305602
ACH-000335,-0.4753366713157592
ACH-000336,-0.1181227317093874
ACH-000337,-0.393657647599508
ACH-000338,-0.25841530006869023
ACH-000339,-0.4024363764444517
ACH-000341,-0.4650967407893004
ACH-000348,-0.3403193785629613
ACH-000350,-0.3900033082502212
ACH-000352,-0.3944775000899507
ACH-000356,-0.32062234244374105
ACH-000361,-0.007334846055682138
ACH-000362,-0.495044367423943
ACH-000363,-0.5278978375794381
ACH-000364,-0.3851796290895453
ACH-000365,-0.2318623708731633
ACH-000366,-0.3938651678013915
ACH-000368,-0.3836249743114404
ACH-000374,-0.3954077829139694
ACH-000375,-0.3742247478110819
ACH-000376,-0.28469190397147914
ACH-000381,-0.5014191494330136
ACH-000383,-0.5140938785394066
ACH-000387,-0.6963192352743663
ACH-000389,-0.2799102428978009
ACH-000390,-0.3779298134944628
ACH-000393,-0.2635952329779728
ACH-000395,-0.38347629239720576
ACH-000396,-0.5690984786768499
ACH-000397,-0.4282487536502889
ACH-000401,-0.5232340613277687
ACH-000402,-0.072355016335366
ACH-000403,-0.578656612935904
ACH-000404,-0.9839226717334741
ACH-000406,-0.3936100905334877
ACH-000407,-0.4471685447094043
ACH-000408,-0.4824934666291731
ACH-000410,-0.27360122256819946
ACH-000411,-0.42986769492230376
ACH-000414,-0.5190853697974551
ACH-000415,-0.606990965004339
ACH-000416,-0.3782591903009256
ACH-000420,-0.33457014824019554
ACH-000421,-0.4317922273343513
ACH-000424,-0.23374521180274496
ACH-000425,-0.4342846225108346
ACH-000426,-0.4558378137453565
ACH-000427,-0.5889708888378671
ACH-000433,-0.43230502909541935
ACH-000435,-0.4335218930645014
ACH-000436,-0.19107495781709288
ACH-000444,-0.42884369945370976
ACH-000445,-0.13965754878146172
ACH-000448,-0.5359700499768758
ACH-000450,-0.3212546522272731
ACH-000452,-0.2544051123922995
ACH-000454,-0.3540744748272054
ACH-000458,-0.4893746894855858
ACH-000459,-0.5285916496955609
ACH-000460,-0.4537404851668107
ACH-000461,-0.5547596395132142
ACH-000463,-0.469521876960636
ACH-000464,-0.3425344388187873
ACH-000466,-0.4329927934194115
ACH-000467,-0.4145191050966459
ACH-000468,-0.3328222504334879
ACH-000469,-0.3208945422068347
ACH-000470,-0.2743987571413461
ACH-000471,-0.4427794931888171
ACH-000472,-0.3261034416841772
ACH-000473,-0.316578637209506
ACH-000475,-0.4047387356545801
ACH-000476,-0.3379833748159429
ACH-000477,-0.526473987105499
ACH-000479,-0.5680153301412458
ACH-000480,-0.35620321501251395
ACH-000481,-0.4157028482471479
ACH-000483,-0.4466885257698293
ACH-000484,-0.3141697676116492
ACH-000485,-0.1805260069438982
ACH-000486,-0.30813753034264685
ACH-000487,-0.3075890830287263
ACH-000488,-0.3350999066677306
ACH-000490,-0.4207735212614087
ACH-000491,-0.3680441407082877
ACH-000495,-0.7206526943496783
ACH-000496,-0.5833468292149901
ACH-000499,-0.3836578688205852
ACH-000500,-0.8955411275104644
ACH-000502,-0.32449924493746685
ACH-000503,-0.4048782213036419
ACH-000505,-0.29803491737426024
ACH-000507,-0.4607399726429052
ACH-000510,-0.2781827366387292
ACH-000511,-0.4506360074803394
ACH-000512,-0.31355760037683783
ACH-000516,-0.5702390809301774
ACH-000517,-0.44707996635409497
ACH-000518,-0.37442006397459343
ACH-000520,-0.3757251372240286
ACH-000521,-0.3667299044843665
ACH-000522,-0.5104117403494176
ACH-000524,-0.5305544604191311
ACH-000527,-0.472029779856233
ACH-000528,-0.5147492258283723
ACH-000537,-0.4064889832875509
ACH-000541,-0.3911798173991671
ACH-000542,-0.4118076867019306
ACH-000544,-0.345216702692116
ACH-000545,-0.33966534981972873
ACH-000547,0.16830324151617224
ACH-000548,-0.5193925835011111
ACH-000549,-0.40258416804071545
ACH-000550,-0.3571994158638176
ACH-000552,-0.4147683143518748
ACH-000556,-0.3006486316676932
ACH-000557,-0.3199438411273192
ACH-000569,-0.3415196421251029
ACH-000570,-0.38444322835299816
ACH-000571,-0.2383678253823913
