,ITGA10 (8515)
ACH-000004,0.07438286900473164
ACH-000005,-0.15716541064209993
ACH-000007,0.11083362683714844
ACH-000009,-0.19461224570173352
ACH-000011,-0.11863579092381048
ACH-000012,0.045704787980331146
ACH-000013,-0.03522503015335201
ACH-000014,-0.00972844113059044
ACH-000015,-0.05865100711850639
ACH-000017,-0.03633651120229648
ACH-000018,-0.31771072425026425
ACH-000019,0.07834608290628305
ACH-000021,-0.0560870749358416
ACH-000022,-0.02120493853255405
ACH-000025,-0.08534173148643064
ACH-000028,-0.049076631092201665
ACH-000030,0.056497901937295286
ACH-000035,-0.15532675968020487
ACH-000036,-0.14229950634919888
ACH-000037,-0.057901287045041036
ACH-000039,0.040561895647460634
ACH-000040,0.12446880059390357
ACH-000041,0.06519995760436627
ACH-000042,-0.014460381993865172
ACH-000045,0.057866348959700616
ACH-000047,0.017883734121666148
ACH-000052,0.005864486438336018
ACH-000053,-0.02937138325803735
ACH-000054,0.0358485359528675
ACH-000055,-0.17589864139521716
ACH-000060,-0.031383873449776584
ACH-000067,0.16599283990303107
ACH-000070,-0.09444824529672982
ACH-000075,-0.09397615226981616
ACH-000078,-0.04340975851894666
ACH-000082,0.028957097126340262
ACH-000085,-0.1860497829683256
ACH-000086,-0.055324338117318426
ACH-000087,0.008932930591168207
ACH-000092,-0.04242030906284863
ACH-000095,-0.015618876146832515
ACH-000097,-0.12029018619865893
ACH-000098,0.00027631487606463457
ACH-000099,0.1030094927661766
ACH-000108,0.08236926532130721
ACH-000113,-0.15704692843097287
ACH-000116,-0.03649807258374802
ACH-000118,0.005133901323963615
ACH-000120,0.1275688614781101
ACH-000123,-0.054648542841576574
ACH-000127,-0.13555714756655973
ACH-000128,-0.008060196950398996
ACH-000132,0.01738703043932098
ACH-000133,-0.11670643997336805
ACH-000137,-0.04247917339137455
ACH-000138,-0.008196358221120978
ACH-000142,-0.1916362879850508
ACH-000143,0.05205272137405295
ACH-000146,0.08337271853199962
ACH-000148,-0.0469944857409919
ACH-000150,-0.10758593320186267
