,TARS2 (80222)
ACH-000004,-0.685988561836419
ACH-000005,-0.5669877624206392
ACH-000007,-0.5981203296156626
ACH-000009,-0.79493793960733
ACH-000011,-0.3641921728067016
ACH-000012,-0.9742435415470804
ACH-000013,-0.8089276141848748
ACH-000014,-0.607761871927094
ACH-000015,-0.8542492505548027
ACH-000017,-0.8565694843464241
ACH-000018,-0.9433024212703782
ACH-000019,-0.9753797957321728
ACH-000021,-0.7702685908676902
ACH-000022,-0.9720411513976508
ACH-000025,-0.7628435607578747
ACH-000028,-0.824637329643634
ACH-000030,-0.8158514892227381
ACH-000035,-0.9796697664484164
ACH-000036,-0.4526445675894617
ACH-000037,-0.7154086833040806
ACH-000039,-0.9116268287396678
ACH-000040,-0.7059400985727784
ACH-000041,-0.8068997881611831
ACH-000042,-0.7700493649744454
ACH-000045,-0.7049563253102513
ACH-000047,-0.970702179437206
ACH-000052,-0.4556029584409347
ACH-000053,-0.4528951664645538
ACH-000054,-0.875589910220186
ACH-000055,-0.7527343337219767
ACH-000060,-0.5889735619481441
ACH-000067,-0.6770940349270971
ACH-000070,-0.7068598058138914
ACH-000075,-0.6157913831621169
ACH-000078,-0.5783863382717649
ACH-000082,-0.6747418381168733
ACH-000085,-0.7269390633390885
ACH-000086,-1.1849136533996394
ACH-000087,-0.8875033788184361
ACH-000092,-0.5591358682259242
ACH-000095,-0.44255436754315375
ACH-000097,-0.7870596389686632
ACH-000098,-0.7115497716736947
ACH-000099,-0.7616291217236271
ACH-000108,-0.5976818494987376
ACH-000113,-0.6567698225352107
ACH-000116,-0.7708707832052103
ACH-000118,-1.0119175400129723
ACH-000120,-0.6870436964704012
ACH-000123,-0.6420399490387975
ACH-000127,-0.9769792694869409
ACH-000128,-0.7571329266435669
ACH-000132,-0.609205451979029
ACH-000133,-0.8411388638146938
ACH-000137,-0.6188719928675822
ACH-000138,-0.8849769303737246
ACH-000142,-0.7980033543487304
ACH-000143,-0.9462214024979771
ACH-000146,-0.5746178073834011
ACH-000148,-0.7864955244411939
ACH-000150,-1.0126619223125537
ACH-000152,-0.7948151106292956
ACH-000153,-0.8044005889984841
ACH-000159,-0.6721866722815341
ACH-000160,-1.098368488339146
ACH-000163,-0.7985217184272019
ACH-000167,-0.7719701832493371
ACH-000168,-0.4691886635600137
ACH-000169,-0.8441535408372629
ACH-000178,-0.8590716334923705
