,TRNAU1AP (54952)
ACH-000004,-0.4948028734821802
ACH-000005,-0.5905049945599685
ACH-000007,-0.19314152800386386
ACH-000009,-0.6182386585593524
ACH-000011,-0.7835373419255711
ACH-000012,-0.2972161543831506
ACH-000013,-0.5586762661462275
ACH-000014,-0.28944867586723233
ACH-000015,-0.6103025087949986
ACH-000017,-0.30284908166196745
ACH-000018,-0.235457886395184
ACH-000019,-0.3443016532268765
ACH-000021,-0.3220063473918408
ACH-000022,-0.3005323854888381
ACH-000025,-0.12410753996451485
ACH-000028,-0.2540315495153735
ACH-000030,-0.4295924502056904
ACH-000035,-0.2578541940864731
ACH-000036,-0.006485461097461151
ACH-000037,-0.4833691920397872
ACH-000039,-0.32999154605100744
ACH-000040,-0.5187547537393361
ACH-000041,0.11482266052335255
ACH-000042,-0.7238823953642914
ACH-000045,-0.25019526066581826
ACH-000047,-0.07887123804255658
ACH-000052,-0.3631506494466936
ACH-000053,-0.3955574121360511
ACH-000054,-0.15422015865080888
ACH-000055,-0.3938331894530369
ACH-000060,-0.4954555187563596
ACH-000067,-0.5085336413334767
ACH-000070,-0.6553981959778686
ACH-000075,-0.16297855592673646
ACH-000078,-0.09994331182297074
ACH-000082,-0.43420539055747936
ACH-000085,-0.4465542223968421
ACH-000086,-0.11962110233662815
ACH-000087,-0.25237230120185883
ACH-000092,-0.5512278220925401
ACH-000095,-0.3778531498716777
ACH-000097,-0.3575131359350053
ACH-000098,-0.3722823550898983
ACH-000099,-0.4632374414217791
ACH-000108,-0.3240131884781673
ACH-000113,-0.4429327931692132
ACH-000116,-0.2834547833170508
ACH-000118,-0.13261019097550408
ACH-000120,-0.06099978413935087
ACH-000123,-0.3549349680840984
ACH-000127,-0.3973091938729034
ACH-000128,-0.3578500532349825
ACH-000132,-0.4255973244783446
ACH-000133,-0.4624973285476536
ACH-000137,-0.4788853069166123
ACH-000138,-0.5018529110468439
ACH-000142,-0.3585370935473696
ACH-000143,-0.3537625434545689
ACH-000146,-0.4058921145808975
ACH-000148,-0.4375655109529882
ACH-000150,-0.3153921353540169
ACH-000152,-0.12990587040959412
ACH-000153,-0.2142357041118988
ACH-000159,-0.11280614663952887
ACH-000160,-0.7203647942312208
ACH-000163,-0.3331052624135121
ACH-000167,-0.4650065562663408
ACH-000168,-0.5523318381855061
ACH-000169,-0.4100976015865732
ACH-000178,-0.2326919658463892
ACH-000183,-0.4047340683718029
