,ERP27 (121506)
ACH-000004,0.040725400279122914
ACH-000005,-0.08739225449912613
ACH-000007,0.09170396069133707
ACH-000009,-0.031000943790991657
ACH-000011,-0.07420309068463818
ACH-000012,0.20934229061985102
ACH-000013,-0.0645750954302864
ACH-000014,-0.0589704605476637
ACH-000015,0.004656905727568958
ACH-000017,-0.07587557708643834
ACH-000018,0.0033728465886804352
ACH-000019,0.10601630645619807
ACH-000021,0.02664135693403193
ACH-000022,0.10638119037691544
ACH-000025,-0.062281160083503324
ACH-000028,0.025763106642165683
ACH-000030,0.008285049221105692
ACH-000035,-0.004095341342316414
ACH-000036,0.04383164687848265
ACH-000037,-0.12143562131879684
ACH-000039,-0.05035750724567098
ACH-000040,0.05227092191728809
ACH-000041,0.11349905997241908
ACH-000042,0.05787781190805673
ACH-000045,0.16912866438442964
ACH-000047,0.11699877484410455
ACH-000052,-0.2469650730465537
ACH-000053,0.07065303949734032
ACH-000054,-0.04329544225000378
ACH-000055,-0.11963425880950125
ACH-000060,-0.12227372879360544
ACH-000067,0.02755651652993239
ACH-000070,0.03490395410742644
ACH-000075,0.1167696504591249
ACH-000078,0.15418580951717584
ACH-000082,0.01833172807317766
ACH-000085,-0.09828897340836518
ACH-000086,-0.053374331802894935
ACH-000087,0.2602074689167743
ACH-000092,0.04917993960034197
ACH-000095,0.02516301764617277
ACH-000097,0.060594754475677075
ACH-000098,0.0076064217191834736
ACH-000099,0.03436729851024653
ACH-000108,-0.0949951268813215
ACH-000113,0.09041319804266
ACH-000116,0.08930541876579036
ACH-000118,-0.0634675177255793
ACH-000120,-0.08631400876581975
ACH-000123,0.05307421802682051
ACH-000127,0.10795743461391913
ACH-000128,-0.1544576649498882
ACH-000132,0.09159630525882492
ACH-000133,-0.07978022659296401
ACH-000137,-0.027624043842534116
ACH-000138,-0.018784318334779792
ACH-000142,-0.07055827226907703
ACH-000143,-0.05339373516764934
ACH-000146,-0.08531631498241568
ACH-000148,0.058523497113083016
ACH-000150,0.1489258114655099
ACH-000152,0.20594525421226964
ACH-000153,0.16398583352660628
ACH-000159,0.041899597339942765
ACH-000160,-0.05948419698296655
ACH-000163,0.006661700092734112
ACH-000167,0.1913755320486977
ACH-000168,0.0542983797346704
ACH-000169,-0.006970471932249486
ACH-000178,-0.062026602450847325
ACH-000183,0.024539411835741445
ACH-000188,-0.0805867063831242
ACH-000189,0.40527323654643255
ACH-000190,0.07159443353182206
ACH-000198,-0.012815306840086587
ACH-000203,-0.7892597871700846
ACH-000204,0.008768161568101005
ACH-000206,-0.03712791465924045
ACH-000207,-0.004721709482550722
ACH-000208,0.10189784913667724
ACH-000210,0.21590188779269184
ACH-000211,0.016221066280048317
ACH-000215,-0.0218296618072186
ACH-000221,-0.11294148114253967
ACH-000222,0.1603080713826085
ACH-000223,-0.05357150256678493
ACH-000226,0.07911050720394176
ACH-000227,0.05389582437048125
ACH-000228,-0.06919818730706763
ACH-000231,0.0538883161957233
ACH-000232,2.6229634117354785e-05
ACH-000233,0.010697747740348727
ACH-000234,0.0674364389138786
ACH-000235,-0.04907234824219164
ACH-000237,0.021230911622682445
ACH-000238,-0.055360500745698815
ACH-000242,-0.3819105819885001
ACH-000243,0.06540638225464414
ACH-000244,0.1536047709598475
ACH-000246,-0.0010802760885572226
ACH-000248,0.016360350389734036
ACH-000250,0.06744997866273056
ACH-000251,-0.10424124439001753
ACH-000252,0.3555952126216722
ACH-000253,0.14462517916048104
ACH-000255,0.11462007366866575
ACH-000256,-0.011370786933405628
ACH-000257,-0.006238708067697891
ACH-000258,0.11848560957679392
ACH-000259,-0.041707080626071695
ACH-000260,-0.03491748538989817
ACH-000261,-0.04127677555836701
ACH-000262,0.08719959379834498
ACH-000263,0.1344838237084284
