,OSBP (5007)
ACH-000004,-0.3801242420566576
ACH-000005,-0.5212893647346379
ACH-000007,-0.2729175798693633
ACH-000009,-0.3338540416491261
ACH-000011,-0.5022143844544275
ACH-000012,-0.29434739444891617
ACH-000013,-0.4214637401300223
ACH-000014,-0.2473979264875098
ACH-000015,-0.2189305374265349
ACH-000017,-0.3195511982468683
ACH-000018,-0.09498916535811447
ACH-000019,-0.582662422847792
ACH-000021,-0.3729662948229298
ACH-000022,-0.3114926625473086
ACH-000025,-0.20860467393244447
ACH-000028,-0.5998984360545245
ACH-000030,-0.26199901533535586
ACH-000035,-0.25157878548964124
ACH-000036,-0.18110866073121196
ACH-000037,-0.2289172795096164
ACH-000039,-0.3840476337870501
ACH-000040,-0.3218066909378531
ACH-000041,-0.35080215740269194
ACH-000042,-0.18623601329161424
ACH-000045,-0.32309297201855897
ACH-000047,-0.4032089640671957
ACH-000052,-0.2509752783165411
ACH-000053,-0.4178619243022648
ACH-000054,-0.4484602192896559
ACH-000055,-0.3608090308442704
ACH-000060,-0.3903237945350059
ACH-000067,-0.1214366634122313
ACH-000070,-0.2293772475644729
ACH-000075,-0.462472410359557
ACH-000078,-0.2582393292199793
ACH-000082,-0.1964637070158841
ACH-000085,-0.2291977159937673
ACH-000086,-0.3755187509405595
ACH-000087,-0.16897538038058535
ACH-000092,-0.3956808754547277
ACH-000095,-0.479313272684604
ACH-000097,-0.6696031447843365
ACH-000098,-0.3303706394778754
ACH-000099,-0.4166746026098319
ACH-000108,-0.2686655171572224
ACH-000113,-0.2541508779414525
ACH-000116,-0.5606220639901764
ACH-000118,-0.3794561056219397
ACH-000120,-0.4550351270081856
ACH-000123,-0.4031047674727125
ACH-000127,-0.3714809453882265
ACH-000128,-0.2747246218826455
ACH-000132,-0.4750221300483932
ACH-000133,-0.4127563058711656
ACH-000137,-0.5558635520823804
ACH-000138,-0.31296496360589343
ACH-000142,-0.4218997973645333
ACH-000143,-0.3149117163532011
ACH-000146,-0.2773757554596529
ACH-000148,-0.2727428907088505
ACH-000150,-0.5193941987942597
ACH-000152,-0.4407700550784368
ACH-000153,-0.4933046434789779
ACH-000159,-0.6053054861268045
ACH-000160,-0.3845106358358679
ACH-000163,-0.2426788681158343
ACH-000167,-0.7282714608412214
ACH-000168,-0.39692225525144026
ACH-000169,-0.6247149722422646
ACH-000178,-0.2648076718185097
ACH-000183,-0.4634667321777707
ACH-000188,-0.3706793984567682
ACH-000189,-0.4825162648096051
ACH-000190,-0.449486874334209
ACH-000198,-0.3364115469553289
ACH-000203,-0.6258157618316946
ACH-000204,-0.4341554345217542
ACH-000206,-0.6473446931867711
ACH-000207,-0.3969353375738619
ACH-000208,-0.6305751405914997
ACH-000210,-0.2384775192349921
ACH-000211,-0.2510710793209128
ACH-000215,-0.3988212287237763
ACH-000221,-0.28646871810917873
ACH-000222,-0.1937552047157221
ACH-000223,-0.3189488741456398
ACH-000226,-0.4917694697507979
ACH-000227,-0.4074842124764849
ACH-000228,-0.4072615097614203
ACH-000231,-0.37371677119642255
ACH-000232,-0.3009058468613454
ACH-000233,-0.4939934522281733
ACH-000234,-0.4532433820313171
ACH-000235,-0.33958585293063137
ACH-000237,-0.4379041169418668
ACH-000238,-0.355970209576867
ACH-000242,-0.1745908523885913
ACH-000243,-0.4266339363460824
ACH-000244,-0.42553435754315205
ACH-000246,-0.4104429450139994
ACH-000248,-0.3390320008320017
ACH-000250,-0.4402004372207721
ACH-000251,-0.20428896461929452
ACH-000252,-0.2345323199112292
ACH-000253,-0.4463390464384359
ACH-000255,-0.6056244373527631
ACH-000256,-0.5521587993245449
ACH-000257,-0.4233138497249076
ACH-000258,-0.4380366096115749
ACH-000259,-0.5833809736903006
ACH-000260,-0.5178596894220484
ACH-000261,-0.4229619064508893
ACH-000262,-0.2976359055514957
ACH-000263,-0.4540770984194642
ACH-000264,-0.37828467000727006
ACH-000265,-0.40763372223428695
ACH-000266,-0.4316904898904904
ACH-000272,-0.4560520688376586
ACH-000274,-0.3797153929118629
ACH-000277,-0.6146332780656415
ACH-000278,-0.5065911638011461
ACH-000279,-0.2378223968155317
ACH-000280,-0.3610849206458971
ACH-000281,-0.3342820564146461
ACH-000288,-0.4066108620918362
ACH-000291,-0.35097171974390384
ACH-000293,-0.2715024166736423
ACH-000294,-0.4481945889504877
