,ARSG (22901)
ACH-000004,0.30074457977892805
ACH-000005,0.2869382510065129
ACH-000007,0.3618534655284579
ACH-000009,0.33839613310832417
ACH-000011,0.21393533269512102
ACH-000012,0.3065970011831842
ACH-000013,0.33748792976207914
ACH-000014,0.3874720969651907
ACH-000015,0.21172139578154606
ACH-000017,0.3129117768406709
ACH-000018,0.2801372257717677
ACH-000019,0.21289059095939272
ACH-000021,0.23554916029463374
ACH-000022,0.15295900046325847
ACH-000025,0.2816923902296964
ACH-000028,0.007197185339167675
ACH-000030,0.2882174953554555
ACH-000035,0.17164190982639752
ACH-000036,0.2718702992473474
ACH-000037,0.27744624726135275
ACH-000039,0.08356527516306342
ACH-000040,0.24202273238197905
ACH-000041,0.22296414348291044
ACH-000042,0.2765916912217929
ACH-000045,0.2877286010726225
ACH-000047,0.22345635789546164
ACH-000052,0.2434092314816731
ACH-000053,0.26499242859368555
ACH-000054,0.12360312123546588
ACH-000055,0.2353206551563669
ACH-000060,0.23232468925568944
ACH-000067,0.21346411571748253
ACH-000070,0.3774065488438128
ACH-000075,-0.03073538445077792
ACH-000078,0.355796424631887
ACH-000082,0.2795027391527301
ACH-000085,0.2819692920874497
ACH-000086,0.1479721880728077
ACH-000087,0.3407997203279234
ACH-000092,0.2388301686490263
ACH-000095,0.3126206578679445
ACH-000097,0.3177879081114889
ACH-000098,0.2742603502580485
ACH-000099,0.3585295222220071
ACH-000108,0.15334119678987904
ACH-000113,0.33718980170734697
ACH-000116,0.2028752728634776
ACH-000118,0.17842986418025614
ACH-000120,0.2203065706626748
ACH-000123,0.16407444557455125
ACH-000127,0.2960694096002686
ACH-000128,0.10762929915636256
ACH-000132,0.08149116947909693
ACH-000133,0.3923683641955885
ACH-000137,0.3407701521856233
ACH-000138,0.1870380254003009
ACH-000142,0.17588649313561444
ACH-000143,0.2884570385232281
ACH-000146,0.2544791197548835
ACH-000148,0.15136540901457196
ACH-000150,0.31033826001088266
ACH-000152,0.2542230845616301
ACH-000153,0.05143103508094059
ACH-000159,0.244997070358748
ACH-000160,0.24300073327253846
ACH-000163,0.17754883698202645
ACH-000167,0.010994288447832588
ACH-000168,0.3775291369314312
ACH-000169,0.1763279961287192
ACH-000178,0.12983738465995748
ACH-000183,0.14484036406105275
ACH-000188,0.4050148851797496
ACH-000189,0.3702287880694992
ACH-000190,0.09473006420750868
ACH-000198,0.16162057481222775
ACH-000203,0.5744074409441758
ACH-000204,0.41405295053531377
ACH-000206,0.18215080979364712
ACH-000207,0.26592373377535866
ACH-000208,0.06776148359537068
ACH-000210,0.11782410951499005
ACH-000211,0.1594836745401858
ACH-000215,0.20173790834671704
ACH-000221,0.348867805350824
ACH-000222,0.24101524505659636
ACH-000223,0.13265335870442174
ACH-000226,0.18832136704800773
ACH-000227,0.2554735623026994
