,DGCR6L (85359)
ACH-000004,-0.12963848072414216
ACH-000005,-0.30975769981775586
ACH-000007,-0.37993280207174496
ACH-000009,-0.14957331372179702
ACH-000011,-0.2171854368310161
ACH-000012,-0.2716926365956314
ACH-000013,-0.14787922474018186
ACH-000014,-0.3385613507115405
ACH-000015,-0.09293561416153287
ACH-000017,-0.17300685551339404
ACH-000018,-0.03157333595557065
ACH-000019,-0.22468700647489864
ACH-000021,-0.2109820356404306
ACH-000022,-0.12506051873896862
ACH-000025,-0.2634596399404163
ACH-000028,-0.20153528221279932
ACH-000030,-0.29166401398690456
ACH-000035,0.09165261960446452
ACH-000036,-0.19203894625097426
ACH-000037,-0.3038172842848787
ACH-000039,-0.3473351621142154
ACH-000040,-0.2728782605686026
ACH-000041,-0.26526482972144577
ACH-000042,-0.2155558801955577
ACH-000045,-0.35599179211421617
ACH-000047,-0.17182417411386258
ACH-000052,-0.1603284292469718
ACH-000053,-0.11489107863021072
ACH-000054,-0.07471459063654569
ACH-000055,-0.4582499429512081
ACH-000060,-0.2801424649459138
ACH-000067,-0.16826845328380696
ACH-000070,-0.0138651919981261
ACH-000075,-0.1901539656433748
ACH-000078,-0.18210688440864126
ACH-000082,-0.33672874760347377
ACH-000085,-0.06426290416398497
ACH-000086,-0.04528242684366022
ACH-000087,0.10632953546159818
ACH-000092,-0.28343619238012396
ACH-000095,-0.2524124266135371
ACH-000097,-0.13958689793542475
ACH-000098,-0.1960655307847282
ACH-000099,-0.3124313041830545
ACH-000108,-0.17323343689628953
ACH-000113,-0.05824407705416398
ACH-000116,-0.13342183728827492
ACH-000118,-0.16099907041549752
ACH-000120,-0.11092781014626243
ACH-000123,-0.10446749164464453
ACH-000127,-0.04890887460600098
ACH-000128,-0.3129102802706224
ACH-000132,-0.2317832097800779
ACH-000133,-0.213139795729406
ACH-000137,-0.2475582893405267
ACH-000138,-0.016065616814772775
ACH-000142,-0.00882143317604103
ACH-000143,-0.25884232120735623
ACH-000146,-0.2448456185486772
ACH-000148,-0.020236542805357964
ACH-000150,-0.08420486987891056
ACH-000152,-0.08413114751570758
ACH-000153,-0.1121356791087898
ACH-000159,-0.03655736750300068
ACH-000160,-0.067779852029249
ACH-000163,-0.17276430749527752
ACH-000167,-0.008712368686361119
ACH-000168,-0.3362593866963105
ACH-000169,-0.07158469526853738
ACH-000178,-0.2100552178631577
ACH-000183,-0.16810203484782935
ACH-000188,-0.08764176766603253
ACH-000189,-0.1835333517068541
ACH-000190,-0.4065954035035823
ACH-000198,-0.14559447460162148
ACH-000203,-0.18801323469311515
ACH-000204,-0.05406989560514699
ACH-000206,-0.5374467972013639
ACH-000207,-0.24137960868635655
ACH-000208,-0.09161374002779006
ACH-000210,-0.03527174299142035
ACH-000211,-0.18297527967917512
ACH-000215,-0.16762064798632
ACH-000221,-0.16062322263575113
ACH-000222,-0.08332244364603411
ACH-000223,-0.2673188382576332
ACH-000226,-0.4234428986520826
ACH-000227,-0.05719536426308099
ACH-000228,0.01305638452351392
