,FBF1 (85302)
ACH-000004,-0.13881755143333527
ACH-000005,0.020025764469718828
ACH-000007,-0.14117836985922225
ACH-000009,-0.2699309348339478
ACH-000011,-0.13924979699041076
ACH-000012,-0.08241916081842028
ACH-000013,-0.09245864254903258
ACH-000014,-0.0040599947663997535
ACH-000015,-0.10435593399301377
ACH-000017,-0.1527052130733298
ACH-000018,-0.1011528249662078
ACH-000019,0.09603171630881696
ACH-000021,-0.08294892193996596
ACH-000022,-0.2277858249963341
ACH-000025,-0.09465184090590707
ACH-000028,-0.0275387677486778
ACH-000030,-0.0985637667466239
ACH-000035,-0.1747638705224977
ACH-000036,-0.16930746957496146
ACH-000037,-0.17950372657417107
ACH-000039,-0.17022278710390226
ACH-000040,-0.15886693058047624
ACH-000041,-0.1594251538269829
ACH-000042,-0.15438542142182626
ACH-000045,0.03235992970685138
ACH-000047,-0.11145259214311856
ACH-000052,-0.06970333014051322
ACH-000053,-0.1312285976145312
ACH-000054,-0.12199718442600932
ACH-000055,-0.05303121951267148
ACH-000060,-0.047875809855216334
ACH-000067,-0.05539107239400508
ACH-000070,-0.17137549732076934
ACH-000075,-0.061690778642771775
ACH-000078,-0.1874083960358717
ACH-000082,-0.025696968644799315
ACH-000085,-0.15642500100236692
ACH-000086,-0.09465045267792684
ACH-000087,0.16833793383051734
ACH-000092,-0.032071103570757015
ACH-000095,-0.2087578183559512
ACH-000097,-0.03635785352781988
ACH-000098,-0.16240225031810426
ACH-000099,-0.1660858968330847
ACH-000108,-0.1338812174847071
ACH-000113,-0.048441968264663834
ACH-000116,-0.12888136919965135
ACH-000118,-0.0764331485111839
ACH-000120,-0.31957496697586946
ACH-000123,-0.10285839100473082
ACH-000127,-0.09638459195681026
ACH-000128,-0.1908729075493321
ACH-000132,0.0003815337983941583
ACH-000133,-0.053435147185624136
ACH-000137,0.08563597738757228
ACH-000138,-0.0338191324338709
ACH-000142,-0.191318062343692
ACH-000143,-0.0325459876885244
ACH-000146,-0.14964970037533326
ACH-000148,-0.16776189065629474
ACH-000150,-0.17169402133760256
ACH-000152,-0.1133028754679768
ACH-000153,-0.1241628426341127
ACH-000159,-0.04253321472824791
ACH-000160,-0.18339356525062164
ACH-000163,-0.03937127024262703
ACH-000167,-0.342411537858231
ACH-000168,-0.02161234779786177
ACH-000169,0.009425962407191063
ACH-000178,-0.06843026918630185
ACH-000183,-0.05211902175179405
ACH-000188,-0.08238787342597476
ACH-000189,-0.23928038418790384
ACH-000190,-0.22082998669585235
ACH-000198,-0.02060130000426591
ACH-000203,0.13472956406032538
ACH-000204,-0.32582232012950074
ACH-000206,-0.1165402785812047
