,TAS2R13 (50838)
ACH-000004,-0.017396442678933997
ACH-000005,-0.04106123282360311
ACH-000007,0.10994114667630928
ACH-000009,0.09072810337458237
ACH-000011,0.07032412018804389
ACH-000012,0.2232154442814
ACH-000013,0.05624661799768752
ACH-000014,0.014143416068909013
ACH-000015,0.028824364467908183
ACH-000017,0.11886050644357495
ACH-000018,0.0465491619796392
ACH-000019,0.09803585656714507
ACH-000021,0.05413948919496906
ACH-000022,0.059118361814125324
ACH-000025,0.05025355082562718
ACH-000028,0.09929703201361956
ACH-000030,0.13981822517053294
ACH-000035,0.11437088051277945
ACH-000036,0.09249713993533458
ACH-000037,0.0520721847340084
ACH-000039,0.008089164615911994
ACH-000040,0.0740640399952973
ACH-000041,0.06175341550910365
ACH-000042,0.11915394096956668
ACH-000045,0.06585797046936863
ACH-000047,0.05824776347603825
ACH-000052,0.030074727221780014
ACH-000053,0.08815346887098198
ACH-000054,-0.012900068744557729
ACH-000055,0.14003693792142236
ACH-000060,-0.01105153864602747
ACH-000067,0.09372386087553147
ACH-000070,0.10735952206271313
ACH-000075,0.1336310328762936
ACH-000078,-0.01282762050186504
ACH-000082,0.07673658515578127
ACH-000085,-0.10660655967886863
ACH-000086,0.17140263654675272
ACH-000087,0.19304231327371998
ACH-000092,0.1453183656348877
ACH-000095,0.03379946715023164
ACH-000097,0.14476773973180276
ACH-000098,0.08144805814155964
ACH-000099,0.08338445940375952
ACH-000108,0.09409487867705613
ACH-000113,0.05490133880868992
ACH-000116,0.1379042112435737
ACH-000118,0.11681649939453055
ACH-000120,0.0035268073410300712
ACH-000123,0.0730478149263803
ACH-000127,0.045190351053963886
ACH-000128,-0.013834900398508751
ACH-000132,0.18167770927043592
ACH-000133,0.11293464198758472
ACH-000137,0.1417343356940676
ACH-000138,0.01655366813056022
ACH-000142,-0.005347662889871568
ACH-000143,0.07415499568683755
ACH-000146,0.06565683096835433
ACH-000148,0.048509327778434266
ACH-000150,0.19054892004611032
ACH-000152,0.16152883195268244
ACH-000153,0.0
ACH-000159,0.12190809264499256
ACH-000160,0.008954513616009562
