,USPL1 (10208)
ACH-000004,-0.5652041014228066
ACH-000005,-0.5801224362317942
ACH-000007,-0.7088322275826172
ACH-000009,-0.7793344987169011
ACH-000011,-0.5763312915297863
ACH-000012,-1.1601577479105236
ACH-000013,-0.9389791413136248
ACH-000014,-0.39982975899404144
ACH-000015,-0.8587840310629163
ACH-000017,-0.6717125749237999
ACH-000018,-0.7415484629758126
ACH-000019,-0.6193115032763921
ACH-000021,-0.8033527264216312
ACH-000022,-0.4492517696520333
ACH-000025,-0.4355474483270012
ACH-000028,-0.8327209659161972
ACH-000030,-0.938255758136048
ACH-000035,-1.1696206574077066
ACH-000036,-0.9143648119263714
ACH-000037,-1.0586764977974048
ACH-000039,-0.5440429202148103
ACH-000040,-0.8798896703045408
ACH-000041,-0.3859307637888636
ACH-000042,-1.0503078989957335
ACH-000045,-0.7784146108915277
ACH-000047,-1.2012911898448684
ACH-000052,-0.5689239178001013
ACH-000053,-0.8054292530713327
ACH-000054,-0.6575558280255288
ACH-000055,-0.9305386461762726
ACH-000060,-0.9317119292772496
ACH-000067,-1.0183580833389354
ACH-000070,-0.4456469973397058
ACH-000075,-0.9984038360294244
ACH-000078,-0.493140502679545
ACH-000082,-1.1280130931405783
ACH-000085,-0.5880170290957245
ACH-000086,-0.9555739249969546
ACH-000087,-0.6858187418384045
ACH-000092,-0.5109288335148698
ACH-000095,-0.5947295787112369
ACH-000097,-0.9458670642362652
ACH-000098,-0.5167727197144676
ACH-000099,-0.6274610267877473
ACH-000108,-0.9490216908987804
ACH-000113,-1.00377965455317
ACH-000116,-0.8146584143379171
ACH-000118,-0.783619331093197
ACH-000120,-0.8743563044467085
ACH-000123,-0.6019992373612457
ACH-000127,-0.7369094248006356
ACH-000128,-0.6278246753798044
ACH-000132,-0.6002715503770552
ACH-000133,-0.8391581250294037
ACH-000137,-0.8323543943041984
ACH-000138,-1.0847383339485923
ACH-000142,-0.8175870388077178
ACH-000143,-1.042700969529292
ACH-000146,-1.0007794876037788
ACH-000148,-1.0400478631278498
ACH-000150,-0.6780183974965016
ACH-000152,-0.9672699648941271
ACH-000153,-0.6806903398896288
ACH-000159,-0.6131567401567531
ACH-000160,-0.5473278397562522
ACH-000163,-0.9548850693621972
ACH-000167,-0.7851555416937738
ACH-000168,-0.5875340053156471
ACH-000169,-1.0680985263222502
