,YBX1 (4904)
ACH-000004,-0.5587985686125079
ACH-000005,-0.5662391948117034
ACH-000007,-0.5783924756315739
ACH-000009,-0.7043767182543761
ACH-000011,-0.6343545129282709
ACH-000012,-0.4587534899791417
ACH-000013,-0.4785926014480374
ACH-000014,-0.738457746746386
ACH-000015,-0.7239349385187331
ACH-000017,-0.5627540358710476
ACH-000018,-0.6722876608772804
ACH-000019,-0.5349073719404513
ACH-000021,-0.7523880565086848
ACH-000022,-0.5154871854655454
ACH-000025,-0.5403412675387392
ACH-000028,-0.5315745758273203
ACH-000030,-0.5167705869749541
ACH-000035,-0.6087599132132722
ACH-000036,-0.695423388807526
ACH-000037,-0.6342460942948998
ACH-000039,-0.5863065817292854
ACH-000040,-0.7510730631982276
ACH-000041,-0.8815649129334756
ACH-000042,-0.5449449390242326
ACH-000045,-0.5301313772582235
ACH-000047,-0.373116283204802
ACH-000052,-0.958428474659937
ACH-000053,-0.3585370852847424
ACH-000054,-0.5901726031093423
ACH-000055,-0.5545097447198756
ACH-000060,-0.7321207266715535
ACH-000067,-0.9138921973093906
ACH-000070,-0.9339191233318628
ACH-000075,-0.42014748473787
ACH-000078,-0.6671782713234424
ACH-000082,-0.7891164416980282
ACH-000085,-0.4933754111927009
ACH-000086,-0.6811925029675487
ACH-000087,-0.8877272394326562
ACH-000092,-0.8867384621842562
ACH-000095,-0.5189114199233572
ACH-000097,-0.5758406397336266
ACH-000098,-0.8539941688512146
ACH-000099,-0.8037728371257981
ACH-000108,-0.8045026897718734
ACH-000113,-0.7788077271289118
ACH-000116,-0.4827234030452114
ACH-000118,-0.650409306745703
ACH-000120,-0.7797801583162502
ACH-000123,-0.5553935659728918
ACH-000127,-0.4535563307927998
ACH-000128,-0.7102904429167394
ACH-000132,-0.7965857934113515
ACH-000133,-0.8050707054138846
ACH-000137,-0.6202672185318663
ACH-000138,-0.4746602509866336
ACH-000142,-0.5154511560379352
ACH-000143,-0.5624190783564327
ACH-000146,-0.8030373940494682
ACH-000148,-0.9661277004217376
ACH-000150,-0.6777948367185931
ACH-000152,-0.6464142564020448
ACH-000153,-1.2304137454143658
ACH-000159,-0.4700550122949766
ACH-000160,-0.6867002318395671
ACH-000163,-0.6617729150343208
ACH-000167,-0.5515757357484748
ACH-000168,-0.4941249454713049
ACH-000169,-0.6304483396747075
ACH-000178,-0.8521198975465285
ACH-000183,-0.7030430644627287
ACH-000188,-0.691894573104029
ACH-000189,-0.5898126264674168
ACH-000190,-0.6405611156156585
ACH-000198,-0.8871668019720249
ACH-000203,-0.6868579917218129
ACH-000204,-0.836376408116935
ACH-000206,-0.550039860962671
ACH-000207,-0.4786238435673671
