,HFE2 (148738)
ACH-000004,-0.2539444723300658
ACH-000005,-0.08510171015784407
ACH-000007,-0.3244992334734202
ACH-000009,-0.2787583432345957
ACH-000011,-0.2662471519686235
ACH-000012,-0.3697348944546193
ACH-000013,-0.3506156129559253
ACH-000014,-0.27626009581637045
ACH-000015,-0.3210340251978115
ACH-000017,-0.2366271946386093
ACH-000018,-0.3691493828473191
ACH-000019,-0.4230039480847211
ACH-000021,-0.3257611611677721
ACH-000022,-0.20690802623828464
ACH-000025,-0.4390303707953596
ACH-000028,-0.5278281652621705
ACH-000030,-0.2471354647801632
ACH-000035,-0.41175046345118055
ACH-000036,-0.4542742983988182
ACH-000037,-0.30183587228014835
ACH-000039,-0.2533744142060017
ACH-000040,-0.2510958991294119
ACH-000041,-0.18987415685280173
ACH-000042,-0.3322905979770579
ACH-000045,-0.2010586567011172
ACH-000047,-0.34357722268326385
ACH-000052,-0.33415110733095305
ACH-000053,-0.5101182903503636
ACH-000054,-0.34963954901119
ACH-000055,-0.008958559704600487
ACH-000060,-0.09872048940673687
ACH-000067,-0.14664080138423966
ACH-000070,-0.17942652602417658
ACH-000075,-0.3990910020438632
ACH-000078,0.03246669369358865
ACH-000082,-0.2987166735511275
ACH-000085,-0.4598849597427245
ACH-000086,-0.4597592030780899
ACH-000087,-0.1740873261075217
ACH-000092,-0.37230330898845865
ACH-000095,-0.03648606570119678
ACH-000097,-0.3778919021879728
ACH-000098,-0.34523124896496155
ACH-000099,-0.1374198446312623
ACH-000108,-0.3355396627563885
ACH-000113,-0.2434829885170307
ACH-000116,-0.22741381062010815
ACH-000118,-0.42116192954930254
ACH-000120,-0.08873447819175638
ACH-000123,-0.2973651929020478
ACH-000127,-0.22494523228026936
ACH-000128,-0.23693867743421496
ACH-000132,-0.16519343385173954
ACH-000133,-0.5730014858260826
ACH-000137,-0.33016388949921016
ACH-000138,-0.1819122505690842
ACH-000142,-0.39622073000900393
ACH-000143,0.013628262253578877
ACH-000146,-0.2189134227963736
ACH-000148,-0.20388481341526232
ACH-000150,-0.2271133991276487
ACH-000152,-0.3518950817973007
ACH-000153,-0.6204367084739847
ACH-000159,-0.3922367848526753
ACH-000160,-0.14288968686471856
ACH-000163,-0.20854887406835296
ACH-000167,-0.3579809346532999
ACH-000168,-0.17686100537489322
ACH-000169,-0.36321435255710827
ACH-000178,-0.21918977012232174
ACH-000183,-0.3761057741024671
ACH-000188,-0.39650472538814413
ACH-000189,-0.6558981769129707
ACH-000190,-0.154659129657738
ACH-000198,-0.14565570868371305
ACH-000203,0.10259501562319699
ACH-000204,-0.6234789546711192
ACH-000206,-0.2979333683648664
ACH-000207,-0.291724954881334
ACH-000208,-0.24353980850714965
