,KIT (3815)
ACH-000004,-0.06945363207600433
ACH-000005,-0.008255677018132995
ACH-000007,-0.2188212124890238
ACH-000009,-0.030866082767623263
ACH-000011,-0.15081485917803653
ACH-000012,-0.3285768674587056
ACH-000013,0.01918454837915894
ACH-000014,-0.3148488580848721
ACH-000015,-0.16862412778893882
ACH-000017,-0.20316300373983293
ACH-000018,-0.07622436086964425
ACH-000019,-0.2348245586898753
ACH-000021,-0.17277021499337344
ACH-000022,-0.27112584726612404
ACH-000025,-0.10620559165951736
ACH-000028,-0.20573243042567346
ACH-000030,-0.174447569992597
ACH-000035,-0.06874244206610636
ACH-000036,-0.08043431744450888
ACH-000037,-0.2711549185300033
ACH-000039,-0.20860329392077065
ACH-000040,-0.2691296278066955
ACH-000041,-0.17180910764756913
ACH-000042,-0.14921932789411507
ACH-000045,-0.03232218931322859
ACH-000047,-0.2351372607342224
ACH-000052,0.006336407096523797
ACH-000053,-0.08725157626580264
ACH-000054,-0.1128564464827966
ACH-000055,-0.05676500739107877
ACH-000060,-0.2976453479882853
ACH-000067,-0.1787790797810442
ACH-000070,0.06818473504723112
ACH-000075,-0.15796853715993758
ACH-000078,-0.2393683678915496
ACH-000082,-0.14227046032350035
ACH-000085,-0.24976798316828897
ACH-000086,-0.01792814775213429
ACH-000087,-0.15450516271067186
ACH-000092,-0.0317726018423414
ACH-000095,-0.15338591305051666
ACH-000097,-0.2648576663344129
ACH-000098,-0.1309664441121289
ACH-000099,-0.2724003374395597
ACH-000108,-0.11686539171094935
ACH-000113,-0.09127932501072243
ACH-000116,-0.027337021475134067
ACH-000118,-0.20305587957863871
ACH-000120,-0.1451674464305355
ACH-000123,-0.09430533028757856
ACH-000127,-0.12919852372287713
ACH-000128,-0.2547956376842328
ACH-000132,-0.1358981551570743
ACH-000133,-0.1808657137757722
ACH-000137,0.044989908011091526
ACH-000138,-0.09031628784349616
ACH-000142,-0.13064273381851088
ACH-000143,-0.11638188238428145
ACH-000146,-0.0881144612332813
ACH-000148,-0.1594243283059229
ACH-000150,-0.03336356505801204
ACH-000152,-0.20364997964714796
ACH-000153,-0.14501661081129408
ACH-000159,-0.12868302745966095
ACH-000160,-0.1545436059355351
ACH-000163,-0.24815680845443916
ACH-000167,-0.031999744849477464
ACH-000168,-0.13865108584705912
ACH-000169,-0.2322305949630985
ACH-000178,-0.17696747076196634
ACH-000183,-0.2657793651204712
ACH-000188,-0.07170545940705014
ACH-000189,-0.06194292124425808
ACH-000190,-0.05566466245440405
ACH-000198,-0.1525397827147968
ACH-000203,-0.4201247275162228
ACH-000204,-0.02522859159244984
ACH-000206,-0.019990470025567104
ACH-000207,-0.08512412105479003
ACH-000208,0.045127222622617175
ACH-000210,-0.31831746027425945
ACH-000211,-0.2565433015895871
ACH-000215,-0.4495192109670495
ACH-000221,-0.04936774478313743
ACH-000222,-0.11116864641255253
ACH-000223,-0.1080353155614211
ACH-000226,-0.2729101629313434
ACH-000227,-0.19673541062007555
ACH-000228,-0.08160447955607808
ACH-000231,-0.15621742650410989
ACH-000232,-0.18148032110349005
ACH-000233,-0.014774274037670003
ACH-000234,0.006866532272530486
ACH-000235,-0.09734683945890216
ACH-000237,-0.13630201551837384
ACH-000238,-0.16851594208989246
ACH-000242,0.026664692151661548
ACH-000243,-0.11513556497410328
ACH-000244,-0.013012086253717222
ACH-000246,0.009909817750071518
ACH-000248,-0.20677443195407205
ACH-000250,-0.08166371871942743
ACH-000251,-0.21405809529259293
ACH-000252,-0.3289672659152974
ACH-000253,-0.13064795914033442
ACH-000255,-0.15136536160662015
ACH-000256,-0.2637404567597964
ACH-000257,-0.21934784273258914
