,PLEKHJ1 (55111)
ACH-000004,0.02602778642184972
ACH-000005,-0.3306934493460186
ACH-000007,-0.1726182598229151
ACH-000009,-0.045357293688557
ACH-000011,-0.19690635054084732
ACH-000012,-0.157775382900888
ACH-000013,-0.10228747840284493
ACH-000014,-0.054690818838125856
ACH-000015,-0.013523280175412836
ACH-000017,-0.22941246386703404
ACH-000018,-0.2153206005311234
ACH-000019,-0.19421475718018769
ACH-000021,-0.29714853338122965
ACH-000022,0.019794446840439982
ACH-000025,-0.1453914942872363
ACH-000028,-0.3777284234206656
ACH-000030,-0.049967149669934194
ACH-000035,-0.2867295284976463
ACH-000036,-0.07236217525671285
ACH-000037,-0.008746509081518005
ACH-000039,-0.08149007632015404
ACH-000040,-0.08851962121600929
ACH-000041,-0.0986105458495095
ACH-000042,-0.08836064818356963
ACH-000045,-0.2042718605367204
ACH-000047,-0.2540429870629545
ACH-000052,0.002337946189505208
ACH-000053,-0.06814352379103264
ACH-000054,-0.16479996936927488
ACH-000055,-0.2741673500528495
ACH-000060,-0.07672528347260618
ACH-000067,-0.20961602792531064
ACH-000070,0.0016316671298866026
ACH-000075,-0.40821432386302586
ACH-000078,-0.12367772410865245
ACH-000082,-0.0164325652689068
ACH-000085,-0.06588428311253654
ACH-000086,-0.21602518676039972
ACH-000087,-0.2768577106052613
ACH-000092,-0.059653463399947926
ACH-000095,-0.07765280810506013
ACH-000097,-0.23530597029924585
ACH-000098,-0.17675674167220382
ACH-000099,-0.1827611595251762
ACH-000108,-0.19456347963858064
ACH-000113,-0.14555058235871118
ACH-000116,-0.12991463027253342
ACH-000118,-0.06779527099501848
ACH-000120,-0.13567062369468252
ACH-000123,-0.1978312718572462
ACH-000127,-0.10457478702769137
ACH-000128,-0.0278120024323599
ACH-000132,-0.26018160176210675
ACH-000133,-0.08823590208612772
ACH-000137,-0.27133731740215694
ACH-000138,-0.18317762986850974
ACH-000142,-0.14126484710398454
ACH-000143,-0.06887474067389593
ACH-000146,-0.11571222884635875
ACH-000148,-0.12590081741722906
ACH-000150,-0.2288818849652981
ACH-000152,-0.21315179696108388
ACH-000153,0.025522246471507738
ACH-000159,-0.19547543692912295
ACH-000160,0.07367301691941552
ACH-000163,-0.04306657019689319
ACH-000167,-0.2413101528512893
ACH-000168,0.034116650066531
ACH-000169,-0.1940668846117393
ACH-000178,-0.16888938159987193
ACH-000183,-0.015534263161110074
ACH-000188,-0.2455677990629088
ACH-000189,-0.1830585385928134
ACH-000190,-0.17308866289764285
ACH-000198,-0.1311349274835994
ACH-000203,-0.3816988999456393
ACH-000204,-0.4276727603986189
ACH-000206,-0.1245159513166707
ACH-000207,-0.030215080762642264
ACH-000208,0.025230326340065157
ACH-000210,-0.2196508704987136
ACH-000211,-0.1836723830396499
ACH-000215,-0.04223404359341796
ACH-000221,0.06378990800414384
ACH-000222,-0.07116271534526741
ACH-000223,-0.17217585931418544
ACH-000226,-0.09421596175381557
ACH-000227,-0.13130249190186274
ACH-000228,-0.1473930200799121
ACH-000231,-0.09880537607035278
ACH-000232,-0.20386618921150046
ACH-000233,-0.0688942112461661
ACH-000234,-0.3086359702424313
ACH-000235,-0.1664590034184818
ACH-000237,-0.13994803033428702
ACH-000238,-0.29355513110668296
ACH-000242,0.06865374454970954
ACH-000243,-0.08184395972277769
ACH-000244,0.0032174435261269
ACH-000246,-0.03385243528873204
ACH-000248,-0.2345376230525036
ACH-000250,-0.06880405313798274
ACH-000251,-0.2010118717828162
ACH-000252,-0.15542738641754186
ACH-000253,-0.04157964355449964
ACH-000255,-0.06883501462111492
ACH-000256,-0.022879469725472296
ACH-000257,-0.1799331028342821
ACH-000258,-0.10747542628478084
ACH-000259,-0.0508433785653019
ACH-000260,-0.06820500413771821
ACH-000261,-0.19745310775990646
ACH-000262,-0.16591182660475853
ACH-000263,-0.04317761297246205
ACH-000264,-0.18857136306677824
ACH-000265,-0.06089452164718756
ACH-000266,-0.2237344179932408
ACH-000272,-0.14504026688409682
ACH-000274,-0.054696354652921914
ACH-000277,-0.14581582570146373
ACH-000278,-0.12416990951467714
ACH-000279,-0.18648574388166314
ACH-000280,-0.14106522455166154
ACH-000281,0.014008730293300969
ACH-000288,0.03659863165902113
ACH-000291,-0.22997278064733945
ACH-000293,0.03305272866158167
ACH-000294,-0.2335188819081727
ACH-000295,0.00403795470313898
ACH-000296,-0.1755310875623159
ACH-000302,-0.14727748147699224
ACH-000304,0.010614303420747892
ACH-000307,-0.0836493030537793
ACH-000308,-0.11982755335819095
ACH-000310,-0.09745052586504048
ACH-000311,-0.2228124824049424
ACH-000312,-0.2064523484500899
ACH-000315,-0.11510681759262792
ACH-000316,-0.00468170365550794
ACH-000317,-0.01195065780971034
ACH-000318,-0.1121250945024119
ACH-000319,-0.19805697033583025
ACH-000320,-0.16440677904747708
ACH-000322,-0.08250125916538187
ACH-000323,-0.2408956466374523
ACH-000324,-0.11639669954042192
ACH-000329,-0.14315821411571336
ACH-000330,-0.0616654663671539
ACH-000331,0.07065683853599126
ACH-000332,-0.15533924830612922
ACH-000334,-0.3554841990303922
ACH-000335,-0.1423533451651878
ACH-000336,-0.003457513329406837
ACH-000337,0.06067635558165582
ACH-000338,-0.11802927128499295
ACH-000339,-0.1400690659866286
ACH-000341,-0.3279618776146015
ACH-000348,-0.04250002616750345
ACH-000350,-0.005833587358748522
ACH-000352,-0.005819033081380413
ACH-000356,-0.04113256348104714
ACH-000361,-0.2720321130227505
ACH-000362,-0.12424901800490253
ACH-000363,-0.23907589740620966
ACH-000364,-0.23464705809714764
ACH-000365,-0.1574459549546942
ACH-000366,-0.159828762559924
ACH-000368,-0.06734391647637171
ACH-000374,0.060102252145675286
ACH-000375,-0.11244341603681224
ACH-000376,0.0668870121767736
ACH-000381,-0.28162542617148595
ACH-000383,-0.1615328017873522
ACH-000387,0.0001669449144675737
ACH-000389,-0.20130115717592384
ACH-000390,-0.14243876048343435
ACH-000393,-0.14438648466416526
ACH-000395,-0.1282352774893951
ACH-000396,-0.2605382342873321
ACH-000397,0.032537151243081666
ACH-000401,-0.17210029413143108
ACH-000402,-0.11183421824088433
ACH-000403,-0.13564194748167016
ACH-000404,-0.2822557723785629
ACH-000406,-0.022033693764509785
ACH-000407,-0.2254603769455295
ACH-000408,-0.12931453689339925
ACH-000410,-0.15365905512750214
ACH-000411,-0.14923569892500707
ACH-000414,-0.10084022741635117
ACH-000415,-0.0697977756427197
ACH-000416,-0.08388956301096827
ACH-000420,-0.17299836693123688
ACH-000421,-0.20435512083724386
