,TLK1 (9874)
ACH-000004,0.11630396354958365
ACH-000005,0.26516858341267924
ACH-000007,0.06584827216639816
ACH-000009,-0.010855830259635874
ACH-000011,-0.047208470096346704
ACH-000012,0.035272477664513815
ACH-000013,-0.12616449804008478
ACH-000014,0.09103878434364372
ACH-000015,0.05150627196915405
ACH-000017,0.036469867052521095
ACH-000018,-0.2536352309389247
ACH-000019,0.1506602518278956
ACH-000021,0.00040477719815817015
ACH-000022,0.17092954186201087
ACH-000025,0.0037130081423612468
ACH-000028,0.09281492944109544
ACH-000030,0.03638026364234901
ACH-000035,-0.11375493206170065
ACH-000036,0.03365429819804513
ACH-000037,0.03839555568147255
ACH-000039,-0.0021233889745092415
ACH-000040,-0.07564681303466192
ACH-000041,-0.10938652376263873
ACH-000042,-0.010568327063165512
ACH-000045,-0.0728059838786648
ACH-000047,0.0013912466847507026
ACH-000052,-0.17308126280067215
ACH-000053,0.2497858483014601
ACH-000054,-0.008814800742888493
ACH-000055,-0.06968559919848888
ACH-000060,-0.14297007628403205
ACH-000067,-0.15459942942295773
ACH-000070,0.056912961637032425
ACH-000075,-0.055494765518227566
ACH-000078,0.02685435621062034
ACH-000082,-0.024433432953218908
ACH-000085,0.038572684724911835
ACH-000086,-0.024496359015855014
ACH-000087,0.126740072654974
ACH-000092,0.0073821014357998704
ACH-000095,0.028197220049286563
ACH-000097,0.038697687370507466
ACH-000098,-0.08984002882423385
ACH-000099,0.0732474440933113
ACH-000108,-0.04583124707086485
ACH-000113,-0.1039164982467558
ACH-000116,0.011846865829416865
ACH-000118,0.015827868571319917
ACH-000120,-0.04992355525312224
ACH-000123,-0.028737623923908655
ACH-000127,0.06582712573710972
ACH-000128,-0.12861823004618872
ACH-000132,-0.04684180235487489
ACH-000133,-0.03832243717285628
ACH-000137,-0.05039040446263222
ACH-000138,0.10246277390030184
ACH-000142,0.1742819683830334
ACH-000143,0.0360370874451276
ACH-000146,0.04368503487044685
ACH-000148,0.01045552733810397
ACH-000150,-0.1847862250299451
ACH-000152,-0.0534240263715415
ACH-000153,-0.01931003436414874
ACH-000159,-0.05224866298269225
