,IMP4 (92856)
ACH-000004,-1.0640964341900159
ACH-000005,-0.8986118345945451
ACH-000007,-1.070225168710307
ACH-000009,-1.0644997055152583
ACH-000011,-0.8462976566478737
ACH-000012,-0.909871274455906
ACH-000013,-0.9921942483961252
ACH-000014,-1.0692583352305676
ACH-000015,-0.9411266437842016
ACH-000017,-0.9591447156578023
ACH-000018,-1.0991726700334992
ACH-000019,-0.990517038323918
ACH-000021,-0.8940317763059069
ACH-000022,-0.9235350725386487
ACH-000025,-1.1350199202407043
ACH-000028,-0.9534341276619224
ACH-000030,-0.9835033474637176
ACH-000035,-1.2245340688069923
ACH-000036,-0.8826695840233413
ACH-000037,-0.5301587570501657
ACH-000039,-0.762015637164618
ACH-000040,-0.9767092494287756
ACH-000041,-1.135150220654778
ACH-000042,-0.9276784147257304
ACH-000045,-0.8253593426236084
ACH-000047,-0.9207427112439937
ACH-000052,-0.9191671324089672
ACH-000053,-1.0967378373188854
ACH-000054,-0.9235622007254688
ACH-000055,-1.074900963432866
ACH-000060,-1.0000867087754253
ACH-000067,-0.8819754527455751
ACH-000070,-0.9319877474531292
ACH-000075,-1.1612261976135858
ACH-000078,-0.8658460461745238
ACH-000082,-0.7581345917041038
ACH-000085,-1.0039192560894707
ACH-000086,-1.0645577180047854
ACH-000087,-1.078491056625821
ACH-000092,-0.9515442116383802
ACH-000095,-0.9205036199317128
ACH-000097,-0.9112785906650578
ACH-000098,-1.129760249633518
ACH-000099,-0.9434549981632694
ACH-000108,-1.006133849109621
ACH-000113,-0.8689184942014814
ACH-000116,-0.9336742881084008
ACH-000118,-0.8027312626030212
ACH-000120,-0.9985726793642744
ACH-000123,-0.9165739234215062
ACH-000127,-0.9927068342221096
ACH-000128,-1.1535423635484163
ACH-000132,-1.050214414753931
ACH-000133,-1.091518061086306
ACH-000137,-1.1272884401978456
ACH-000138,-0.8776026698380166
ACH-000142,-0.8348149285070083
ACH-000143,-0.9725914821147488
ACH-000146,-1.0786498583894315
ACH-000148,-0.9801359119163264
ACH-000150,-0.8466973927695443
ACH-000152,-1.1143703483430016
ACH-000153,-1.016681506709707
ACH-000159,-0.8782359092576506
ACH-000160,-1.1270413120467988
ACH-000163,-0.973868366255598
ACH-000167,-1.2889794618452686
ACH-000168,-0.91539521521501
ACH-000169,-1.15851558942429
ACH-000178,-0.9672023433437056
ACH-000183,-1.160539166442152
ACH-000188,-0.8405218616873218
ACH-000189,-0.9276274760082688
ACH-000190,-1.1095319973155606
ACH-000198,-0.9896666232278104
ACH-000203,-1.124505146198989
ACH-000204,-0.8241889093977033
ACH-000206,-0.9392962025222191
ACH-000207,-0.7310584803982892
ACH-000208,-0.9148251115780291
ACH-000210,-0.9040482690110516
ACH-000211,-1.0270181875449236
ACH-000215,-1.0420113580982782
ACH-000221,-1.0827586285580233
ACH-000222,-0.8998149212648907
ACH-000223,-0.8502680291635806
ACH-000226,-1.036338830571965
ACH-000227,-0.7774253983945825
ACH-000228,-0.9557909150841718
ACH-000231,-1.2245874349385255
ACH-000232,-1.005005438117293
ACH-000233,-0.9975140868788008
ACH-000234,-0.9827095736141174
ACH-000235,-0.9351278152250042
ACH-000237,-1.0596304781128816
ACH-000238,-0.9886777511571548
ACH-000242,-0.8275336297210705
ACH-000243,-0.8773066392234082
ACH-000244,-0.9258269994699759
ACH-000246,-0.8500558121395538
ACH-000248,-0.9874515582999612
ACH-000250,-0.922172299104818
ACH-000251,-0.8358845088717569
ACH-000252,-0.9860011548687628
ACH-000253,-1.0035087612360134
ACH-000255,-0.9886414906773836
ACH-000256,-0.8858855912908155
ACH-000257,-0.8904389919183165
ACH-000258,-1.1213383032089808
ACH-000259,-1.0288265889752743
ACH-000260,-1.0110206297075262
ACH-000261,-0.8862227127493107
ACH-000262,-0.8588614168775612
ACH-000263,-0.8558237114766549
ACH-000264,-0.9096469405946516
ACH-000265,-0.8622213838027071
ACH-000266,-0.8934056144858246
ACH-000272,-0.8515813186482194
ACH-000274,-0.9099661140450348
ACH-000277,-0.7699551529425934
ACH-000278,-1.1446081348734152
ACH-000279,-1.082587441347593
ACH-000280,-0.9882064265463384
ACH-000281,-1.1413646951952354
ACH-000288,-0.9735668940490428
ACH-000291,-0.9619402350672588
ACH-000293,-0.8140877720325416
ACH-000294,-1.0851747038142978
ACH-000295,-1.1670989718937748
ACH-000296,-0.9844572215220424
ACH-000302,-0.8288543950753718
ACH-000304,-0.963947585949775
ACH-000307,-0.9904755295847116
ACH-000308,-1.0589989766870704
ACH-000310,-1.059486031883505
ACH-000311,-0.9370028585889358
ACH-000312,-0.9141235809609785
ACH-000315,-1.3312002533808662
ACH-000316,-1.041186353746016
ACH-000317,-1.1851134804423835
ACH-000318,-1.0413320248974456
ACH-000319,-1.1049866792442784
ACH-000320,-1.019648154484294
ACH-000322,-0.830952993036176
ACH-000323,-1.104705142218852
ACH-000324,-0.8140390205825448
ACH-000329,-0.8661357578472951
ACH-000330,-1.2397454121919362
ACH-000331,-0.9034864578561292
ACH-000332,-0.9472244309626692
ACH-000334,-0.8756632937518706
ACH-000335,-1.0778781291571276
ACH-000336,-0.9429857462633028
ACH-000337,-1.1122234552101256
ACH-000338,-1.1110166003982616
ACH-000339,-1.0137089664798928
ACH-000341,-0.8953255104985816
ACH-000348,-0.8163498953988207
ACH-000350,-0.8482021087382363
ACH-000352,-1.0914522595579204
ACH-000356,-0.90738052315451
ACH-000361,-1.0440036004966016
ACH-000362,-0.9938274030346048
ACH-000363,-0.9196769552645768
ACH-000364,-0.979853343209404
ACH-000365,-1.0094726699308587
ACH-000366,-0.9573329039270684
ACH-000368,-1.1304065762838524
ACH-000374,-1.0184248522958586
ACH-000375,-0.77855215332063
ACH-000376,-1.1592736163985902
ACH-000381,-1.0905842531812877
ACH-000383,-0.9886798456772062
ACH-000387,-0.9121855063118504
ACH-000389,-0.9962400974760506
ACH-000390,-1.144129593422764
ACH-000393,-1.0091101013053754
ACH-000395,-0.8682005271159072
ACH-000396,-1.0198456284105248
ACH-000397,-1.045275325720066
ACH-000401,-0.8258124342852448
ACH-000402,-0.946228946478626
ACH-000403,-0.9364154099504206
ACH-000404,-0.7964781485330057
ACH-000406,-0.9918489739189418
ACH-000407,-0.9410039796366144
ACH-000408,-1.1149052261581105
ACH-000410,-0.9487053782322379
ACH-000411,-0.8341185245399254
ACH-000414,-0.9748285119965138
ACH-000415,-1.1097129410807154
ACH-000416,-1.1351194816108203
ACH-000420,-1.0085669666147443
