,GPAM (57678)
ACH-000004,0.02543014540154894
ACH-000005,0.20849105086868605
ACH-000007,0.10816538898919154
ACH-000009,-0.10728871005100893
ACH-000011,-0.042508067635085287
ACH-000012,-0.18244583173813106
ACH-000013,0.05952546661246536
ACH-000014,-0.07515663855746023
ACH-000015,-0.1417452271542331
ACH-000017,-0.08090908117840655
ACH-000018,-0.043227464150163535
ACH-000019,-0.028813362575045968
ACH-000021,-0.0057393866659312676
ACH-000022,-0.04730607379701508
ACH-000025,-0.03723350993558749
ACH-000028,0.05000712299360308
ACH-000030,-0.061218537289464935
ACH-000035,0.2518455776172543
ACH-000036,-0.049097771673413886
ACH-000037,0.007646331138139268
ACH-000039,0.08282302516439558
ACH-000040,0.017319131577364037
ACH-000041,-0.16068368265357286
ACH-000042,-0.09540541196147527
ACH-000045,-0.04912670170325778
ACH-000047,0.03650221041732059
ACH-000052,0.11025607397082668
ACH-000053,-0.006706955236800661
ACH-000054,0.15108851806598206
ACH-000055,0.13898375305834634
ACH-000060,-0.08119397377174807
ACH-000067,-0.003517271886502984
ACH-000070,0.3187091139103436
ACH-000075,-0.2563577249581112
ACH-000078,-0.016533030656934504
ACH-000082,-0.0898765825881843
ACH-000085,-0.0037401315253788726
ACH-000086,0.03946941820095425
ACH-000087,-0.058100338318599835
ACH-000092,-0.10465325794751093
ACH-000095,-0.07943878628047521
ACH-000097,-0.11334712163167802
ACH-000098,-0.10381548735598953
ACH-000099,-0.05703875436605639
ACH-000108,-0.07560095427609481
ACH-000113,-0.034942508404768965
ACH-000116,-0.00862793398378545
ACH-000118,-0.06961902032450551
ACH-000120,0.029740346345682726
ACH-000123,-0.20760388474967356
ACH-000127,-0.0708663549173992
ACH-000128,0.06151951309397297
ACH-000132,-0.009249457032002216
ACH-000133,-0.13466232135279252
ACH-000137,0.014229640478593503
ACH-000138,-0.11781419789339312
ACH-000142,-0.16757851262802814
ACH-000143,-0.002230581094146234
ACH-000146,-0.06395244412233922
ACH-000148,-0.07569614064225058
ACH-000150,-0.0840669108926653
ACH-000152,0.003698424242717204
ACH-000153,0.07392586139083808
ACH-000159,-0.04376552381422159
ACH-000160,0.06466939412311883
ACH-000163,0.07913225411529315
ACH-000167,-0.2146320486769733
ACH-000168,0.057925530977140635
ACH-000169,-0.003909981525299196
ACH-000178,-0.055392072657985264
ACH-000183,-0.0621858964302752
ACH-000188,0.060019382946879286
ACH-000189,-0.007050414034742064
ACH-000190,-0.06871032826147502
ACH-000198,-0.009483607972191029
ACH-000203,-0.7271445730675814
ACH-000204,-0.08407373117929394
ACH-000206,-0.06804642358703533
ACH-000207,-0.016156651968798067
ACH-000208,0.0903218436864348
ACH-000210,0.05824637044536369
ACH-000211,-0.09672028073431256
ACH-000215,-0.09373493363833932
ACH-000221,-0.08603444419986098
ACH-000222,-0.1601022131924416
ACH-000223,-0.1174851340984802
ACH-000226,-0.16621949005117964
ACH-000227,-0.029155757218722732
ACH-000228,-0.013994332456758164
ACH-000231,0.038797188976860485
ACH-000232,-0.03393178907143949
ACH-000233,-0.0932690351171592
ACH-000234,-0.00887035544384927
ACH-000235,0.0232074494825712
ACH-000237,-0.009473874315665456
ACH-000238,0.08381949384580767
ACH-000242,-0.16962762268613352
ACH-000243,-0.025042421509654297
ACH-000244,0.07527306836780194
ACH-000246,-0.043771336374539366
ACH-000248,0.058182139409173675
ACH-000250,-0.06820722811342772
ACH-000251,-0.1950038455805689
ACH-000252,-0.011012808719778656
ACH-000253,-0.2505262749266028
ACH-000255,-0.014734270856873519
ACH-000256,0.09497546396615142
ACH-000257,-0.21394896312949666
ACH-000258,-0.16847983132124456
ACH-000259,-0.0016008209867064956
ACH-000260,-0.07182372362488472
ACH-000261,-0.02560276906530558
ACH-000262,0.047899850459429405
