,CDC42EP2 (10435)
ACH-000004,-0.24807966897899586
ACH-000005,-0.4859524020202806
ACH-000007,-0.11019098967244176
ACH-000009,-0.11349165533413985
ACH-000011,-0.21741016100071556
ACH-000012,-0.3022715244450909
ACH-000013,-0.25675967329723665
ACH-000014,-0.1211827849992184
ACH-000015,-0.1960568676263448
ACH-000017,-0.18369578612940066
ACH-000018,-0.14200915964783048
ACH-000019,-0.21563468200170002
ACH-000021,-0.2413132783195448
ACH-000022,-0.14118085267681235
ACH-000025,-0.1871579310417328
ACH-000028,-0.26842826449919666
ACH-000030,-0.2187845099483288
ACH-000035,-0.15707022709880308
ACH-000036,-0.3351240016287131
ACH-000037,-0.14998819434683086
ACH-000039,-0.3827013139231332
ACH-000040,-0.2928550189178345
ACH-000041,-0.11805397500580188
ACH-000042,-0.2003512354132238
ACH-000045,-0.11377305502525566
ACH-000047,-0.16646941545286895
ACH-000052,-0.2356754445226309
ACH-000053,-0.1424471899378026
ACH-000054,-0.22877283680345145
ACH-000055,-0.11487720195097982
ACH-000060,-0.05032518962017582
ACH-000067,0.015239603894085147
ACH-000070,-0.16416358054363409
ACH-000075,-0.4474315206569155
ACH-000078,-0.1862601755341468
ACH-000082,-0.31712041608220953
ACH-000085,-0.16344093605102933
ACH-000086,-0.4399437351568996
ACH-000087,-0.13137962337847978
ACH-000092,-0.17811660419249564
ACH-000095,-0.20610979899658394
ACH-000097,-0.169549177050014
ACH-000098,-0.19139376438380892
ACH-000099,-0.13625685266960352
ACH-000108,-0.2923519241312565
ACH-000113,-0.3035375519647172
ACH-000116,-0.3295478788872473
ACH-000118,-0.2454362044976243
ACH-000120,-0.1586348147498204
ACH-000123,-0.29968352675882803
ACH-000127,-0.1072378618589084
ACH-000128,-0.05519740920955416
ACH-000132,-0.43027376328261546
ACH-000133,-0.13186499369367655
ACH-000137,-0.247371327000642
ACH-000138,-0.28086742774004353
ACH-000142,-0.5318289165826046
ACH-000143,-0.3552166703889984
ACH-000146,-0.14958856438582604
ACH-000148,-0.20229310141144685
ACH-000150,-0.14525478370923733
ACH-000152,-0.04838693153246165
ACH-000153,-0.3787992383939304
ACH-000159,-0.17069062693796552
ACH-000160,-0.2931921988513837
ACH-000163,-0.1990828649657089
ACH-000167,-0.2421692401718322
ACH-000168,-0.12740510683133555
ACH-000169,-0.15188359239311786
ACH-000178,-0.2376857157735349
ACH-000183,-0.32395323223972505
ACH-000188,-0.3698415380917223
ACH-000189,-0.508585055406263
ACH-000190,-0.10666654045340357
ACH-000198,-0.2060556721944544
ACH-000203,0.0230096206468678
ACH-000204,-0.4668400718592546
ACH-000206,-0.25911106784509513
ACH-000207,-0.2730616737945625
ACH-000208,-0.2902476535299425
ACH-000210,-0.27864228191419765
ACH-000211,-0.2367459273997773
ACH-000215,-0.16613657683799185
ACH-000221,-0.40900515004898375
ACH-000222,-0.2149121277399126
ACH-000223,-0.3198028133639914
ACH-000226,-0.2753849847148586
ACH-000227,-0.13259615462528992
ACH-000228,-0.2834050193044483
ACH-000231,-0.09275451973727364
ACH-000232,-0.1559413833313219
ACH-000233,-0.2495634367946512
ACH-000234,-0.05349659224640873
ACH-000235,-0.07144783376759781
ACH-000237,-0.25146186105205465
ACH-000238,-0.3696703763731584
ACH-000242,-0.1890765669391699
ACH-000243,-0.28194265295789617
ACH-000244,-0.5794358605121769
ACH-000246,-0.20231620225876967
ACH-000248,-0.20918906136053905
ACH-000250,-0.2554394262238132
ACH-000251,-0.09927567737660263
ACH-000252,-0.2083804365579831
ACH-000253,-0.09372051348358036
ACH-000255,-0.12146245345514005
ACH-000256,-0.3348238283253867
ACH-000257,-0.28172490160964897
ACH-000258,-0.2298748089603098
ACH-000259,-0.2239018863449126
ACH-000260,-0.18851014769821356
ACH-000261,-0.21918414165232156
ACH-000262,-0.05660967803748983
ACH-000263,-0.2075119948093704
ACH-000264,-0.23846213699501456
ACH-000265,-0.09030228303535304
ACH-000266,-0.2266870577140684
ACH-000272,-0.2937150821208901
