,SDF2 (6388)
ACH-000004,-0.007253152687805404
ACH-000005,-0.01953311056259197
ACH-000007,0.041063010919511055
ACH-000009,-0.250554296301194
ACH-000011,-0.02103433408598728
ACH-000012,-0.092643816165849
ACH-000013,-0.14211006847469132
ACH-000014,-0.13864251545805018
ACH-000015,0.009529812983938363
ACH-000017,-0.19652165801790794
ACH-000018,0.06314111485635106
ACH-000019,-0.37752111917861264
ACH-000021,0.011619747937784546
ACH-000022,-0.0072957075958418735
ACH-000025,0.08099160848457176
ACH-000028,-0.007789323361479995
ACH-000030,-0.12874221416559828
ACH-000035,-0.20534201219432616
ACH-000036,-0.2581907370290201
ACH-000037,-0.06709231216601634
ACH-000039,-0.0009031196107942039
ACH-000040,-0.13698177233972966
ACH-000041,-0.15360923251645967
ACH-000042,0.0958406070561651
ACH-000045,0.04370015677310809
ACH-000047,-0.02605593070800557
ACH-000052,-0.1022389689325314
ACH-000053,-0.1569987219030003
ACH-000054,-0.17422894649445952
ACH-000055,-0.04087264442679395
ACH-000060,-0.12429395070628688
ACH-000067,-0.0804879072676751
ACH-000070,-0.04595475286152121
ACH-000075,-0.1911546437699957
ACH-000078,-0.07851431720669341
ACH-000082,-0.31930372147524794
ACH-000085,0.09317670029610693
ACH-000086,-0.12280478084903748
ACH-000087,-0.01968931542145929
ACH-000092,-0.030142207697102213
ACH-000095,-0.4254218202854496
ACH-000097,-0.11799212716919602
ACH-000098,-0.11540012413535415
ACH-000099,-0.008379486818384466
ACH-000108,-0.0708529777974263
ACH-000113,0.037113859288397055
ACH-000116,-0.04477935524169835
ACH-000118,-0.0947869263106296
ACH-000120,-0.10345143209725627
ACH-000123,-0.09400113284176632
ACH-000127,-0.05015605671999775
ACH-000128,-0.1059712487572848
ACH-000132,-0.08993438709909665
ACH-000133,-0.02533281153638295
ACH-000137,-0.056401327807388414
ACH-000138,-0.11377470420202325
ACH-000142,-0.11460398244459025
ACH-000143,-0.24861915782968985
ACH-000146,-0.09008588717971606
ACH-000148,-0.2424289629624947
ACH-000150,0.016738897761423854
ACH-000152,-0.2045121932558042
ACH-000153,-0.12691688682073707
ACH-000159,-0.17726941789524914
ACH-000160,-0.10568458218654546
ACH-000163,-0.29588942280812186
ACH-000167,-0.3620864586107465
ACH-000168,-0.12852250772720272
ACH-000169,-0.1535394414835506
ACH-000178,-0.1373027159493398
ACH-000183,-0.05917057958558587
ACH-000188,-0.07382616320772055
ACH-000189,0.031050525087763462
ACH-000190,-0.0305160097105508
ACH-000198,-0.017239133969309966
ACH-000203,-0.15985313709999446
ACH-000204,-0.1082202789440898
ACH-000206,-0.052312641106486056
ACH-000207,-0.016995037203559826
ACH-000208,0.03875117162555713
ACH-000210,0.09297050678313927
ACH-000211,-0.09406645458735888
ACH-000215,-0.10659459655424026
ACH-000221,-0.1834349762235001
ACH-000222,-0.14271369899747946
ACH-000223,-0.05745294978605848
ACH-000226,-0.014651943834934606
ACH-000227,-0.18945371057554647
ACH-000228,-0.07353838093482311
ACH-000231,-0.09865963836765423
ACH-000232,-0.04287369882496829
ACH-000233,-0.031439453195764924
ACH-000234,-0.19933183082268532
ACH-000235,-0.14540594258630754
ACH-000237,-0.04666950038355683
ACH-000238,-0.1644995157578377
ACH-000242,0.07208506963035377
ACH-000243,-0.21580494897761188
ACH-000244,-0.08664800274197085
ACH-000246,0.019348584750648615
ACH-000248,-0.13322852645126024
ACH-000250,-0.05187420952391976
ACH-000251,-0.5393407098290053
ACH-000252,-0.17549779137323074
ACH-000253,-0.08864986102981627
ACH-000255,-0.1511926859530388
ACH-000256,-0.07374031500248215
ACH-000257,-0.17039246491263407
ACH-000258,-0.05730441431445678
ACH-000259,-0.0728723580034518
ACH-000260,-0.06805872280374553
