,ACADSB (36)
ACH-000004,-0.2504376637805535
ACH-000005,-0.17682486523035912
ACH-000007,-0.1611698945529989
ACH-000009,-0.20393427724542584
ACH-000011,-0.18380138964553308
ACH-000012,-0.09357924473927412
ACH-000013,-0.08594563863836907
ACH-000014,-0.08060419336395606
ACH-000015,-0.0959390913584954
ACH-000017,-0.03957030480616862
ACH-000018,-0.18667779764298464
ACH-000019,-0.04658494868007647
ACH-000021,0.01322193028622125
ACH-000022,-0.18071519404868108
ACH-000025,-0.1306732991932069
ACH-000028,-0.15059045020904016
ACH-000030,-0.1922755695680603
ACH-000035,-0.0726380383749938
ACH-000036,-0.01960426905274611
ACH-000037,-0.188820524668654
ACH-000039,-0.0739434593975491
ACH-000040,-0.23406488255477145
ACH-000041,-0.09401243521007553
ACH-000042,-0.12307434104112845
ACH-000045,-0.02577013927572026
ACH-000047,-0.02012591411634144
ACH-000052,-0.010060136536693284
ACH-000053,-0.17866146679666228
ACH-000054,-0.1388801624971276
ACH-000055,0.0016753021700811432
ACH-000060,-0.15751932102580066
ACH-000067,-0.2532962296119399
ACH-000070,-0.17911171681061108
ACH-000075,0.09202034099365076
ACH-000078,-0.17782346968461432
ACH-000082,-0.11640472975139975
ACH-000085,-0.14330597977482012
ACH-000086,-0.1510272423736673
ACH-000087,-0.1449733912614455
ACH-000092,-0.15719477147797198
ACH-000095,-0.1620801477368688
ACH-000097,-0.13673240141585813
ACH-000098,-0.11170184249079976
ACH-000099,-0.23634711848663345
ACH-000108,-0.12391304360777257
ACH-000113,-0.16844159166300487
ACH-000116,-0.0950680906500753
ACH-000118,-0.04825902615019675
ACH-000120,-0.029423978705887307
ACH-000123,-0.18122899051383104
ACH-000127,-0.2182421109802133
ACH-000128,-0.20203749362516624
ACH-000132,-0.16544196054763494
ACH-000133,-0.1840784751500552
ACH-000137,-0.07743708188234591
ACH-000138,-0.11306635111758187
ACH-000142,-0.01683702101302101
ACH-000143,-0.37997212394557744
ACH-000146,-0.10861323856544762
ACH-000148,-0.3176539105527835
ACH-000150,-0.04252693546071356
ACH-000152,-0.04532401911775924
ACH-000153,-0.004706107930547928
ACH-000159,-0.05155990309621256
ACH-000160,-0.09917955649183174
ACH-000163,-0.06786930931525778
