,LIAS (11019)
ACH-000004,-0.6797567394760281
ACH-000005,-0.5687972542502316
ACH-000007,-0.32365110434931144
ACH-000009,-0.23660050226426324
ACH-000011,-0.5984475591835446
ACH-000012,-0.04907007849725257
ACH-000013,-0.07095937146251811
ACH-000014,-0.2950684167335318
ACH-000015,-0.07511230285383426
ACH-000017,-0.37218987715540297
ACH-000018,-0.15375138695552024
ACH-000019,-1.0192581180790143
ACH-000021,-0.1878319234409163
ACH-000022,-0.0877993919143959
ACH-000025,-0.3227952157609258
ACH-000028,-0.6175396879426881
ACH-000030,-0.4705542668979857
ACH-000035,-0.003026587886495471
ACH-000036,-0.09857777709359992
ACH-000037,-0.276591872889114
ACH-000039,-0.4610005808553066
ACH-000040,-0.3771334057806812
ACH-000041,-0.4222999778639208
ACH-000042,-0.1519529497250824
ACH-000045,-0.4502043778654661
ACH-000047,-0.7401238282166487
ACH-000052,0.17931888409705107
ACH-000053,-0.5832974769032628
ACH-000054,-0.7569447875353517
ACH-000055,-0.5448493273745739
ACH-000060,-0.09449353878141943
ACH-000067,-0.09528548664092718
ACH-000070,-0.4616769553761617
ACH-000075,0.03815515113140567
ACH-000078,-0.5708090593966937
ACH-000082,-0.22962870002502045
ACH-000085,0.012349593781462994
ACH-000086,-0.14901839588427068
ACH-000087,-0.15751099383218864
ACH-000092,-0.2969110338816492
ACH-000095,-0.13913184020064728
ACH-000097,-0.40541284573363373
ACH-000098,-0.10964041089502716
ACH-000099,-0.2566322623977382
ACH-000108,-0.1341595025001454
ACH-000113,-0.42502715556607373
ACH-000116,0.001608307834296551
ACH-000118,-0.6004588160814951
ACH-000120,-0.13955831647772676
ACH-000123,-0.2892453372729018
ACH-000127,-0.3874294230445641
ACH-000128,-0.20844224983892784
ACH-000132,-0.2081710638717401
ACH-000133,-0.3240485958296938
ACH-000137,-0.17677176111024262
ACH-000138,-0.5243195242132672
ACH-000142,-0.3989919277983899
ACH-000143,-0.09922332557564764
ACH-000146,-0.5308379838979729
ACH-000148,-0.4690830621710945
ACH-000150,-0.16372058769404468
ACH-000152,-0.05146211429696579
ACH-000153,-0.3287000691095907
ACH-000159,-0.29178147452518965
ACH-000160,-0.28854069681989003
ACH-000163,-0.2500478752399504
ACH-000167,-0.32297597450835863
ACH-000168,-0.05363503153406996
ACH-000169,-0.12933944810248704
ACH-000178,-0.30371244916861395
ACH-000183,-0.13035572622040587
ACH-000188,-0.2509087046075657
ACH-000189,-0.5366739249357749
ACH-000190,-0.4236703702314046
ACH-000198,-0.38597777417517504
ACH-000203,-0.2654872377201543
ACH-000204,-0.25986571419414395
ACH-000206,-0.3865998330421819
ACH-000207,-0.2356636779075177
ACH-000208,-0.3254838847056013
ACH-000210,-0.5134773748794966
ACH-000211,-0.03100393083703673
ACH-000215,-0.3685339470817556
ACH-000221,-0.08395214835745282
ACH-000222,-0.4178193363271436
ACH-000223,-0.2466245184090893
ACH-000226,-0.4381689432538075
ACH-000227,-0.44698892986365024
ACH-000228,-0.2594910927774453
ACH-000231,-0.2512974718456392
ACH-000232,0.09858768298114784
ACH-000233,-0.24328925216260214
ACH-000234,-0.06358520459625054
ACH-000235,-0.5355880671002353
ACH-000237,-0.4563478463601244
ACH-000238,-0.13876693542863042
ACH-000242,-0.17533527834387172
ACH-000243,-0.2136884188658716
ACH-000244,-0.26125756029449304
ACH-000246,-0.3713758420380915
ACH-000248,-0.16554919787266467
ACH-000250,-0.20510822775216647
ACH-000251,-0.2997896779319152
ACH-000252,-0.397515817666141
ACH-000253,-0.4625533566203625
ACH-000255,-0.15167957948076735
ACH-000256,-0.13983293496611393
ACH-000257,-0.22732809637740176
ACH-000258,-0.19174406821993592
ACH-000259,-0.035779309444665466
ACH-000260,-0.09479788913224617
ACH-000261,-0.5475445261972637
ACH-000262,-0.2048056626548449
ACH-000263,-0.5439988738681242
ACH-000264,-0.6548303364291163
ACH-000265,-0.19868654881570488
ACH-000266,-0.19582127656650136
ACH-000272,-0.3191820301933125
