,CDKN2A (1029)
ACH-000004,-0.21507580264754936
ACH-000005,-0.1775995481766051
ACH-000007,0.047210114396380336
ACH-000009,-0.10966885043434013
ACH-000011,-0.2690582223490925
ACH-000012,-0.012353279539963936
ACH-000013,-0.02232039735574692
ACH-000014,-0.0263747628316654
ACH-000015,-0.08083659331139763
ACH-000017,0.050040619492299515
ACH-000018,0.030319544419260724
ACH-000019,-0.14831074475619202
ACH-000021,0.03767048247627503
ACH-000022,-0.08993193681123986
ACH-000025,-0.23873693638746374
ACH-000028,-0.2435574218945344
ACH-000030,-0.027609663134894942
ACH-000035,-0.2675696024521259
ACH-000036,-0.18326701330486372
ACH-000037,-0.019562426468139563
ACH-000039,-0.10191890969588248
ACH-000040,-0.16749259925369467
ACH-000041,-0.055298657370659934
ACH-000042,0.0110941880732202
ACH-000045,0.4165300294493202
ACH-000047,0.053842138556504576
ACH-000052,-0.03616045798456693
ACH-000053,-0.15822335355811612
ACH-000054,-0.1690815711971052
ACH-000055,-0.2714024071144233
ACH-000060,-0.06066152394164881
ACH-000067,-0.2434263229683905
ACH-000070,0.1738531031515809
ACH-000075,-0.306363885003492
ACH-000078,-0.22445066903821867
ACH-000082,-0.14174492711156575
ACH-000085,-0.06408273336736896
ACH-000086,-0.2010749672990546
ACH-000087,-0.34554469839506063
ACH-000092,-0.1516598466887272
ACH-000095,-0.2662927526499376
ACH-000097,0.051289738688487484
ACH-000098,-0.15491936065525924
ACH-000099,-0.06917675513659183
ACH-000108,0.0013845947671780226
ACH-000113,0.3399383603794382
ACH-000116,-0.13462309568604744
ACH-000118,-0.025916368835076246
ACH-000120,-0.008103713457288119
ACH-000123,0.2138417302644036
ACH-000127,-0.04899409377487122
ACH-000128,0.036886779570842486
ACH-000132,-0.22101108450416052
ACH-000133,0.1608276831627699
ACH-000137,-0.007676209243262659
ACH-000138,0.03485417618888721
ACH-000142,-0.1002167264894307
ACH-000143,-0.19009482031825586
ACH-000146,-0.14655733067576415
ACH-000148,-0.1457936442957813
ACH-000150,-0.08185420259086089
ACH-000152,0.2617460598971486
ACH-000153,-0.19127973342197652
ACH-000159,-0.09548893388993752
ACH-000160,0.0391345417713804
ACH-000163,-0.1357727237248088
ACH-000167,0.39984235151707975
ACH-000168,-0.17988800678517358
ACH-000169,-0.131339250743929
ACH-000178,0.1215980694981746
ACH-000183,-0.06068409182342813
ACH-000188,-0.040310625496075635
ACH-000189,-0.06616808647104859
ACH-000190,-0.006942421691228377
ACH-000198,-0.2640397479424109
ACH-000203,-0.09564827978733298
ACH-000204,-0.2226503937566971
ACH-000206,-0.12187724037696215
ACH-000207,-0.11563128062947375
ACH-000208,-0.010735401807667992
ACH-000210,0.07379859912763741
ACH-000211,-0.14747707104197005
ACH-000215,-0.01115473276755957
ACH-000221,-0.09719543579675703
ACH-000222,0.2262939336627036
ACH-000223,-0.05340674860610238
ACH-000226,0.08723104098201796
ACH-000227,-0.15049854900935092
ACH-000228,-0.04373200562952373
ACH-000231,0.08151033070968586
ACH-000232,-0.07402156627820207
ACH-000233,-0.13612355081569505
ACH-000234,-0.022419173763666502
ACH-000235,0.022901378071046884
ACH-000237,-0.10040587939129808
ACH-000238,-0.1687112167005298
ACH-000242,-0.11458556036707945
ACH-000243,-0.020109897197445176
ACH-000244,-0.05435386297865979
ACH-000246,-0.1814949450359923
ACH-000248,0.09603997930565272
ACH-000250,-0.2175350465559424
ACH-000251,0.1815474302761408
ACH-000252,0.3054837865480116
ACH-000253,0.0716680966578277
ACH-000255,-0.17863464445101787
ACH-000256,0.029875568729313212
ACH-000257,0.07641152946074922
ACH-000258,0.1872343536839157
ACH-000259,0.03805574176894335
ACH-000260,-0.1858733059557061
ACH-000261,-0.11409571494128758
ACH-000262,-0.0684768184293728
ACH-000263,-0.19944455146260254
ACH-000264,-0.10296471445106216
ACH-000265,-0.11362660529809113
ACH-000266,0.0588832032754771
ACH-000272,-0.10544466636459816
ACH-000274,0.5053816526615993
ACH-000277,-0.17954448267533596
ACH-000278,0.07764391880694843
ACH-000279,-0.23246421201611575
ACH-000280,-0.29788038233125097
ACH-000281,-0.14036537546035452
ACH-000288,0.4430700377005096
ACH-000291,-0.1537859619422185
ACH-000293,-0.03954501086950238
ACH-000294,-0.16819737212605124
ACH-000295,0.040926379058591734
ACH-000296,-0.08957088305422635
ACH-000302,0.06618474541068066
ACH-000304,-0.037470656319455176
ACH-000307,-0.07192654514032508
ACH-000308,-0.01639120239189915
ACH-000310,-0.18404906374318972
ACH-000311,0.13577499915972294
ACH-000312,-0.05460787322338631
ACH-000315,0.09314939221231164
ACH-000316,0.02242446059683621
ACH-000317,-0.02032574737025566
ACH-000318,-0.14986317792746462
ACH-000319,0.01596196824073494
ACH-000320,0.019941449274511643
ACH-000322,-0.2451490890852601
ACH-000323,-0.07877503585156112
ACH-000324,-0.25280550128097506
ACH-000329,-0.01149850866888478
ACH-000330,-0.2916106601504785
ACH-000331,-0.08756317044633694
ACH-000332,-0.08138104030242009
ACH-000334,-0.11824715112327877
ACH-000335,-0.5610803778426212
ACH-000336,-0.15058387755902336
ACH-000337,-0.19576483677812706
ACH-000338,0.34971312923077896
ACH-000339,-0.03919245815083202
ACH-000341,-0.17089865685484604
ACH-000348,0.06019859085509435
ACH-000350,-0.16529296143926664
ACH-000352,-0.057063599319218075
ACH-000356,-0.3084572975934968
ACH-000361,-0.22743315704102124
ACH-000362,-0.19542538535680012
ACH-000363,0.03304471929678645
ACH-000364,-0.1598190901778734
ACH-000365,0.022150658776589813
ACH-000366,-0.1421734847097273
ACH-000368,-0.13381176158607547
ACH-000374,-0.025604216861329583
ACH-000375,0.021145577370923468
ACH-000376,-0.17256462055438965
ACH-000381,-0.11463945968925575
ACH-000383,-0.03828251648490237
ACH-000387,-0.16867292009164764
ACH-000389,-0.3716914620965774
ACH-000390,-0.1739358160502635
ACH-000393,0.03795993300326223
ACH-000395,-0.08522227603611625
ACH-000396,-0.6981831663796649
ACH-000397,-0.13717047579769906
ACH-000401,-0.13474253107856626
ACH-000402,-0.23326589510231285
ACH-000403,-0.09494189632013014
ACH-000404,0.2411060815060605
ACH-000406,-0.1345394251682698
ACH-000407,-0.15758835971862667
ACH-000408,-0.1490842109469348
ACH-000410,0.009808386786162677
