,VDR (7421)
ACH-000004,-0.27599145891634685
ACH-000005,-0.02299283750040054
ACH-000007,0.1233240981846054
ACH-000009,-0.0784591203150246
ACH-000011,0.032587668090428505
ACH-000012,-0.09043066050158216
ACH-000013,-0.1996228101818092
ACH-000014,-0.16553937889909853
ACH-000015,-0.03319299357383968
ACH-000017,-0.09527762071937494
ACH-000018,-0.1344615046408317
ACH-000019,-0.15870753813955293
ACH-000021,-0.030895223344783517
ACH-000022,-0.09600909013804852
ACH-000025,-0.2275312538948704
ACH-000028,-0.18185953756951168
ACH-000030,-0.01850335341028429
ACH-000035,-0.1282080929766224
ACH-000036,0.12956455608950493
ACH-000037,-0.18709057210064
ACH-000039,-0.01256990727792092
ACH-000040,-0.0757850075719298
ACH-000041,-0.2624401489923865
ACH-000042,0.052841153553186034
ACH-000045,-0.22018142643099767
ACH-000047,-0.06797210557801157
ACH-000052,-0.23251234299385934
ACH-000053,-0.02342929449629515
ACH-000054,-0.016445650014020246
ACH-000055,-0.017313414000271008
ACH-000060,0.12615610654694434
ACH-000067,-0.02742564258084034
ACH-000070,-0.1196019878535942
ACH-000075,-0.02515722033312709
ACH-000078,-0.02816066816894205
ACH-000082,-0.013902835787114804
ACH-000085,-0.1645149698592572
ACH-000086,-0.25836255293054844
ACH-000087,-0.15247528828996004
ACH-000092,-0.17662307481913378
ACH-000095,-0.000607877692719023
ACH-000097,-0.03636986265868252
ACH-000098,0.04667013322019856
ACH-000099,0.0644029033626853
ACH-000108,-0.023845035446178574
ACH-000113,-0.03613308966229747
ACH-000116,-0.015471416645121475
ACH-000118,-0.0893803219154318
ACH-000120,-0.10421823662043887
ACH-000123,-0.03662905351472597
ACH-000127,-0.032558624050565366
ACH-000128,-0.05423843021171424
ACH-000132,0.14214954651840686
ACH-000133,-0.06559179080694214
ACH-000137,-0.06376202385606741
ACH-000138,-0.03344860311402178
ACH-000142,-0.3110498018479536
ACH-000143,0.09188800134698764
ACH-000146,0.0068796017582772795
ACH-000148,-0.09481486221548874
ACH-000150,-0.1583915262479476
ACH-000152,-0.16560523823924592
ACH-000153,-0.2525637133311646
ACH-000159,-0.04774617152084575
ACH-000160,-0.06110783490550621
ACH-000163,-0.18517205305885734
ACH-000167,-0.06267147113402517
ACH-000168,0.017053354804902544
ACH-000169,0.019987518046449132
ACH-000178,-0.013701686163863141
ACH-000183,-0.1683934443607134
ACH-000188,-0.036426595884727436
ACH-000189,-0.28492419310355355
ACH-000190,0.1293741781614693
ACH-000198,-0.031633161677946886
ACH-000203,-0.4093497471518117
ACH-000204,-0.20623442257993985
ACH-000206,0.035698978184863187
ACH-000207,-0.1854869810070142
ACH-000208,-0.0576258267014203
ACH-000210,0.11459793623616715
ACH-000211,0.007120480572316283
ACH-000215,-0.10176755129774237
ACH-000221,0.09891602469578772
ACH-000222,-0.14713035917316908
ACH-000223,-0.036040046773209315
ACH-000226,0.005721412933022173
ACH-000227,-0.011192967744049565
ACH-000228,-0.021696674461502988
ACH-000231,-0.05422041514852237
ACH-000232,-0.022405685524711044
ACH-000233,0.015709047156609996
ACH-000234,0.0866123903090107
ACH-000235,-0.13093704502221926
ACH-000237,-0.08926010956277236
ACH-000238,-0.08853184797219238
ACH-000242,-0.25825624643376444
ACH-000243,-0.06805104628319908
ACH-000244,0.019467941716414285
ACH-000246,-0.0619158793915646
ACH-000248,-0.18299751861112976
ACH-000250,-0.04548330432804698
ACH-000251,-0.012316093659033259
ACH-000252,-0.024310703075934186
ACH-000253,-0.031726934523427085
ACH-000255,-0.05344373576736445
ACH-000256,0.0058565138304497565
ACH-000257,-0.08940685355493448
ACH-000258,0.11432535063375647
ACH-000259,-0.048722057741233116
ACH-000260,-0.07484140635291618
ACH-000261,-0.11124531855206143
ACH-000262,0.1244128551705377
ACH-000263,0.11086238856658104
ACH-000264,-0.13835265127474394
ACH-000265,-0.033990364593023716
ACH-000266,-0.023605855225727317
ACH-000272,0.08081610706914474
ACH-000274,-0.0880125027838826
ACH-000277,-0.2418348443727935
ACH-000278,-0.2649821896165947
ACH-000279,-0.08499913206285369
ACH-000280,0.02133324819599176
ACH-000281,-0.08577555751338921
ACH-000288,-0.046661873453651734
ACH-000291,-0.03581057994863402
ACH-000293,0.05707766285222311
ACH-000294,0.023421387764309614
ACH-000295,-0.18511297724124465
ACH-000296,-0.25287157391846943
ACH-000302,-0.10260848724343108
ACH-000304,-0.15629394153835094
ACH-000307,0.025997625609827782
ACH-000308,-0.08263689490649855
ACH-000310,-0.0718531126866028
