,ISCU (23479)
ACH-000004,-1.2313661179560909
ACH-000005,-1.1819998795025577
ACH-000007,-1.0726850131947483
ACH-000009,-1.1429818313639244
ACH-000011,-0.8008439219857014
ACH-000012,-1.1838508255996485
ACH-000013,-1.1317046227711138
ACH-000014,-1.1324644262994317
ACH-000015,-0.9986727354076672
ACH-000017,-1.2329091965354972
ACH-000018,-1.2169988988323692
ACH-000019,-0.9982585244436027
ACH-000021,-1.0295341695742264
ACH-000022,-0.9697476835916836
ACH-000025,-1.292913266966386
ACH-000028,-1.0317569917444904
ACH-000030,-1.1294437726600923
ACH-000035,-1.1314835078522254
ACH-000036,-1.2443520036343272
ACH-000037,-1.0759722748821066
ACH-000039,-1.2698847299719718
ACH-000040,-1.112393730123442
ACH-000041,-0.8856210074034552
ACH-000042,-0.9861684109092675
ACH-000045,-1.1460743277151466
ACH-000047,-1.024502694075996
ACH-000052,-1.0628262704472569
ACH-000053,-1.220156586462329
ACH-000054,-1.2452623948951536
ACH-000055,-1.1822945368603428
ACH-000060,-1.0714863589899792
ACH-000067,-1.347340973806911
ACH-000070,-1.2617521453494016
ACH-000075,-1.0035207359739071
ACH-000078,-1.3699952768104802
ACH-000082,-1.2231557694094304
ACH-000085,-1.1775832621892441
ACH-000086,-1.2962137214275384
ACH-000087,-1.2181499880594182
ACH-000092,-1.1456169144855342
ACH-000095,-1.1586509116363852
ACH-000097,-0.8598269659320706
ACH-000098,-1.3261769917182198
ACH-000099,-1.204695069000267
ACH-000108,-0.9786991595522124
ACH-000113,-1.161069809704204
ACH-000116,-1.0495466946402887
ACH-000118,-0.9036206273633683
ACH-000120,-1.1235108678431416
ACH-000123,-1.1004837801380811
ACH-000127,-1.1382969863169698
ACH-000128,-1.1976362189397054
ACH-000132,-1.1528262356739516
ACH-000133,-1.2181113840207594
ACH-000137,-1.1513831744257446
ACH-000138,-0.9748335308651596
ACH-000142,-1.0605181395477563
ACH-000143,-1.199624400812901
ACH-000146,-0.9326805239565168
ACH-000148,-1.2339001109977197
ACH-000150,-1.2311407079708672
ACH-000152,-1.087162536006293
ACH-000153,-1.2293392731831494
ACH-000159,-1.0954107819079897
ACH-000160,-1.1408828129994606
ACH-000163,-1.0141072388764965
ACH-000167,-1.0793409847663258
ACH-000168,-1.1104424078210176
ACH-000169,-1.0960728583476078
ACH-000178,-1.1079883518415663
ACH-000183,-1.219457582059292
