,GABRR2 (2570)
ACH-000004,-0.2945411581891715
ACH-000005,0.1617201852018427
ACH-000007,-0.07929477340673763
ACH-000009,-0.07671970619316837
ACH-000011,-0.12593468722759685
ACH-000012,-0.14961549429680784
ACH-000013,-0.09795270352757662
ACH-000014,-0.1346433794397672
ACH-000015,0.019400777603626896
ACH-000017,-0.049793215434078116
ACH-000018,-0.1131145874612924
ACH-000019,-0.09978116159012776
ACH-000021,-0.20495483032287784
ACH-000022,-0.12397719896154726
ACH-000025,-0.1325367878212241
ACH-000028,-0.07320971042941438
ACH-000030,-0.012958855653073456
ACH-000035,-0.06965096585393382
ACH-000036,-0.00011437775620672456
ACH-000037,0.03515554354524348
ACH-000039,-0.255916979795651
ACH-000040,-0.25465080047155736
ACH-000041,-0.09800929539337563
ACH-000042,-0.07673587148181467
ACH-000045,-0.06261328320321345
ACH-000047,-0.016818638591119598
ACH-000052,0.04104419422942583
ACH-000053,-0.18395013276940386
ACH-000054,-0.15248241845022192
ACH-000055,-0.18260291688745647
ACH-000060,-0.2060598297805114
ACH-000067,-0.0979517443348696
ACH-000070,-0.04011198699217223
ACH-000075,-0.25522703967085764
ACH-000078,0.03876588395221714
ACH-000082,-0.05956402382923993
ACH-000085,0.14122898479850354
ACH-000086,-0.032270252132554064
ACH-000087,-0.08015244867306888
ACH-000092,0.02642221596789369
ACH-000095,-0.1506196538738922
ACH-000097,-0.06048960811859413
ACH-000098,-0.20583270722851754
ACH-000099,-0.16879550770596624
ACH-000108,-0.040143291419327994
ACH-000113,-0.1386345471583021
ACH-000116,-0.11876925212460902
ACH-000118,-0.03198552705245463
ACH-000120,-0.11363016741421456
ACH-000123,-0.16012321205048582
ACH-000127,-0.10826944034555533
ACH-000128,-0.15018199978872238
ACH-000132,-0.15648890963704254
ACH-000133,-0.11510285178435754
ACH-000137,-0.3700443545553058
ACH-000138,-0.1302338026821425
ACH-000142,-0.007385745739800957
ACH-000143,-0.16469328278332354
ACH-000146,-0.2446243401408249
ACH-000148,-0.11235196430111556
ACH-000150,-0.1361934690281525
ACH-000152,-0.1269976568752294
ACH-000153,-0.109537308124295
ACH-000159,-0.06858745550760383
ACH-000160,-0.1711240560630437
ACH-000163,-0.09022569499940868
ACH-000167,-0.4613524274865546
ACH-000168,0.18765875629406947
ACH-000169,-0.17568568509186636
ACH-000178,-0.1740254821377079
ACH-000183,-0.07423589649042245
ACH-000188,-0.007272221270078261
ACH-000189,-0.2819176587040456
ACH-000190,-0.12474111117015192
ACH-000198,-0.18506199480547936
ACH-000203,-0.07048478062963523
ACH-000204,0.15905180856882575
ACH-000206,-0.09997297928825802
ACH-000207,-0.12282757186828094
ACH-000208,-0.2735157476423839
ACH-000210,-0.21995429341657904
ACH-000211,-0.1422868218753074
ACH-000215,-0.06358975678122733
ACH-000221,-0.1469523336640673
ACH-000222,-0.00017791316168510834
ACH-000223,-0.08072041042143902
ACH-000226,-0.21105112528033546
ACH-000227,-0.17335575590742291
ACH-000228,-0.024564283489439592
ACH-000231,-0.20192063049218775
ACH-000232,-0.05841310764604536
ACH-000233,-0.02274328470450529
ACH-000234,0.009206277001982994
ACH-000235,-0.06909101485172081
