,SPIDR (23514)
ACH-000004,-0.048221488265286286
ACH-000005,0.15070217454774362
ACH-000007,0.031642698104517065
ACH-000009,0.0026645038394077763
ACH-000011,0.025779601641117245
ACH-000012,0.05240913681354133
ACH-000013,-0.004291639246439286
ACH-000014,0.009178350897049044
ACH-000015,-0.0508719954363692
ACH-000017,-0.13583601896302336
ACH-000018,-0.016255858083615342
ACH-000019,-0.07289232867974653
ACH-000021,-0.01692212458009054
ACH-000022,-0.14366894438012948
ACH-000025,-0.09285532384872174
ACH-000028,-0.12505137551452275
ACH-000030,-0.15096210632986093
ACH-000035,-0.03186053257794158
ACH-000036,-0.1785801119360593
ACH-000037,-0.055114561049650526
ACH-000039,-0.12364500439297875
ACH-000040,-0.021661615840271715
ACH-000041,-0.07084555038566269
ACH-000042,-0.08389962052231413
ACH-000045,-0.07077304055841281
ACH-000047,0.02886326162799416
ACH-000052,0.07179478466753256
ACH-000053,-0.0999313087482522
ACH-000054,-0.046247390510293085
ACH-000055,-0.12022039232445818
ACH-000060,0.016495425709245684
ACH-000067,-0.2497667144256103
ACH-000070,-0.0865549506997829
ACH-000075,-0.2094422987022547
ACH-000078,-0.05080978403684132
ACH-000082,-0.021008579577360846
ACH-000085,-0.16890534178389194
ACH-000086,-0.010457657559489363
ACH-000087,0.2751293796505642
ACH-000092,-0.0620476826118317
ACH-000095,-0.013529090715859648
ACH-000097,-0.06930352618941896
ACH-000098,-0.07474469721543464
ACH-000099,-0.07555157726576776
ACH-000108,0.002827352213280755
ACH-000113,-0.09534524667697332
ACH-000116,-0.08241088775819141
ACH-000118,-0.02482914372514884
ACH-000120,-0.0956131575353604
ACH-000123,-0.21694844483010875
ACH-000127,-0.10081509880211674
ACH-000128,-0.039093187123266836
ACH-000132,-0.08376325895739425
ACH-000133,-0.11273449066477373
ACH-000137,0.014846469025884929
ACH-000138,0.07213423307724909
ACH-000142,0.02602317540390029
ACH-000143,0.05588313180585844
ACH-000146,-0.0648851725497153
ACH-000148,-0.13542310994601273
ACH-000150,-0.19139437110175994
ACH-000152,-0.12421877152378658
ACH-000153,-0.3554453866115319
ACH-000159,-0.11619824734435555
ACH-000160,-0.03523825856058114
ACH-000163,-0.060011064647356414
ACH-000167,-0.06792534563308457
ACH-000168,0.005175926486384834
ACH-000169,-0.1428432383673273
ACH-000178,-0.12938412459170096
ACH-000183,-0.1511214521008768
ACH-000188,-0.06932366547484098
