,CMKLR1 (1240)
ACH-000004,-0.10034818035803528
ACH-000005,-0.05675345045301304
ACH-000007,-0.12864948303098905
ACH-000009,-0.2133077521424035
ACH-000011,-0.1810428431057141
ACH-000012,-0.03825895592726412
ACH-000013,-0.20127856736342575
ACH-000014,-0.15723250000150998
ACH-000015,-0.09177071904301397
ACH-000017,-0.1954963007602508
ACH-000018,0.14357642777312846
ACH-000019,-0.003504631064001136
ACH-000021,-0.19871253633738745
ACH-000022,-0.21128691324114748
ACH-000025,-0.06518438028881246
ACH-000028,-0.08372148182506109
ACH-000030,-0.1249538047877746
ACH-000035,-0.04878892710088007
ACH-000036,-0.0943904799595315
ACH-000037,-0.3225276082669975
ACH-000039,0.12275149109307586
ACH-000040,-0.320649064213804
ACH-000041,-0.006801270441503622
ACH-000042,-0.1425088560482582
ACH-000045,0.09147358767052234
ACH-000047,-0.08576379551881158
ACH-000052,-0.09294134835339693
ACH-000053,-0.0928039003381952
ACH-000054,0.0329802145049525
ACH-000055,-0.08615849099835149
ACH-000060,-0.12674238570951352
ACH-000067,-0.2354486287455313
ACH-000070,-0.3182434133134495
ACH-000075,-0.12377162555698365
ACH-000078,-0.13218347003275047
ACH-000082,-0.14026618922812534
ACH-000085,-0.4532851312239891
ACH-000086,-0.1292393164838571
ACH-000087,-0.2037274892723328
ACH-000092,-0.03340861979548848
ACH-000095,-0.10735640686581684
ACH-000097,-0.09389973502951246
ACH-000098,-0.06274696384865963
ACH-000099,-0.10087739015018043
ACH-000108,-0.08025783373515204
ACH-000113,-0.13825707524653436
ACH-000116,-0.05660103676415
ACH-000118,-0.023900891168711826
ACH-000120,-0.14023118382948185
ACH-000123,-0.31422809268526664
ACH-000127,-0.2211685792577656
ACH-000128,-0.3965629883024166
ACH-000132,-0.04077422833415991
ACH-000133,-0.11364008129736945
ACH-000137,-0.11667331253767707
ACH-000138,-0.13827447907453685
ACH-000142,-0.19443569698918475
ACH-000143,-0.3378487242856695
ACH-000146,-0.1573694441130896
ACH-000148,-0.20231154685739602
ACH-000150,-0.2314107544157356
ACH-000152,-0.1026619735299265
ACH-000153,-0.2914818811761887
ACH-000159,-0.06975662069215982
ACH-000160,-0.07748160495788663
ACH-000163,-0.2035698194816604
