,GABPB2 (126626)
ACH-000004,-0.20815185964595587
ACH-000005,-0.2713931179928979
ACH-000007,-0.09118403196957756
ACH-000009,-0.4061100149391234
ACH-000011,-0.3611267765040305
ACH-000012,-0.3680498665652057
ACH-000013,-0.3677409717401141
ACH-000014,-0.1816181765388329
ACH-000015,-0.2817755682049334
ACH-000017,-0.2359673818621448
ACH-000018,-0.23050220186705964
ACH-000019,-0.1169353028067206
ACH-000021,-0.3783698993481491
ACH-000022,-0.19163261491651573
ACH-000025,-0.3065656836059709
ACH-000028,-0.4623775904983376
ACH-000030,-0.2968185662977742
ACH-000035,-0.35074468980404794
ACH-000036,-0.3684356672374393
ACH-000037,-0.29132395536798544
ACH-000039,-0.2626675599217281
ACH-000040,-0.37089360185055337
ACH-000041,-0.25436482623705403
ACH-000042,-0.18047928232744967
ACH-000045,-0.15486134173560745
ACH-000047,-0.3412276905671311
ACH-000052,-0.3555028257355232
ACH-000053,-0.4975295598401417
ACH-000054,-0.2888175927976253
ACH-000055,-0.2769718798525955
ACH-000060,-0.096554594579974
ACH-000067,-0.2357180791254082
ACH-000070,-0.1784444431265894
ACH-000075,-0.6402756340637921
ACH-000078,-0.4365334161584129
ACH-000082,-0.34588404117637506
ACH-000085,-0.25590329257132444
ACH-000086,-0.4454146278866088
ACH-000087,-0.30779646796978793
ACH-000092,-0.305373552542388
ACH-000095,-0.3038681731894379
ACH-000097,-0.3441944364544089
ACH-000098,-0.2799093508321884
ACH-000099,-0.2924365830011313
ACH-000108,-0.1984416033301341
ACH-000113,-0.3540386209029737
ACH-000116,-0.4134763782573603
ACH-000118,-0.23869991995581716
ACH-000120,-0.28103059494207816
ACH-000123,-0.32097716361358164
ACH-000127,-0.2062156283652184
ACH-000128,-0.3637947168615563
ACH-000132,-0.29503340852789045
ACH-000133,-0.468346470782941
ACH-000137,-0.3024500613468561
ACH-000138,-0.229533137106409
ACH-000142,-0.4349501450064708
ACH-000143,-0.4630003689050116
ACH-000146,-0.29558227795012515
ACH-000148,-0.2878010807193893
ACH-000150,-0.2650575759604453
ACH-000152,-0.2291171579192106
ACH-000153,-0.3544460569293363
ACH-000159,-0.3942317973650888
ACH-000160,-0.35508637525315345
ACH-000163,-0.2243978699520289
ACH-000167,-0.12348556279060335
ACH-000168,-0.42816355846440746
ACH-000169,-0.4067453616083849
ACH-000178,-0.17273513133970125
ACH-000183,-0.368942075914628
ACH-000188,-0.4813532427319594
ACH-000189,-0.2915831959976167
ACH-000190,-0.06403161265230548
ACH-000198,-0.30330676166186665
ACH-000203,0.050488683364689264
ACH-000204,-0.5766509376085797
ACH-000206,-0.29675152874163874
ACH-000207,-0.22410030729256847
ACH-000208,-0.2500518872340965
ACH-000210,-0.34860569123375684
ACH-000211,-0.37439290930805497
ACH-000215,-0.4577511739182249
ACH-000221,-0.13334628820938071
ACH-000222,-0.18274830662489566
ACH-000223,-0.31524485886316433
ACH-000226,-0.4006085937373897
ACH-000227,-0.24012817430898906
ACH-000228,-0.34722081740775623
ACH-000231,-0.3235894202494472
ACH-000232,-0.35667843276199485
