,ALDH1L1 (10840)
ACH-000004,0.023451730182838637
ACH-000005,-0.061009090197044966
ACH-000007,-0.09545540107460364
ACH-000009,-0.11443334752322712
ACH-000011,-0.023335827607808717
ACH-000012,-0.00262464374962067
ACH-000013,-0.12855491064570865
ACH-000014,-0.3971324806141476
ACH-000015,-0.15735200470329574
ACH-000017,0.005770984614681423
ACH-000018,-0.029863052989393887
ACH-000019,-0.13169495037555504
ACH-000021,-0.14806327014366155
ACH-000022,-0.17564212907120716
ACH-000025,-0.14502439295088496
ACH-000028,-0.4187061997544546
ACH-000030,-0.04002778308904315
ACH-000035,-0.2545034251216443
ACH-000036,0.11711486689120255
ACH-000037,0.09028478406634227
ACH-000039,-0.1979804430133407
ACH-000040,0.008826320661550648
ACH-000041,-0.014581062094540896
ACH-000042,-0.06077997397180855
ACH-000045,-0.1535308819504286
ACH-000047,-0.13118638385121725
ACH-000052,-0.12539799293206802
ACH-000053,-0.07521636524398273
ACH-000054,-0.0935575066257723
ACH-000055,-0.09367089951445184
ACH-000060,-0.09527742992224277
ACH-000067,-0.07160360620753853
ACH-000070,-0.003925422905341622
ACH-000075,-0.1039377560808997
ACH-000078,-0.03173517736441809
ACH-000082,-0.01893671664054189
ACH-000085,0.05230860946453289
ACH-000086,-0.009591936480912085
ACH-000087,0.03493046850895745
ACH-000092,-0.09536711652908532
ACH-000095,-0.06497782311694184
ACH-000097,-0.03788994941296378
ACH-000098,0.01698453549276115
ACH-000099,-0.061943980637063925
ACH-000108,-0.20105714387357487
ACH-000113,-0.09844386302796483
ACH-000116,-0.046655954969871585
ACH-000118,-0.20482603598003854
ACH-000120,0.004872682802434304
ACH-000123,-0.1525446704824101
ACH-000127,-0.057296449318674975
ACH-000128,-0.2992968595657969
ACH-000132,-0.04382633931094696
ACH-000133,-0.047754135950458
ACH-000137,-0.2819320309998392
ACH-000138,-0.24360951266069
ACH-000142,-0.06989766354850688
ACH-000143,-0.18142012305511146
ACH-000146,-0.06562903891821924
ACH-000148,-0.07758680382057101
ACH-000150,-0.15735039016838512
ACH-000152,0.1099394109592247
ACH-000153,-0.32170289968913673
ACH-000159,-0.14707111322587224
ACH-000160,-0.20094211057593245
ACH-000163,-0.20908784157028595
ACH-000167,0.08060270780441209
ACH-000168,0.14477510254312578
ACH-000169,-0.017295890796881066
ACH-000178,-0.055841389089928944
ACH-000183,0.03184216650793091
ACH-000188,-0.1591852541016438
ACH-000189,-0.01774367644445692
ACH-000190,0.03465159699493895
ACH-000198,-0.2014972417142428
ACH-000203,-0.4370483694532543
ACH-000204,0.13485158038378206
ACH-000206,-0.06497468279683748
ACH-000207,-0.1741278734054037
ACH-000208,-0.13407945412962166
ACH-000210,-0.04155357294625482
ACH-000211,-0.15504005414429453
ACH-000215,-0.03629471387327625
ACH-000221,-0.2036980089918984
ACH-000222,-0.20926738365024586
ACH-000223,-0.19721178019544144
ACH-000226,-0.02722676284190125
ACH-000227,-0.2012489182498683
ACH-000228,-0.10611832711188554
ACH-000231,-0.11017763811760957
ACH-000232,-0.08318378962514486
ACH-000233,-0.05866599173184594
ACH-000234,-0.06985655976560859
ACH-000235,-0.08825099196660906
