,MEPCE (56257)
ACH-000004,-0.8997356122770619
ACH-000005,-0.9214918025220892
ACH-000007,-0.424967103737018
ACH-000009,-0.6552956171749788
ACH-000011,-0.4916082620902154
ACH-000012,-0.6748645319984815
ACH-000013,-0.5765664366619383
ACH-000014,-0.4723187101476398
ACH-000015,-0.7090283382667097
ACH-000017,-0.6372344157192116
ACH-000018,-0.6496814573330424
ACH-000019,-0.4804870840548522
ACH-000021,-0.7438173782304945
ACH-000022,-0.6177748787427936
ACH-000025,-0.6198458710209063
ACH-000028,-0.4745761878260252
ACH-000030,-0.6357143262863199
ACH-000035,-0.7726621872623511
ACH-000036,-0.6078348803879081
ACH-000037,-0.7263510887726622
ACH-000039,-0.7745123048168308
ACH-000040,-0.8882102294997635
ACH-000041,-0.9055284181827166
ACH-000042,-0.6876658769561168
ACH-000045,-0.6087854926548096
ACH-000047,-0.6197166371790794
ACH-000052,-0.6473348668625363
ACH-000053,-0.6534907696840293
ACH-000054,-0.5381839002452673
ACH-000055,-0.9760887318708368
ACH-000060,-0.7230100096236668
ACH-000067,-0.9406187694573622
ACH-000070,-0.5312877046113933
ACH-000075,-0.9938108734654132
ACH-000078,-0.5939856244560616
ACH-000082,-0.7925728952620414
ACH-000085,-0.6128905281627841
ACH-000086,-0.5719807376734463
ACH-000087,-0.9045766568583996
ACH-000092,-0.8401077366383405
ACH-000095,-0.8580060381160759
ACH-000097,-0.7075461963767747
ACH-000098,-0.5798299479318669
ACH-000099,-0.6733483621027498
ACH-000108,-0.7339427338421176
ACH-000113,-0.6252086148807637
ACH-000116,-0.6715547769130821
ACH-000118,-0.7778944474468287
ACH-000120,-0.7539788235840259
ACH-000123,-0.7085220712222964
ACH-000127,-0.8086212555239536
ACH-000128,-0.7670210141020402
ACH-000132,-0.8729103601859515
ACH-000133,-0.8197845274472482
ACH-000137,-0.6217750403789325
ACH-000138,-0.4522393317319523
ACH-000142,-0.6088091220003211
ACH-000143,-0.686510177069926
ACH-000146,-0.8020203330941358
ACH-000148,-0.6736826516406035
ACH-000150,-0.3566661934679653
ACH-000152,-0.778021984194992
ACH-000153,-0.6781369225174542
ACH-000159,-0.6618244700692747
ACH-000160,-0.6598067040989861
ACH-000163,-0.8018618967845952
ACH-000167,-0.849651359287665
ACH-000168,-0.4464260962429269
ACH-000169,-0.8162272629057701
ACH-000178,-0.5472105186294827
ACH-000183,-0.560518159341032
ACH-000188,-0.6153638358491681
ACH-000189,-0.6084550833230247
ACH-000190,-0.5169980942503986
ACH-000198,-0.7252427395898416
ACH-000203,-0.6250790968009348
ACH-000204,-0.8510683418717176
ACH-000206,-0.7006670115805501
ACH-000207,-0.5593481337967161
ACH-000208,-0.4659130911784025
ACH-000210,-0.6182843412263247
ACH-000211,-0.538191946098658
ACH-000215,-0.5206090539988711
ACH-000221,-0.94714898941027
ACH-000222,-0.6855641747068695
ACH-000223,-0.7237649334848627
ACH-000226,-0.6477400625317372
ACH-000227,-0.7101520917870467
ACH-000228,-0.6901424888158147
ACH-000231,-0.8595974057773921
ACH-000232,-0.6083648433365936
ACH-000233,-0.5135690539707729
ACH-000234,-0.6248173497963635
