,ITPRIP (85450)
ACH-000004,-0.11698782722109267
ACH-000005,0.05425519931179528
ACH-000007,-0.16621875788165927
ACH-000009,0.001720800433487741
ACH-000011,-0.1677822860642601
ACH-000012,-0.16892438988416048
ACH-000013,-0.035570886005480085
ACH-000014,-0.16156694538271565
ACH-000015,-0.2587621075126749
ACH-000017,-0.04727092603522855
ACH-000018,0.03247879745223042
ACH-000019,-0.005606864502982951
ACH-000021,0.010738152915353393
ACH-000022,-0.1169536040709287
ACH-000025,-0.17219980961350256
ACH-000028,-0.1521610475018207
ACH-000030,-0.1939558079225755
ACH-000035,-0.2214215738505771
ACH-000036,-0.3441127223752565
ACH-000037,-0.07434019989670365
ACH-000039,-0.16115294549496847
ACH-000040,-0.14108989957149876
ACH-000041,-0.020342505424893083
ACH-000042,-0.13310444249002792
ACH-000045,-0.05103517507189932
ACH-000047,-0.09371359900252474
ACH-000052,-0.2445054213847887
ACH-000053,-0.1641775301317514
ACH-000054,-0.21817003353890424
ACH-000055,-0.12269149256348415
ACH-000060,-0.08675941842352948
ACH-000067,-0.17183065330963795
ACH-000070,-0.11372532266087025
ACH-000075,-0.10422003184474232
ACH-000078,-0.1437855260912828
ACH-000082,-0.05213915998617318
ACH-000085,-0.17123938854995768
ACH-000086,-0.1694178337723237
ACH-000087,-0.13245665585223074
ACH-000092,-0.01606536386610762
ACH-000095,-0.002075772008271296
ACH-000097,-0.0993064942593582
ACH-000098,-0.17410110215436764
ACH-000099,-0.24833913902055565
ACH-000108,-0.12428656491150622
ACH-000113,-0.0956536328451777
ACH-000116,-0.05203334958965252
ACH-000118,-0.11932505420367505
ACH-000120,-0.0397908216035248
ACH-000123,-0.12391486658993447
ACH-000127,-0.07834551867712293
ACH-000128,-0.09878677009500623
ACH-000132,-0.2517526153852099
ACH-000133,-0.10192210607671896
ACH-000137,-0.015299234160224837
ACH-000138,-0.06660127182786617
ACH-000142,-0.12905256328595094
ACH-000143,-0.15499041230465102
ACH-000146,-0.09568727261430884
ACH-000148,-0.12120512334147385
ACH-000150,-0.027565953099141026
ACH-000152,-0.1012203987077046
ACH-000153,-0.0042187614654342655
ACH-000159,-0.008767471460610302
ACH-000160,-0.27469132345571506
ACH-000163,-0.14679274750267496
ACH-000167,0.14509630650941696
ACH-000168,-0.13753699888977589
ACH-000169,-0.1401051965640879
ACH-000178,-0.09000622939489446
ACH-000183,-0.2149881228972253
ACH-000188,-0.06971239427913706
ACH-000189,-0.12482393230059675
ACH-000190,-0.2891731285575609
ACH-000198,-0.055131695921833625
ACH-000203,-0.16787414977816578
ACH-000204,-0.2698874179706114
ACH-000206,-0.17245982305620533
ACH-000207,-0.1470605034887626
ACH-000208,-0.15368918824238498
ACH-000210,-0.4994336535483198
ACH-000211,-0.030018816794511263
ACH-000215,-0.0691972067933531
ACH-000221,-0.10772393111551536
ACH-000222,-0.09909950627490023
ACH-000223,-0.19535834594779555
ACH-000226,-0.09932106052652206
ACH-000227,-0.045102504642910934
ACH-000228,-0.07620230129212323
ACH-000231,-0.2066784151193639
ACH-000232,-0.14063330138008615
ACH-000233,-0.21989324095422166
ACH-000234,-0.03732780674924077
ACH-000235,-0.12635491730734674
ACH-000237,-0.12134078265397374
