,PGGT1B (5229)
ACH-000004,-0.10693430340344302
ACH-000005,-0.26081548728240866
ACH-000007,0.04431490668350173
ACH-000009,-0.0011460210810298696
ACH-000011,-0.1142738604570524
ACH-000012,-0.026901955424483804
ACH-000013,0.02479793976421925
ACH-000014,-0.1864866912472056
ACH-000015,-0.0003012086109484395
ACH-000017,-0.1330667791200682
ACH-000018,-0.15856197239422967
ACH-000019,-0.03248414496473855
ACH-000021,0.1880552667481275
ACH-000022,0.13535577823966047
ACH-000025,-0.19658882155665355
ACH-000028,0.05247100208555777
ACH-000030,-0.4181400698688405
ACH-000035,-0.19493410048465645
ACH-000036,0.018592093840366943
ACH-000037,-0.005114702964534214
ACH-000039,-0.24075865805489005
ACH-000040,-0.20408057133783689
ACH-000041,-0.2153124365169179
ACH-000042,0.050539434661480295
ACH-000045,-0.06735152113251595
ACH-000047,-0.17221372902497548
ACH-000052,0.06800265249915242
ACH-000053,0.004175914592210913
ACH-000054,-0.02991609527406868
ACH-000055,-0.03783143992979917
ACH-000060,-0.16587744001887
ACH-000067,-0.07443074085306248
ACH-000070,-0.031596635272293186
ACH-000075,0.203454741192102
ACH-000078,-0.10090139294253972
ACH-000082,-0.29835704262620266
ACH-000085,-0.07201749089992962
ACH-000086,-0.16398908752753066
ACH-000087,-0.26800593233172465
ACH-000092,-0.16840517315879125
ACH-000095,0.03106198894541005
ACH-000097,0.10280257076189947
ACH-000098,0.009455935621042551
ACH-000099,0.14097861293753214
ACH-000108,-0.06910805563052336
ACH-000113,0.0651087504165687
ACH-000116,-0.039561233182273434
ACH-000118,-0.03376724581098814
ACH-000120,-0.15908022304228964
ACH-000123,-0.11662086709882732
ACH-000127,-0.23252177677146774
ACH-000128,-0.09795246189368703
ACH-000132,-0.29936461826579025
ACH-000133,-0.04466317807894258
ACH-000137,0.004384563080383085
ACH-000138,-0.031209907519467537
ACH-000142,-0.1875689700998939
ACH-000143,0.214105150308459
ACH-000146,-0.057040343084015226
ACH-000148,-0.12145305766357913
ACH-000150,-0.1825529425005349
ACH-000152,-0.04179596961016456
ACH-000153,0.07482674792281309
ACH-000159,0.013218353607996506
ACH-000160,-0.1090725909941818
ACH-000163,-0.2402939308397525
ACH-000167,-0.2414950498945985
ACH-000168,-0.10281633900450966
ACH-000169,-0.033315673822711035
ACH-000178,-0.06550328642866378
ACH-000183,0.08002372357914225
ACH-000188,-0.06612674713033821
ACH-000189,-0.2581000570951564
ACH-000190,-0.15387459649731702
ACH-000198,-0.04654867741919772
ACH-000203,0.31980968778997715
ACH-000204,0.05803878400475725
ACH-000206,-0.14866153897931705
ACH-000207,-0.1364165929511097
ACH-000208,-0.4579318315343852
ACH-000210,-0.10100880669223722
ACH-000211,-0.10994635959731336
ACH-000215,-0.18971052490934612
ACH-000221,0.20385691591955046
ACH-000222,-0.10041702337727246
ACH-000223,0.11764267919176698
ACH-000226,-0.15899456347930918
ACH-000227,-0.008320575801930543
ACH-000228,-0.02523746693448721
ACH-000231,-0.045743252223446065
ACH-000232,-0.2260905649860959
ACH-000233,0.1137571883549393
ACH-000234,-0.1268115268672959
ACH-000235,-0.08880942453633167
ACH-000237,-0.10396873018753404
ACH-000238,0.0708500890595499
ACH-000242,0.013801394469286634
ACH-000243,-0.12834862607553135
ACH-000244,-0.07178617346450873
ACH-000246,0.11776209449790233
ACH-000248,-0.0394184074879684
ACH-000250,-0.04381572547549259
ACH-000251,-0.2591134772305054
ACH-000252,0.02220149888273374
ACH-000253,0.1230603470733096
ACH-000255,-0.27718897948859744
ACH-000256,-0.06995828125426518
ACH-000257,-0.15738110400229632
ACH-000258,-0.21918853622196988
ACH-000259,-0.005006552123210656
ACH-000260,-0.193540402887742
ACH-000261,-0.3173691650961912
ACH-000262,-0.030270204001052493
ACH-000263,0.15303702804485195
ACH-000264,-0.1296315444061836
ACH-000265,-0.14433298382283402
ACH-000266,0.009357729848280791
ACH-000272,-0.08521530445486522
ACH-000274,-0.07996129987979858
ACH-000277,0.04870008426806489
ACH-000278,-0.14397237956726552
ACH-000279,-0.012704349113825729
ACH-000280,0.06335179782698362
ACH-000281,-0.006946513584120855
ACH-000288,0.002791827878525001
ACH-000291,-0.2024995548071995
ACH-000293,-0.09262651950772244
ACH-000294,-0.1388862270406563
ACH-000295,-0.05629197160480635
ACH-000296,-0.13072040958379855
ACH-000302,-0.10166400591609602
ACH-000304,0.04980066988399272
ACH-000307,-0.08278987722599976
ACH-000308,-0.06265160442694698
ACH-000310,0.05478233483454055
ACH-000311,-0.03138540270174048
ACH-000312,-0.07141873218611551
ACH-000315,0.0560140253774676
ACH-000316,0.05273514324009528
ACH-000317,-0.09047006014935703
ACH-000318,-0.2101964710561565
ACH-000319,-0.13426933269143032
ACH-000320,-0.08752232826963896
ACH-000322,-0.20483751662796149
ACH-000323,-0.15511364748987913
ACH-000324,-0.11844603563722635
ACH-000329,-0.03753223217967919
ACH-000330,-0.2377195589304936
ACH-000331,-0.4188752510348309
ACH-000332,-0.09885253338550357
ACH-000334,-0.0023308721652812304
ACH-000335,-0.2303938991703675
ACH-000336,0.1913604589000895
ACH-000337,-0.3292722743977349
ACH-000338,-0.00706224739706978
ACH-000339,-0.14806329628938286
