,HADH (3033)
ACH-000004,-0.11240423330404048
ACH-000005,-0.2059666877218006
ACH-000007,-0.060849751287493474
ACH-000009,-0.2547458171884834
ACH-000011,-0.05860467255008722
ACH-000012,-0.06316739444102193
ACH-000013,-0.08686216045192903
ACH-000014,-0.13801661119163952
ACH-000015,-0.041623013223521035
ACH-000017,-0.14640048792645655
ACH-000018,-0.20796146244100494
ACH-000019,0.13691497261887886
ACH-000021,-0.054524437311426505
ACH-000022,-0.059188640958609186
ACH-000025,-0.12017083030631075
ACH-000028,-0.16020803597533784
ACH-000030,-0.1346931486527162
ACH-000035,-0.2699422873915762
ACH-000036,-0.17770046976438886
ACH-000037,-0.12170075841019125
ACH-000039,-0.0720520021489464
ACH-000040,-0.1524023459512737
ACH-000041,-0.08704754184713348
ACH-000042,-0.11054069494061106
ACH-000045,-0.03020922678889402
ACH-000047,-0.09551012488380156
ACH-000052,-0.2527655614926828
ACH-000053,-0.053350490623585635
ACH-000054,-0.1605598220195287
ACH-000055,0.004830503569106722
ACH-000060,-0.2109783568792225
ACH-000067,-0.11461191902257233
ACH-000070,-0.2354100979386632
ACH-000075,-0.13573709186467095
ACH-000078,-0.2770332045267589
ACH-000082,-0.12920989055874946
ACH-000085,0.07505493827305762
ACH-000086,-0.08898032667882745
ACH-000087,-0.11736492821425945
ACH-000092,-0.17761190686436387
ACH-000095,-0.0742239490854018
ACH-000097,-0.09792242028334214
ACH-000098,-0.10995920233898752
ACH-000099,-0.16456578207381448
ACH-000108,-0.05522308706325089
ACH-000113,-0.028546985719769782
ACH-000116,-0.21556925675789446
ACH-000118,0.043096875235734716
ACH-000120,-0.06396672060876345
ACH-000123,-0.14844257633609048
ACH-000127,-0.11532274617802847
ACH-000128,-0.27707021649795616
ACH-000132,-0.2866021471625043
ACH-000133,-0.07169841672871018
ACH-000137,-0.13723671150272698
ACH-000138,-0.06626589208206737
ACH-000142,-0.044812493964795336
ACH-000143,-0.17603296371760446
ACH-000146,-0.08835726567156083
ACH-000148,-0.1732471384039999
ACH-000150,-0.09441440260381773
ACH-000152,-0.31259634718688123
ACH-000153,0.07972495310130695
ACH-000159,-0.0561535275576144
ACH-000160,-0.03408908866902645
ACH-000163,-0.15609002614309006
ACH-000167,-0.0578639260770307
ACH-000168,-0.2288000134793417
ACH-000169,-0.25069962464910023
ACH-000178,-0.07217115445506887
ACH-000183,-0.19802268576135196
ACH-000188,-0.12592383220785222
ACH-000189,-0.15105551076653742
ACH-000190,-0.27311088954418583
ACH-000198,-0.09678302781591512
ACH-000203,-0.05115774236624257
ACH-000204,-0.05202215078100039
ACH-000206,0.007245836363898945
ACH-000207,-0.11617204562652618
ACH-000208,-0.2763043135311289
ACH-000210,-0.02241541445928084
ACH-000211,-0.09228847772192188
ACH-000215,-0.13073167595143215
ACH-000221,-0.05514636468886528
ACH-000222,-0.14353660220070874
ACH-000223,-0.17759209724573408
ACH-000226,-0.113923485488053
ACH-000227,-0.20571928706047687
ACH-000228,-0.04654979407744882
ACH-000231,-0.16427226526790042
ACH-000232,-0.21279576335092476
ACH-000233,-0.11798023017979704
ACH-000234,-0.0381284562782196
ACH-000235,-0.06284981503784688
ACH-000237,-0.1525678775227682
ACH-000238,-0.1363529056950146
ACH-000242,-0.0381368416432269
ACH-000243,-0.1357833179527798
ACH-000244,-0.4707145421806173
ACH-000246,-0.14195644495751786
ACH-000248,-0.10078141502465864
ACH-000250,-0.15216576267883752
ACH-000251,-0.1113110335915966
ACH-000252,-0.050382667185980716
ACH-000253,-0.09529518858118567
ACH-000255,-0.02475550885077844
ACH-000256,-0.1507213632843775
ACH-000257,0.024827485319169798
ACH-000258,-0.11159394931769052
ACH-000259,-0.11065946979976818
ACH-000260,-0.1112180910837177
ACH-000261,-0.1070327265519276
ACH-000262,-0.1938062716994385
ACH-000263,-0.051021110328905925
ACH-000264,-0.16355281904650895
ACH-000265,-0.14827042434822088
ACH-000266,-0.17502872039240866
ACH-000272,-0.08859746953495536
ACH-000274,-0.15172139329725676
ACH-000277,-0.13551839372676006
ACH-000278,-0.060668639130804
ACH-000279,-0.213881692707072
ACH-000280,-0.0741211336395156
ACH-000281,-0.2379979584867968
ACH-000288,-0.05842841700043076
ACH-000291,-0.04685624016652554
ACH-000293,-0.1211690910917207
ACH-000294,-0.12400365106156118
ACH-000295,-0.08284419414080048
ACH-000296,-0.11962574443816698
ACH-000302,-0.09654444547022463
ACH-000304,-0.12399306741009908
ACH-000307,-0.18381217363384847
