,GSDMA (284110)
ACH-000004,-0.4350530479157617
ACH-000005,-0.3543887680379649
ACH-000007,-0.3684744114442168
ACH-000009,-0.6107429670791173
ACH-000011,-0.4804640531557519
ACH-000012,-0.5458341129541098
ACH-000013,-0.3365621140588925
ACH-000014,-0.34277372596043365
ACH-000015,-0.3141198227837622
ACH-000017,-0.7642436634385653
ACH-000018,-0.2572385571936365
ACH-000019,-0.5311315826624281
ACH-000021,-0.5975764198271285
ACH-000022,-0.3733120946479479
ACH-000025,-0.3813781972122677
ACH-000028,-0.4607553775897234
ACH-000030,-0.4318965034120121
ACH-000035,-0.4601555200316391
ACH-000036,-0.5229077474447941
ACH-000037,-0.3596265202164569
ACH-000039,-0.5415945224953691
ACH-000040,-0.5468944389059811
ACH-000041,-0.4842198080460933
ACH-000042,-0.3185523417979903
ACH-000045,-0.4297894974651377
ACH-000047,-0.398383135213501
ACH-000052,-0.19557955193197046
ACH-000053,-0.4041724109945751
ACH-000054,-0.40249758344449016
ACH-000055,-0.4371809348516985
ACH-000060,-0.5752424577582625
ACH-000067,-0.5313012357583003
ACH-000070,-0.3377668607053803
ACH-000075,-0.5734848781501922
ACH-000078,-0.5568561905957912
ACH-000082,-0.5057895710949641
ACH-000085,-0.4053980404515872
ACH-000086,-0.3721710290071159
ACH-000087,-0.40086273948125184
ACH-000092,-0.4859560745614311
ACH-000095,-0.523880452379693
ACH-000097,-0.5000320953472981
ACH-000098,-0.4989745912320076
ACH-000099,-0.4667506619282997
ACH-000108,-0.2790413890548451
ACH-000113,-0.4206354078553752
ACH-000116,-0.5008421685712866
ACH-000118,-0.4246129432839428
ACH-000120,-0.3200643724566277
ACH-000123,-0.31538830390594463
ACH-000127,-0.4308530355748269
ACH-000128,-0.4844387986349025
ACH-000132,-0.4493441051667438
ACH-000133,-0.5829411684704766
ACH-000137,-0.4365952418069656
ACH-000138,-0.5505889192703944
ACH-000142,-0.533819817713525
ACH-000143,-0.5037615239456192
ACH-000146,-0.3530782934879002
ACH-000148,-0.3778773390277278
ACH-000150,-0.4906238971701595
ACH-000152,-0.39192524008493257
ACH-000153,-0.4312796877119599
ACH-000159,-0.465054374192767
ACH-000160,-0.4067601804288399
ACH-000163,-0.4005481158706721
ACH-000167,-0.4792609559472142
ACH-000168,-0.4740379813249138
ACH-000169,-0.4411725526325648
ACH-000178,-0.4015803146864942
ACH-000183,-0.28883785722421745
ACH-000188,-0.443433561513542
ACH-000189,-0.2804441164852814
ACH-000190,-0.4080543950152198
ACH-000198,-0.3728587977825607
ACH-000203,-0.8284346120290064
ACH-000204,-0.322062913071842
ACH-000206,-0.4830559420949602
ACH-000207,-0.41444015740050544
ACH-000208,-0.3563082788265137
ACH-000210,-0.25080898094945353
ACH-000211,-0.5180068518127127
ACH-000215,-0.5722835803262838
ACH-000221,-0.2975954782976797
ACH-000222,-0.2716980719444555
ACH-000223,-0.5365845395520138
ACH-000226,-0.5133971492234772
ACH-000227,-0.5349811590529461
ACH-000228,-0.555150269681915
ACH-000231,-0.4444314862932345
ACH-000232,-0.4397519416188465
ACH-000233,-0.37731095356481603
ACH-000234,-0.521381453022807
ACH-000235,-0.5310044969442115
ACH-000237,-0.4042301903470713
ACH-000238,-0.5965742711800326
ACH-000242,-0.6045438432770004
ACH-000243,-0.5433597798731938
ACH-000244,-0.6464448766033244
ACH-000246,-0.37930375852101256
ACH-000248,-0.6278100464976062
ACH-000250,-0.5284950657312091
ACH-000251,-0.4350376663392491
ACH-000252,-0.3512695536702488
ACH-000253,-0.4552494832809242
ACH-000255,-0.40511480347947904
ACH-000256,-0.5680891571924556
ACH-000257,-0.3193761664510951
ACH-000258,-0.5466319186849087
ACH-000259,-0.4882309861494542
ACH-000260,-0.327383382751445
ACH-000261,-0.4583688230418808
