,MGARP (84709)
ACH-000004,-0.01866686008734407
ACH-000005,0.039424802738284005
ACH-000007,-0.22123557974345892
ACH-000009,-0.11563856092261098
ACH-000011,-0.08376410967801966
ACH-000012,-0.07824574087682086
ACH-000013,-0.13219926087811912
ACH-000014,-0.1194213567786574
ACH-000015,-0.14784730120613834
ACH-000017,-0.006855664389415774
ACH-000018,-0.07010215366525352
ACH-000019,-0.07404959635352104
ACH-000021,-0.08015132962754556
ACH-000022,-0.1005893468061578
ACH-000025,-0.24133468613989498
ACH-000028,-0.0730483381210394
ACH-000030,-0.10749143096700507
ACH-000035,-0.11324962908753565
ACH-000036,0.08367152066882713
ACH-000037,-0.12620675305092754
ACH-000039,0.060778174746694565
ACH-000040,-0.13556271523063432
ACH-000041,-0.14524286729942731
ACH-000042,-0.2185962915578464
ACH-000045,-0.18202810672439854
ACH-000047,-0.03442232550730478
ACH-000052,-0.039759296451992825
ACH-000053,-0.1793053899855255
ACH-000054,-0.21033505163592373
ACH-000055,0.11241535410802957
ACH-000060,-0.2235392256996156
ACH-000067,-0.18438996316910247
ACH-000070,-0.2286283567703539
ACH-000075,0.06670148130343204
ACH-000078,-0.2678169399623492
ACH-000082,-0.0417128778613269
ACH-000085,-0.21716326261306154
ACH-000086,-0.029454603998216877
ACH-000087,0.00694691319292
ACH-000092,-0.14712408689417772
ACH-000095,-0.3264785419383814
ACH-000097,-0.11162915299354093
ACH-000098,-0.16437327906159788
ACH-000099,-0.1837934822823227
ACH-000108,-0.249273174628344
ACH-000113,-0.0935200691184793
ACH-000116,-0.0972890653392388
ACH-000118,0.05739178492690631
ACH-000120,-0.3102474840557981
ACH-000123,-0.10684045873407401
ACH-000127,-0.16974638992869734
ACH-000128,-0.19098501714680435
ACH-000132,-0.06338711660882791
ACH-000133,-0.03746149850110821
ACH-000137,0.0027168359968327825
ACH-000138,0.008389923421041428
ACH-000142,-0.2399752058813145
ACH-000143,0.008601293767784898
ACH-000146,-0.11941632029859765
ACH-000148,-0.05993463672950795
ACH-000150,-0.19381881543372692
ACH-000152,-0.11658070022138828
ACH-000153,-0.165199231642356
ACH-000159,-0.15027664445561842
ACH-000160,-0.34201371705879474
ACH-000163,-0.054916702012084664
ACH-000167,-0.4531348386297033
