,RARS (5917)
ACH-000004,-0.5713568388406933
ACH-000005,-0.5557147714018157
ACH-000007,-0.488733101425649
ACH-000009,-0.7313133419232533
ACH-000011,-0.30354748097287665
ACH-000012,-0.6171373666056761
ACH-000013,-0.4881189252040095
ACH-000014,-0.4313254810909462
ACH-000015,-0.6155267914213466
ACH-000017,-0.3964194944208072
ACH-000018,-0.5281888657644825
ACH-000019,-0.5139865718212678
ACH-000021,-0.4973392317189975
ACH-000022,-0.5849025522028639
ACH-000025,-0.6213397863432948
ACH-000028,-0.4950320604688685
ACH-000030,-0.5723176701898053
ACH-000035,-0.5214798127333159
ACH-000036,-0.5322918478416652
ACH-000037,-0.7199214367635888
ACH-000039,-0.5730192195023717
ACH-000040,-0.408919737340802
ACH-000041,-0.6318481319226085
ACH-000042,-0.5352268395287874
ACH-000045,-0.4122409350541829
ACH-000047,-0.5692260779452591
ACH-000052,-0.4901278337896884
ACH-000053,-0.5491303020191202
ACH-000054,-0.5379796221157925
ACH-000055,-0.3868712614807556
ACH-000060,-0.6229628713484835
ACH-000067,-0.5873126518780626
ACH-000070,-0.36952920177533866
ACH-000075,-0.7307676078933745
ACH-000078,-0.5293828763752371
ACH-000082,-0.4650349421312627
ACH-000085,-0.3227589061542307
ACH-000086,-0.6523454379261664
ACH-000087,-0.2718325696516761
ACH-000092,-0.6406858919440306
ACH-000095,-0.6213913067218875
ACH-000097,-0.3951535173631939
ACH-000098,-0.4628529038849592
ACH-000099,-0.5795015951569522
ACH-000108,-0.5177268188378249
ACH-000113,-0.3425610282581566
ACH-000116,-0.5058799871226928
ACH-000118,-0.3931306316915164
ACH-000120,-0.5375083473346539
ACH-000123,-0.5439033343257658
ACH-000127,-0.5887848501635277
ACH-000128,-0.4214523419303374
ACH-000132,-0.6916378557759233
ACH-000133,-0.5073974504410487
ACH-000137,-0.5023311706054692
ACH-000138,-0.3599220018433945
ACH-000142,-0.6358675502134705
ACH-000143,-0.4048876024868837
ACH-000146,-0.4237118020977527
ACH-000148,-0.4150317872852627
ACH-000150,-0.5667297724585234
ACH-000152,-0.6584469635053827
ACH-000153,-0.3784569524295157
ACH-000159,-0.6414976987558283
ACH-000160,-0.4368243469664361
ACH-000163,-0.464378685001268
ACH-000167,-0.5475719376129424
ACH-000168,-0.6770181556911691
ACH-000169,-0.4921600538078891
ACH-000178,-0.4495101196937067
ACH-000183,-0.4050126299913425
ACH-000188,-0.5631400988960974
ACH-000189,-0.4369832940483729
ACH-000190,-0.6050834720801958
ACH-000198,-0.4520633621125492
ACH-000203,-0.6606319413010471
ACH-000204,-0.6189894470464251
ACH-000206,-0.4550788403063685
ACH-000207,-0.3896235382235358
ACH-000208,-0.22032634506577606
ACH-000210,-0.4841240324460543
ACH-000211,-0.7286413350347748
ACH-000215,-0.685136532514695
ACH-000221,-0.7163161707073242
ACH-000222,-0.4379786949234443
ACH-000223,-0.5111211606828149
ACH-000226,-0.5215256317720208
ACH-000227,-0.5099899671838604
ACH-000228,-0.4750753522196071
ACH-000231,-0.6027269719358315
ACH-000232,-0.6106861382389606
ACH-000233,-0.4155663259549095
ACH-000234,-0.4983915321659795
ACH-000235,-0.6473848363661712
ACH-000237,-0.5275976882484944
ACH-000238,-0.3538062252581294
ACH-000242,-0.852167406660143
ACH-000243,-0.5659009871354725
ACH-000244,-0.2290532201025359
ACH-000246,-0.5284633082529702
ACH-000248,-0.5573928205653684
ACH-000250,-0.7054087829922912
ACH-000251,-0.6510569380278387
ACH-000252,-0.7208269402365493
ACH-000253,-0.5514684318134812
ACH-000255,-0.5924612217234068
