,PDE12 (201626)
ACH-000004,-0.15864810403616167
ACH-000005,-0.27290875095938993
ACH-000007,-0.4432965964980072
ACH-000009,-0.2887486404535932
ACH-000011,-0.16837740929159195
ACH-000012,-0.5075904410460075
ACH-000013,-0.558508449293446
ACH-000014,-0.32275998137034884
ACH-000015,-0.40146253383958896
ACH-000017,-0.3156995148062963
ACH-000018,-0.30812120225160483
ACH-000019,-0.3569753022582228
ACH-000021,-0.4961394932689964
ACH-000022,-0.4095942132685806
ACH-000025,-0.5630849135225698
ACH-000028,-0.5203827868004534
ACH-000030,-0.26109928487499
ACH-000035,-0.4726018765296729
ACH-000036,-0.07685327124295513
ACH-000037,-0.3094411315008215
ACH-000039,-0.4512895645351615
ACH-000040,-0.3290701430370637
ACH-000041,-0.3136586245392634
ACH-000042,-0.272062798006768
ACH-000045,-0.6461316965604399
ACH-000047,-0.7283930905695698
ACH-000052,-0.1720732467431629
ACH-000053,-0.1927469818686436
ACH-000054,-0.2795854074529638
ACH-000055,-0.05820974892890767
ACH-000060,-0.3655974088387294
ACH-000067,-0.34527461023796324
ACH-000070,-0.23379458505397616
ACH-000075,-0.3820116529876135
ACH-000078,-0.1926557908829116
ACH-000082,-0.2299638100029117
ACH-000085,-0.19267157531605572
ACH-000086,-0.3431110985119294
ACH-000087,-0.36439736196709066
ACH-000092,-0.3671711415107356
ACH-000095,-0.233106702428766
ACH-000097,-0.4707358214704471
ACH-000098,-0.3853054836404553
ACH-000099,-0.548873952724894
ACH-000108,-0.20174964684521404
ACH-000113,-0.5866999443999883
ACH-000116,-0.24413607136611096
ACH-000118,-0.5137160575921084
ACH-000120,-0.2943607923232736
ACH-000123,-0.4888827734316119
ACH-000127,-0.09571183974239804
ACH-000128,-0.4698755811647644
ACH-000132,-0.10959373355368317
ACH-000133,-0.4379902418115432
ACH-000137,-0.1686605721613657
ACH-000138,-0.396829883444581
ACH-000142,-0.2895222506672519
ACH-000143,-0.286818392842284
ACH-000146,-0.4377001979140112
ACH-000148,-0.3353652569197406
ACH-000150,-0.5416717134595217
ACH-000152,-0.3853677159398598
ACH-000153,-0.363506529584115
ACH-000159,-0.2981519370342315
ACH-000160,-0.3642929449887014
ACH-000163,-0.11397325366186467
ACH-000167,-0.0035356436533441156
ACH-000168,0.08708823977369347
ACH-000169,-0.32992119122836217
ACH-000178,-0.1654184063172779
ACH-000183,-0.1207347251055188
ACH-000188,-0.24711168589192026
ACH-000189,-0.4300329752460873
ACH-000190,-0.2413607729353283
ACH-000198,-0.5715384296749728
ACH-000203,-0.4815418549165204
ACH-000204,-0.4982966982397513
ACH-000206,-0.13710142393739788
ACH-000207,-0.5083699883736955
ACH-000208,-0.3802341795004919
ACH-000210,-0.6505130390921064
ACH-000211,-0.40938498412719504
ACH-000215,-0.32176651972680603
ACH-000221,-0.4741948402737731
ACH-000222,-0.182061533980757
ACH-000223,-0.3793745698981784
ACH-000226,-0.22061678847875285
ACH-000227,-0.26271335129448553
ACH-000228,-0.4425571578000987
ACH-000231,-0.22760565001568575
ACH-000232,-0.3344616690532817
ACH-000233,-0.2285719553651435
ACH-000234,-0.2783859402741363
ACH-000235,-0.15774251545943713
ACH-000237,-0.16848586856893144
ACH-000238,-0.21722318918234496
ACH-000242,-0.11224447229736984
ACH-000243,-0.40888009649449697
ACH-000244,-0.3705513360967771
ACH-000246,-0.7322056644900439
ACH-000248,-0.3179776508336041
ACH-000250,-0.19732280716729508
ACH-000251,-0.2869459109976585
ACH-000252,-0.44790273426125293
ACH-000253,-0.19276861642512888
ACH-000255,-0.4200675997502072
ACH-000256,-0.2184739870344605
ACH-000257,-0.457014160298601
ACH-000258,-0.701379972627763
ACH-000259,-0.572714037241787
ACH-000260,-0.3113927204794685
ACH-000261,-0.32918596884253826
ACH-000262,-0.2693546803880906
ACH-000263,-0.5518272545696957
ACH-000264,-0.2799985420725915
ACH-000265,-0.4125897337764733
ACH-000266,-0.2163137034808404
ACH-000272,-0.252492820442337
ACH-000274,-0.28084440776901404
ACH-000277,-0.4898291707745597
ACH-000278,-0.1243637994420866
ACH-000279,-0.29651957408302543
ACH-000280,-0.17033835106011694
ACH-000281,-0.3095264635657337
ACH-000288,-0.3713621185157059
ACH-000291,-0.4658703476136952
ACH-000293,-0.2454794477818032
ACH-000294,-0.06763686964944989
ACH-000295,-0.40215833667160333
ACH-000296,0.09602049340843424
ACH-000302,-0.3324676199962002
ACH-000304,-0.19257289842244166
ACH-000307,-0.2418311198502083
ACH-000308,-0.22823969315400786
ACH-000310,-0.13439480468500833
ACH-000311,-0.30879522669857595
ACH-000312,-0.2764800364209639
ACH-000315,-0.3054385790890321
ACH-000316,-0.293284979612391
ACH-000317,-1.019214382742291
ACH-000318,-0.4071195730762683
ACH-000319,-0.27598323833282085
ACH-000320,-0.21623718419722085
ACH-000322,-0.269245683805161
ACH-000323,-0.4426822086435964
ACH-000324,-0.07753657928933143
ACH-000329,-0.33492482362105275
ACH-000330,-0.3954083919196979
ACH-000331,-0.30797111180882714
ACH-000332,-0.2365002307781225
ACH-000334,-0.23211340636319236
ACH-000335,-0.3381879025979083
ACH-000336,-0.4149468714531523
ACH-000337,-0.5751099705641171
ACH-000338,-0.4087113947521312
ACH-000339,-0.3627122800356214
ACH-000341,-0.3141375036388831
ACH-000348,-0.3686565167705021
ACH-000350,-0.22885036178453
ACH-000352,-0.3109559404242672
ACH-000356,-0.460874006445685
ACH-000361,-0.3697886114196549
ACH-000362,0.010997111065856591
ACH-000363,-0.14789197388876446
ACH-000364,-0.3845076850075729
ACH-000365,-0.3183156186763276
ACH-000366,-0.061550679656646436
ACH-000368,-0.2412486894894889
ACH-000374,-0.8767224849681488
ACH-000375,-0.05686809577920333
ACH-000376,-0.471533986169247
ACH-000381,-0.3985157944730569
ACH-000383,-0.44375050549512784
ACH-000387,-0.12425824535947196
ACH-000389,-0.01277351486796601
ACH-000390,-0.2506472136703997
ACH-000393,-0.27391313281123714
ACH-000395,-0.1142770994238083
ACH-000396,-0.5214162472099984
ACH-000397,-0.3100194686194134
ACH-000401,-0.26889183258306154
ACH-000402,-0.2970705242381602
ACH-000403,-0.2591776057626573
ACH-000404,-0.4805804116618975
ACH-000406,-0.16116040674986964
ACH-000407,-0.2714829025921401
ACH-000408,-0.2358496054407287
ACH-000410,-0.4899805701300973
ACH-000411,-0.13207684539604758
ACH-000414,-0.3633323219320085
ACH-000415,-0.32707178449116964
ACH-000416,-0.2611373291438388
