,NPC1L1 (29881)
ACH-000004,-0.12281868007697586
ACH-000005,-0.09558431484304744
ACH-000007,-0.3685321612035108
ACH-000009,-0.19508069115310694
ACH-000011,-0.2400468832253132
ACH-000012,-0.24958521711255946
ACH-000013,-0.1873580735382048
ACH-000014,-0.26454714682889363
ACH-000015,-0.4028208389448152
ACH-000017,-0.05866813927793645
ACH-000018,-0.1268476188911186
ACH-000019,-0.2531175254069583
ACH-000021,-0.19373170283356864
ACH-000022,-0.25896897019571746
ACH-000025,-0.2815493249945375
ACH-000028,-0.14741682447095328
ACH-000030,-0.2023466217048471
ACH-000035,-0.3987064034346217
ACH-000036,-0.2361966752902847
ACH-000037,-0.07921195627686319
ACH-000039,-0.17477106647245372
ACH-000040,-0.1803143660732207
ACH-000041,-0.2296995521685349
ACH-000042,-0.28487079519703873
ACH-000045,-0.3463106694163596
ACH-000047,-0.2841640546433675
ACH-000052,-0.34363177195381506
ACH-000053,-0.20633937180366604
ACH-000054,-0.20158345658056212
ACH-000055,0.013968766388419951
ACH-000060,-0.2215625024216529
ACH-000067,-0.06963908137926267
ACH-000070,-0.05900596399682791
ACH-000075,-0.00945081343731282
ACH-000078,-0.17869723684058772
ACH-000082,-0.15812010633657558
ACH-000085,-0.4341036361651398
ACH-000086,-0.2206394555274204
ACH-000087,-0.1537812409073672
ACH-000092,-0.18780092574171728
ACH-000095,-0.1194334826410176
ACH-000097,-0.2443912017562081
ACH-000098,-0.2232878357329475
ACH-000099,-0.27958796870162883
ACH-000108,-0.20336375563057268
ACH-000113,-0.1153066442579446
ACH-000116,-0.1809926625589855
ACH-000118,-0.18765333985400345
ACH-000120,-0.0018244237185146073
ACH-000123,-0.24527089483541345
ACH-000127,-0.17419683729043772
ACH-000128,-0.37773047645848096
ACH-000132,-0.02846337401337488
ACH-000133,-0.26634006565685564
ACH-000137,-0.3655850220318886
ACH-000138,-0.12270791601318945
ACH-000142,-0.16476966458961054
ACH-000143,-0.08410275247410734
ACH-000146,-0.2803223971244025
ACH-000148,-0.1846827714401658
ACH-000150,-0.027879292696752205
ACH-000152,-0.12619994685795316
ACH-000153,-0.4104534404502175
ACH-000159,-0.2267857578725725
ACH-000160,-0.2218074651519784
ACH-000163,-0.08577191064065899
ACH-000167,0.2909899189268625
ACH-000168,-0.2565416584342477
ACH-000169,-0.3915879345793338
ACH-000178,-0.17467318310029362
ACH-000183,-0.19758084171685564
ACH-000188,-0.3529647363425372
ACH-000189,-0.2332031216021753
ACH-000190,-0.2967627013566605
ACH-000198,-0.20532958951801245
ACH-000203,-0.32674396522237353
ACH-000204,-0.1456685252993195
ACH-000206,-0.2691000468521777
ACH-000207,-0.2357980747692237
ACH-000208,-0.1450894194675193
ACH-000210,-0.25338832040125925
ACH-000211,-0.04063597402894867
ACH-000215,-0.17255455673967174
ACH-000221,-0.446147154843988
ACH-000222,-0.2712015881187478
ACH-000223,-0.21614502259584803
ACH-000226,-0.07929860703390529
ACH-000227,-0.34559486356719976
ACH-000228,-0.2538439705338241
ACH-000231,-0.21964869087610747
ACH-000232,-0.17231188734227287
ACH-000233,-0.18772653756991534
ACH-000234,-0.2687342660698528
ACH-000235,-0.2156391037931864
ACH-000237,-0.1450997697977305
ACH-000238,-0.3096012833930085
ACH-000242,-0.234821085983656
ACH-000243,-0.21443906584910885
ACH-000244,0.02354173144734408
ACH-000246,-0.30317131786213103
ACH-000248,-0.15901025733425794
ACH-000250,-0.31961709093520546
ACH-000251,0.0863385757890601
ACH-000252,-0.04651048587728116
ACH-000253,-0.2583328331642258
ACH-000255,-0.13268814356754485
ACH-000256,-0.18539953285466745
ACH-000257,-0.27281001998363397
ACH-000258,-0.1609784295677842
ACH-000259,-0.27003531803319525
ACH-000260,-0.1612806296038469
ACH-000261,-0.2421567491028997
ACH-000262,-0.3176246976550229
ACH-000263,-0.158552279635198
ACH-000264,-0.18920691496548547
ACH-000265,-0.21446478427054155
ACH-000266,-0.2397924489958062
ACH-000272,-0.1679695626135298
ACH-000274,-0.11462792510988115
ACH-000277,-0.23565764618109175
ACH-000278,-0.08809932638075553
ACH-000279,-0.12288618240659024
ACH-000280,-0.2675920485314384
ACH-000281,-0.3595815759507455
ACH-000288,-0.27483755227818346
ACH-000291,-0.14120419797324768
ACH-000293,-0.24154083031453344
ACH-000294,-0.3040131946155256
ACH-000295,-0.17512088531093895
ACH-000296,-0.11910984044176187
ACH-000302,-0.3249558408760279
ACH-000304,-0.3895720295327782
ACH-000307,-0.2775795893860389
ACH-000308,-0.27990386511276194
ACH-000310,-0.01211074129404268
ACH-000311,-0.2692697683226992
ACH-000312,-0.3104652252688879
ACH-000315,-0.27350759234106464
ACH-000316,-0.22464620247942174
ACH-000317,0.08176965422198015
ACH-000318,-0.1801149103255903
ACH-000319,-0.20822427902038265
ACH-000320,-0.26395012355211617
ACH-000322,-0.154992216266385
ACH-000323,-0.22297487771258664
ACH-000324,-0.07172956940953946
ACH-000329,-0.2653514057249605
ACH-000330,-0.24392579973494655
ACH-000331,-0.15417442206571924
ACH-000332,-0.18498324590646045
ACH-000334,-0.25555679578868745
ACH-000335,-0.10499991827199033
ACH-000336,-0.2630990576329012
ACH-000337,-0.5954733195175219
ACH-000338,-0.1022482356439847
ACH-000339,-0.21385303393530386
ACH-000341,-0.010464136176277077
ACH-000348,-0.23191892198778302
ACH-000350,-0.2842173073582467
ACH-000352,-0.1589287313952871
ACH-000356,-0.5515907099458219
ACH-000361,-0.24843460686507265
ACH-000362,-0.21856826605064802
ACH-000363,-0.13844353652625127
ACH-000364,-0.24503659289444105
ACH-000365,-0.4708378770209014
ACH-000366,-0.1807586509571481
ACH-000368,-0.09946121493664352
ACH-000374,-0.03759300338668764
ACH-000375,-0.11485306248681512
ACH-000376,-0.18322995299359368
ACH-000381,-0.08240464203219533
ACH-000383,-0.2406775726549643
ACH-000387,-0.16777790818958654
ACH-000389,-0.06307145173354776
ACH-000390,-0.2693205030724451
ACH-000393,-0.2017366043408392
ACH-000395,-0.4752752705186346
ACH-000396,-0.1919373104752983
ACH-000397,-0.10416425711309046
ACH-000401,-0.2745313834264649
ACH-000402,-0.3940689069639455
ACH-000403,-0.2004889362497534
ACH-000404,-0.15451191258207156
ACH-000406,-0.26753922250961265
ACH-000407,-0.1830002066713048
ACH-000408,-0.517084562715976
ACH-000410,-0.105299372834254
ACH-000411,-0.21968714489270466
ACH-000414,-0.12463509098603577
ACH-000415,-0.2636969976617587
ACH-000416,-0.2194594320836597
