,DMRTA2 (63950)
ACH-000004,-0.20283039171079711
ACH-000005,-0.24903052957223845
ACH-000007,-0.09551530143244456
ACH-000009,-0.3895117943763364
ACH-000011,-0.3858641396400853
ACH-000012,-0.5274132457475874
ACH-000013,-0.3784823197767759
ACH-000014,-0.28547394848828433
ACH-000015,-0.3849469453797815
ACH-000017,-0.5313615509887101
ACH-000018,-0.13470779021283902
ACH-000019,-0.3176107600193457
ACH-000021,-0.23254036926351115
ACH-000022,-0.4072422795274404
ACH-000025,-0.3494030695406227
ACH-000028,-0.2502206156029437
ACH-000030,-0.4118847853131769
ACH-000035,-0.5406965797560738
ACH-000036,-0.2313666830440347
ACH-000037,-0.1872232213353239
ACH-000039,-0.3866265900288156
ACH-000040,-0.3817046947804121
ACH-000041,-0.4084900026117925
ACH-000042,-0.3113208434077088
ACH-000045,-0.23162747384397764
ACH-000047,-0.11079252639738033
ACH-000052,-0.4543824101500917
ACH-000053,-0.3047045131073488
ACH-000054,-0.32763855876335746
ACH-000055,-0.3133961504577684
ACH-000060,-0.5395865666519355
ACH-000067,-0.3029925146821071
ACH-000070,-0.4271294912627751
ACH-000075,-0.29519381640153153
ACH-000078,-0.5012177985806937
ACH-000082,-0.2819049971105256
ACH-000085,-0.185963829879901
ACH-000086,-0.34779544900470594
ACH-000087,-0.2935942150834032
ACH-000092,-0.4082526410446819
ACH-000095,-0.3930804463876769
ACH-000097,-0.388100211219122
ACH-000098,-0.3150021318366304
ACH-000099,-0.3459502492580149
ACH-000108,-0.3053756784317193
ACH-000113,-0.26213020356300804
ACH-000116,-0.3003233349607901
ACH-000118,-0.14377865497581774
ACH-000120,-0.32927797193066605
ACH-000123,-0.3308332269000777
ACH-000127,-0.4182818332067676
ACH-000128,-0.47952782747633704
ACH-000132,-0.2809457089790434
ACH-000133,-0.40505877999555534
ACH-000137,-0.4534467038583872
ACH-000138,-0.15226753865443995
ACH-000142,-0.2928861307887438
ACH-000143,-0.3705522847551727
ACH-000146,-0.2561069657111828
ACH-000148,-0.32554419120017386
ACH-000150,-0.34846793278042976
ACH-000152,-0.44936326716297537
ACH-000153,-0.3081836024082956
ACH-000159,-0.4177750241350688
ACH-000160,-0.3850199486581881
ACH-000163,-0.19165515220320156
ACH-000167,-0.17943681583676604
ACH-000168,-0.01241146183334407
ACH-000169,-0.4231295593199405
ACH-000178,-0.3309965477688101
ACH-000183,-0.3662664381763408
ACH-000188,-0.4016528959879017
ACH-000189,-0.20133925685241874
ACH-000190,-0.3650046099131566
ACH-000198,-0.2570873827571922
ACH-000203,-0.4790841149478124
ACH-000204,-0.42756960101622665
ACH-000206,-0.2294707837671964
ACH-000207,-0.1555746042895412
ACH-000208,-0.25073601162549697
