,ATP6V1B1 (525)
ACH-000004,-0.04199488688012231
ACH-000005,0.12753246391647902
ACH-000007,-0.014550825480868375
ACH-000009,-0.005509747924146682
ACH-000011,5.137473434079643e-05
ACH-000012,-0.05857978235464949
ACH-000013,-0.03152380197819369
ACH-000014,-0.1595541497906227
ACH-000015,-0.03162544775371376
ACH-000017,-0.02601229139126299
ACH-000018,-0.02234553117340021
ACH-000019,0.012272463553067341
ACH-000021,-0.12325968538740095
ACH-000022,-0.16010300409594105
ACH-000025,0.07335926389207684
ACH-000028,-0.239378510892222
ACH-000030,-0.1275823976127528
ACH-000035,-0.09142755479738336
ACH-000036,-0.05150041527499145
ACH-000037,-0.058959543515931766
ACH-000039,0.006781817087015954
ACH-000040,0.0101499130264909
ACH-000041,0.033204300295241886
ACH-000042,-0.08800132931273852
ACH-000045,0.028523223824774437
ACH-000047,-0.16190350727446348
ACH-000052,-0.00550658406768689
ACH-000053,-0.16297335601541058
ACH-000054,-0.014652899747751025
ACH-000055,-0.014819240401066953
ACH-000060,-0.1251278989147334
ACH-000067,0.11696372200753713
ACH-000070,-0.07054493716561805
ACH-000075,-0.031390281035123334
ACH-000078,0.13513695911002294
ACH-000082,-0.09131214902265462
ACH-000085,-0.19336430197078128
ACH-000086,-0.12910305435354685
ACH-000087,-0.0035318510623159327
ACH-000092,-0.05266971874426949
ACH-000095,-0.021680694417335784
ACH-000097,-0.10017066333572948
ACH-000098,-0.0837884611551113
ACH-000099,0.13219800840336074
ACH-000108,-0.15263097207689144
ACH-000113,-0.058056560796556474
ACH-000116,0.0008728796952842503
ACH-000118,-0.11996293001806363
ACH-000120,-0.12117612089512213
ACH-000123,-0.07011863807378177
ACH-000127,-0.12783100460557273
ACH-000128,-0.08131888124078107
ACH-000132,0.03559076204229651
ACH-000133,-0.1738405709730876
ACH-000137,-0.11451565800098355
ACH-000138,-0.08628121517352486
ACH-000142,-0.06678090236306382
ACH-000143,-0.09310167374266654
ACH-000146,-0.06349679222289878
ACH-000148,-0.0644645897496583
ACH-000150,0.03253361000097834
ACH-000152,-0.0096696857637417
ACH-000153,0.029426874042169645
ACH-000159,-0.08093844986595353
ACH-000160,-0.13490596086006607
ACH-000163,0.013460260712838764
ACH-000167,-0.13563289191195346
ACH-000168,-0.07109315923607737
ACH-000169,-0.11036811971418227
ACH-000178,-0.06616625728038927
ACH-000183,-0.17540899521513648
ACH-000188,-0.08069588788472293
ACH-000189,-0.07714430319372073
ACH-000190,-0.122258160269255
ACH-000198,-0.042874666977969184
ACH-000203,0.15076990848597988
ACH-000204,-0.1881669870358648
ACH-000206,-0.032758047797324656
ACH-000207,-0.17454087162056753
ACH-000208,-0.06454445876470409
ACH-000210,-0.06868323838127781
ACH-000211,-0.024831813350532368
ACH-000215,-0.07496059143825196
ACH-000221,-0.20811088610099124
ACH-000222,-0.06020525221602915
ACH-000223,0.011966940935611122
ACH-000226,0.0568933531808581
ACH-000227,0.031502277582310945
ACH-000228,-0.060014297702315325
ACH-000231,-0.04263319135688084
ACH-000232,0.13098609169204792
ACH-000233,-0.1564581670862915
