,MYD88 (4615)
ACH-000004,-0.1953836741027114
ACH-000005,0.18756571402566355
ACH-000007,-0.003966132538682929
ACH-000009,-0.028874780666768386
ACH-000011,-0.2745233997380921
ACH-000012,-0.07994862959141992
ACH-000013,-0.1103004124681482
ACH-000014,-0.5236242779707738
ACH-000015,-0.08205487638487417
ACH-000017,-0.1672430536439919
ACH-000018,-0.04214574292365576
ACH-000019,0.03684576791914538
ACH-000021,0.06230556091975865
ACH-000022,0.035631646164632914
ACH-000025,-0.4512216371462838
ACH-000028,0.16537455604333778
ACH-000030,-0.11221225044276728
ACH-000035,0.12238378911448515
ACH-000036,0.03764302341508239
ACH-000037,-0.05593947939387677
ACH-000039,0.09077198545580463
ACH-000040,-0.118844742223436
ACH-000041,-0.1160126349274844
ACH-000042,-0.03608212491816022
ACH-000045,0.04083102843062902
ACH-000047,-0.07284128436691667
ACH-000052,-0.15308126835148536
ACH-000053,-0.02198991083601478
ACH-000054,-0.20838049607971604
ACH-000055,0.04976195615582495
ACH-000060,-0.0906399256075398
ACH-000067,-0.4818539580054639
ACH-000070,-0.29925710915265963
ACH-000075,-0.18530021103762107
ACH-000078,-0.07648950083218188
ACH-000082,0.0201967039918276
ACH-000085,-0.08157819360662744
ACH-000086,-0.0966529497877103
ACH-000087,-0.22012457052873366
ACH-000092,-0.2630186584384598
ACH-000095,-0.1230888033722719
ACH-000097,0.002517457745328448
ACH-000098,-0.291554889438344
ACH-000099,-0.042945469849988115
ACH-000108,0.012401901089936284
ACH-000113,-0.06027255558748356
ACH-000116,-0.09494500160076684
ACH-000118,-0.08348283716822799
ACH-000120,0.0005085662878493446
ACH-000123,0.07645041995107699
ACH-000127,0.03726283650972604
ACH-000128,0.1475652665539476
ACH-000132,-0.016376355387867466
ACH-000133,0.027344550619620846
ACH-000137,-0.2933839453995799
ACH-000138,0.008379905197746356
ACH-000142,0.0028928213692148565
ACH-000143,-0.18391646422268232
ACH-000146,-0.03861767393444916
ACH-000148,-0.0907224617389737
ACH-000150,-0.001759481493851579
ACH-000152,0.01885215929180404
ACH-000153,-0.14516589797918314
ACH-000159,-0.12388894978097804
ACH-000160,-0.009609297405653331
ACH-000163,-0.10363202043458744
ACH-000167,0.35076073973296684
ACH-000168,0.1253941476536175
ACH-000169,-0.007958534686413872
ACH-000178,-0.035438854316345636
